game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2013-EKXMeX3Q64,,2013,1,MLS,,,0.0,-0.4711,17.8833,0.2591,0.0,-0.5316,0.0,5.0,385.0,0.8108,148.0,-0.0683,-0.0462,0.0,6.0,1.0,0.4711,0.5316,0.0715,1.0028,0.8113,0.3645
soccer-mls-2014-EKXMeX3Q64,,2014,1,MLS,,,0.0,-0.1572,15.5336,0.3712,0.0,-0.1032,0.0,4.0,219.0,0.7614,88.0,-5.1901,-5.8978,0.0,3.0,0.0,0.1572,0.1032,-0.1032,0.2604,0.8203,0.0674
soccer-mls-2016-EKXMeX3Q64,,2016,1,MLS,,,0.0,0.0,15.9104,3.9258,0.0,0.0,0.0,0.0,101.0,0.8158,38.0,1.5064,3.9642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7761,0.0
soccer-mls-2017-kRQand1MKZ,,2017,1,MLS,,,0.0,-0.2089,19.6569,2.519,0.0,-0.0792,0.0,2.0,679.0,0.8565,446.0,-5.3201,-1.1928,0.0,2.0,1.0,0.2089,0.0792,-0.0523,0.2881,0.8684,0.0456
soccer-mls-2018-kRQand1MKZ,,2018,1,MLS,,,0.0,-0.1014,18.843,1.3797,0.0,-0.1289,0.0,2.0,590.0,0.8182,242.0,-8.4033,-3.4725,0.0,4.0,3.0,0.1014,0.1289,0.005,0.2302,0.8529,0.0768
soccer-mls-2019-kRQand1MKZ,,2019,1,MLS,,,1.0,0.5779,21.0505,3.1554,0.0,-0.0184,1.0,3.0,209.0,0.8641,103.0,3.3557,3.258,0.0,1.0,0.0,0.4221,0.0184,-0.0184,0.4405,0.8315,0.0112
soccer-uslc-2019-eVq3rNX5WO,,2019,1,USLC,,,0.0,-0.2877,19.6103,2.8798,0.0,0.0,0.0,6.0,635.0,0.8624,327.0,4.8901,1.4954,0.0,0.0,0.0,0.2877,0.0,0.0,0.2877,0.8474,0.0
soccer-uslc-2020-0Oq6JvPq6D,,2020,1,USLC,,,1.0,-0.2096,20.5272,2.2321,1.0,0.0413,2.0,10.0,1259.0,0.8654,691.0,17.0107,2.4618,0.6025,10.0,3.0,1.2096,0.9587,0.7358,2.1682,0.8408,0.779
soccer-uslc-2021-0Oq6JvPq6D,,2021,1,USLC,,,2.0,0.3374,20.8575,1.7211,1.0,0.3749,3.0,14.0,2182.0,0.8794,1575.0,20.9458,1.3299,1.053,13.0,4.0,1.6626,0.6251,0.1644,2.2877,0.8661,0.4883
soccer-uslc-2022-0Oq6JvPq6D,,2022,1,USLC,,,1.0,-1.787,20.9041,1.4535,1.0,0.1087,2.0,21.0,2734.0,0.8973,1918.0,39.1855,2.043,0.4722,15.0,6.0,2.787,0.8913,-0.2187,3.6783,0.8769,0.4642
soccer-uslc-2023-0Oq6JvPq6D,,2023,1,USLC,,,1.0,-1.2351,20.8229,1.8988,1.0,-0.2507,2.0,29.0,2836.0,0.8866,1975.0,28.5155,1.4438,0.0016,14.0,3.0,2.2351,1.2507,-0.2317,3.4858,0.8721,0.2398
soccer-uslc-2024-4wM4lGgMjB,,2024,1,USLC,,,4.0,0.6969,19.3362,1.4832,0.0,-2.3718,4.0,32.0,3071.0,0.8602,1566.0,12.2375,0.7814,0.0,28.0,5.0,3.3031,2.3718,-1.7884,5.6748,0.8523,1.2643
soccer-uslc-2025-4wM4lGgMjB,,2025,1,USLC,,,0.0,-0.8854,18.7405,0.4823,0.0,-0.2145,0.0,10.0,824.0,0.8843,432.0,6.4699,1.4977,0.0,4.0,1.0,0.8854,0.2145,0.1133,1.0999,0.8693,0.115
