game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,match_played
cricket-t20i-2024-10-09-1454384,2024-10-09,2024,1,T20I,Malawi,Rwanda,20.0,2.0,1.0,4.0,21.0,0.0,1.0,1.0
cricket-t20i-2024-10-10-1454385,2024-10-10,2024,1,T20I,Malawi,Rwanda,,,,,,,3.0,1.0
cricket-t20i-2024-10-13-1454388,2024-10-13,2024,1,T20I,Malawi,Rwanda,36.0,2.0,1.0,4.0,29.0,0.0,1.0,1.0
cricket-t20i-2024-10-20-1453929,2024-10-20,2024,1,T20I,Rwanda,Kenya,6.0,0.0,0.0,4.0,0.0,0.0,,1.0
cricket-t20i-2024-10-22-1453935,2024-10-22,2024,1,T20I,Zimbabwe,Rwanda,4.0,1.0,0.0,4.0,5.0,0.0,,1.0
cricket-t20i-2024-10-23-1453931,2024-10-23,2024,1,T20I,Rwanda,Mozambique,21.0,1.0,0.0,4.0,9.0,0.0,1.0,1.0
cricket-t20i-2024-10-24-1453924,2024-10-24,2024,1,T20I,Rwanda,Seychelles,6.0,0.0,0.0,4.0,1.0,0.0,,1.0
cricket-t20i-2024-12-04-1462916,2024-12-04,2024,1,T20I,Rwanda,Nigeria,26.0,3.0,0.0,5.0,32.0,1.0,1.0,1.0
cricket-t20i-2024-12-05-1462921,2024-12-05,2024,1,T20I,Uganda,Rwanda,2.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
cricket-t20i-2024-12-06-1462924,2024-12-06,2024,1,T20I,Botswana,Rwanda,,,,,,,1.0,1.0
cricket-t20i-2024-12-07-1462931,2024-12-07,2024,1,T20I,Uganda,Rwanda,4.0,0.0,0.0,5.0,1.0,0.0,,1.0
cricket-t20i-2024-12-08-1462914,2024-12-08,2024,1,T20I,Rwanda,Botswana,17.0,2.0,0.0,4.0,13.0,0.0,,1.0
cricket-t20i-2024-12-09-1462922,2024-12-09,2024,1,T20I,Nigeria,Rwanda,16.0,0.0,0.0,4.0,22.0,2.0,1.0,1.0
cricket-t20i-2024-12-11-1462918,2024-12-11,2024,1,T20I,Rwanda,Botswana,11.0,2.0,0.0,4.0,17.0,1.0,,1.0
cricket-t20i-2024-12-13-1462913,2024-12-13,2024,1,T20I,Nigeria,Rwanda,17.0,0.0,0.0,4.0,18.0,2.0,,1.0
cricket-t20i-2025-07-18-1495453,2025-07-18,2025,1,T20I,Rwanda,Bahrain,12.0,0.0,0.0,4.0,4.0,0.0,,1.0
cricket-t20i-2025-07-19-1495455,2025-07-19,2025,1,T20I,Malawi,Rwanda,40.0,5.0,0.0,4.0,57.0,2.0,1.0,1.0
cricket-t20i-2025-07-20-1495457,2025-07-20,2025,1,T20I,Rwanda,Bahrain,50.0,4.0,0.0,4.0,46.0,2.0,,1.0
cricket-t20i-2025-07-22-1495458,2025-07-22,2025,1,T20I,Malawi,Rwanda,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
cricket-t20i-2025-07-22-1495459,2025-07-22,2025,1,T20I,Bahrain,Rwanda,12.0,0.0,0.0,4.0,12.0,1.0,1.0,1.0
cricket-t20i-2025-07-23-1495460,2025-07-23,2025,1,T20I,Rwanda,Malawi,32.0,4.0,0.0,4.0,43.0,3.0,1.0,1.0
cricket-t20i-2025-07-25-1495462,2025-07-25,2025,1,T20I,Bahrain,Rwanda,4.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0
cricket-t20i-2025-07-26-1495464,2025-07-26,2025,1,T20I,Rwanda,Malawi,49.0,5.0,0.0,4.0,68.0,4.0,,1.0
cricket-t20i-2025-12-04-1513087,2025-12-04,2025,1,T20I,Sierra Leone,Rwanda,3.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0
cricket-t20i-2025-12-05-1513088,2025-12-05,2025,1,T20I,Zambia,Rwanda,23.0,3.0,0.0,4.0,28.0,0.0,,1.0
cricket-t20i-2025-12-06-1513089,2025-12-06,2025,1,T20I,Nigeria,Rwanda,2.0,0.0,0.0,4.0,0.0,0.0,,1.0
cricket-t20i-2025-12-07-1513092,2025-12-07,2025,1,T20I,Zambia,Rwanda,8.0,2.0,1.0,4.0,11.0,0.0,1.0,1.0
cricket-t20i-2025-12-08-1513093,2025-12-08,2025,1,T20I,Rwanda,Sierra Leone,5.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0
cricket-t20i-2025-12-09-1513095,2025-12-09,2025,1,T20I,Rwanda,Nigeria,2.0,0.0,0.0,5.0,0.0,0.0,,1.0
cricket-t20i-2025-12-11-1513097,2025-12-11,2025,1,T20I,Zambia,Rwanda,6.0,0.0,0.0,4.0,4.0,0.0,,1.0
cricket-t20i-2025-12-13-1513301,2025-12-13,2025,1,T20I,Nigeria,Rwanda,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
cricket-t20i-2025-12-14-1513304,2025-12-14,2025,1,T20I,Nigeria,Rwanda,2.0,0.0,0.0,4.0,0.0,0.0,,1.0
