game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,match_played
cricket-hnd-2024-08-02-1417835,2024-08-02,2024,1,HND,Northern Superchargers,Oval Invincibles,7.0,2.0,0.0,1.0,8.0,0.0,,1.0
cricket-hnd-2024-08-04-1417839,2024-08-04,2024,1,HND,Northern Superchargers,Manchester Originals,15.0,3.0,0.0,1.0,16.0,0.0,1.0,1.0
cricket-hnd-2024-08-06-1417842,2024-08-06,2024,1,HND,Northern Superchargers,Birmingham Phoenix,6.0,0.0,0.0,1.0,2.0,0.0,,1.0
cricket-hnd-2024-08-11-1417850,2024-08-11,2024,1,HND,Manchester Originals,Northern Superchargers,9.0,1.0,0.0,1.0,7.0,0.0,,1.0
cricket-hnd-2025-08-07-1471038,2025-08-07,2025,1,HND,Northern Superchargers,Welsh Fire,24.0,3.0,0.0,1.0,21.0,0.0,,1.0
cricket-hnd-2025-08-10-1471043,2025-08-10,2025,1,HND,Trent Rockets,Northern Superchargers,40.0,12.0,1.0,1.0,72.0,0.0,1.0,1.0
cricket-hnd-2025-08-13-1471046,2025-08-13,2025,1,HND,Northern Superchargers,Southern Brave,15.0,2.0,0.0,1.0,13.0,0.0,,1.0
cricket-hnd-2025-08-15-1471049,2025-08-15,2025,1,HND,Birmingham Phoenix,Northern Superchargers,14.0,1.0,0.0,1.0,14.0,1.0,,1.0
cricket-hnd-2025-08-17-1471052,2025-08-17,2025,1,HND,Manchester Originals,Northern Superchargers,11.0,1.0,0.0,1.0,10.0,0.0,,1.0
cricket-hnd-2025-08-20-1471057,2025-08-20,2025,1,HND,London Spirit,Northern Superchargers,6.0,0.0,0.0,1.0,4.0,0.0,,1.0
cricket-hnd-2025-08-23-1471060,2025-08-23,2025,1,HND,Oval Invincibles,Northern Superchargers,11.0,0.0,0.0,1.0,3.0,0.0,,1.0
cricket-hnd-2025-08-26-1471065,2025-08-26,2025,1,HND,Manchester Originals,Northern Superchargers,10.0,1.0,0.0,1.0,5.0,0.0,,1.0
cricket-hnd-2025-08-30-1471068,2025-08-30,2025,1,HND,Northern Superchargers,London Spirit,43.0,15.0,0.0,1.0,101.0,5.0,,1.0
cricket-hnd-2025-08-31-1471069,2025-08-31,2025,1,HND,Southern Brave,Northern Superchargers,16.0,3.0,0.0,1.0,17.0,0.0,,1.0
cricket-wbbl-2025-11-09-1494526,2025-11-09,2025,1,WBBL,Brisbane Heat,Melbourne Renegades,1.0,0.0,0.0,1.0,0.0,0.0,,1.0
cricket-wbbl-2025-11-11-1494530,2025-11-11,2025,1,WBBL,Sydney Thunder,Melbourne Renegades,6.0,3.0,0.0,1.0,12.0,0.0,1.0,1.0
cricket-wbbl-2025-11-14-1494534,2025-11-14,2025,1,WBBL,Melbourne Renegades,Adelaide Strikers,6.0,0.0,0.0,1.0,3.0,0.0,,1.0
cricket-wbbl-2025-11-16-1494538,2025-11-16,2025,1,WBBL,Melbourne Stars,Melbourne Renegades,3.0,1.0,0.0,1.0,5.0,0.0,,1.0
cricket-wbbl-2025-12-05-1494561,2025-12-05,2025,1,WBBL,Sydney Sixers,Melbourne Renegades,27.0,3.0,0.0,1.0,28.0,0.0,,1.0
