game_id,date,season,week,league,away,home,3pt_pass,conversions,receiving_tds,receiving_yards,receptions,recv_gp,recv_rec,recv_yds,targets
SYNTHETIC_USFL_W8_TB,,,8,USFL,,,,,0.0,0.0,0.0,,,,
SYNTHETIC_USFL_W9_TB,,,9,USFL,,,,,0.0,0.0,0.0,,,,
SYNTHETIC_USFL_W10_TB,,,10,USFL,,,,,0.0,0.0,1.0,,,,
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,,,0.0,25.0,2.0,,,,4.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,,,,,,4.0,8.0,117.0,
SYNTHETIC_USFL_2023_W2_BREAKERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,,,0.0,10.0,1.0,,,,
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,1.0,66.0,3.0,,,,
SYNTHETIC_USFL_2023_W4_BREAKERS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,,,0.0,43.0,4.0,,,,
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,,0.0,24.0,2.0,,,,
SYNTHETIC_USFL_2023_W6_BREAKERS,2023-05-21,2023,6,USFL,STARS,BREAKERS,,,0.0,27.0,2.0,,,,
SYNTHETIC_USFL_2023_W9_BREAKERS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,,0.0,0.0,0.0,,,,
SYNTHETIC_USFL_2023_W10_BREAKERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,,1.0,4.0,1.0,,,,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,64.0,3.0,,,,
SYNTHETIC_UFL_2024_W3_SHOWBOATS,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,0.0,27.0,2.0,,,,
SYNTHETIC_UFL_2024_W4_SHOWBOATS,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,0.0,15.0,1.0,,,,
SYNTHETIC_UFL_2024_W6_SHOWBOATS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,1.0,,1.0,34.0,1.0,,,,
SYNTHETIC_UFL_2024_W7_SHOWBOATS,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,0.0,22.0,2.0,,,,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,0.0,44.0,2.0,,,,
SYNTHETIC_UFL_2025_W1_BRAHMAS,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,,0.0,8.0,1.0,,,,
SYNTHETIC_UFL_2025_W2_BRAHMAS,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,0.0,30.0,4.0,,,,
SYNTHETIC_UFL_2025_W4_BRAHMAS,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,0.0,4.0,1.0,,,,
SYNTHETIC_UFL_2025_W5_BRAHMAS,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,1.0,1.0,93.0,4.0,,,,
SYNTHETIC_UFL_2025_W6_BRAHMAS,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,0.0,47.0,5.0,,,,
SYNTHETIC_UFL_2025_W7_BRAHMAS,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,,0.0,0.0,0.0,,,,
SYNTHETIC_UFL_2025_W8_BRAHMAS,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,,1.0,38.0,1.0,,,,
SYNTHETIC_UFL_2025_W9_BRAHMAS,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,0.0,12.0,2.0,,,,
SYNTHETIC_UFL_2025_W10_BRAHMAS,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,0.0,3.0,1.0,,,,
