game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks,safety
1-defenders-seadragons,2023-02-19,2023,1,XFL,SEA DRAGONS,DEFENDERS,,1.0,1.0,2.0,18.0,2.0,
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,,,1.0,,6.0,3.0,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,1.0,2.0,2.0,28.0,4.0,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,,,1.0,1.0,18.0,2.0,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,1.0,,4.0,
SYNTHETIC_XFL_2023_W5_DEFENDERS,2023-03-18,2023,5,XFL,BATTLEHAWKS,DEFENDERS,,,1.0,,20.0,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,1.0,,2.0,
SYNTHETIC_XFL_2023_W6_DEFENDERS,2023-03-27,2023,6,XFL,DEFENDERS,ROUGHNECKS,,1.0,,,26.0,,
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,2.0,,,3.0,
SYNTHETIC_XFL_2023_W7_DEFENDERS,2023-04-01,2023,7,XFL,GUARDIANS,DEFENDERS,,,,,37.0,,
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,,,1.0,,,
SYNTHETIC_XFL_2023_W8_DEFENDERS,2023-04-09,2023,8,XFL,SEA DRAGONS,DEFENDERS,,,,,31.0,,
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,,,2.0,
SYNTHETIC_XFL_2023_W9_DEFENDERS,2023-04-16,2023,9,XFL,DEFENDERS,RENEGADES,,1.0,,1.0,26.0,,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,,,2.0,
SYNTHETIC_XFL_2023_W10_DEFENDERS,2023-04-22,2023,10,XFL,BRAHMAS,DEFENDERS,,,,,28.0,,
3,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,,,1.0,0.0,27.0,1.0,
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,1.0,,1.0,0.0,12.0,1.0,
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,,,0.0,28.0,1.0,
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,1.0,,2.0,0.0,18.0,4.0,
19,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,,,1.0,0.0,45.0,3.0,
24,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,,,1.0,1.0,12.0,2.0,
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,,,0.0,22.0,1.0,
31,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,,,,0.0,26.0,4.0,
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,,,2.0,21.0,2.0,
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,1.0,,2.0,32.0,0.0,1.0
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,1.0,1.0,11.0,8.0,
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,1.0,,2.0,1.0,12.0,0.0,
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,1.0,3.0,15.0,3.0,
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,0.0,24.0,0.0,
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,1.0,1.0,33.0,5.0,
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,,,,0.0,38.0,0.0,
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,1.0,2.0,0.0,24.0,3.0,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,1.0,1.0,30.0,1.0,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,1.0,0.0,22.0,1.0,
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,0.0,13.0,1.0,1.0
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,,,,0.0,16.0,3.0,
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,,2.0,2.0,26.0,4.0,
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,,1.0,1.0,1.0,7.0,4.0,
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,,,1.0,22.0,2.0,1.0
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,,1.0,2.0,28.0,3.0,
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,,1.0,6.0,2.0,
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,,,,0.0,30.0,3.0,
