game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,fumbles,fumbles_lost,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,,,,,,4.0,14.5,25.0,0.0,58.0,,,,,,,,,,,,27.0,27.0,1.0,27.0,1.0,5.5,19.0,,13.0,,1.0,71.0,,,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,0.0,,,,,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,5.0,5.0,0.0,5.0,1.0,2.4,10.0,,9.0,,1.0,22.0,1.0,1.0,1.0,0.0
FOOTBALL_UFL_2026_3_28_BHM@LOU,2026-03-28,2026,1,UFL,BHM,LOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_NAL_2026_3_21_T566774G1127144@T600411,2026-03-21,2026,3,NAL,Omaha Beef,Salina Liberty,,200.0,,,2.0,,,,,,5.0,1.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,,,,4.0,6.0,,4.0,0.0,0.0,15.0,,,,
FOOTBALL_NAL_2026_4_4_T566773G1127151@T581933,2026-04-05,2026,5,NAL,Amarillo Warbirds,Dallas Bulls,,542.0,,,1.0,,,,,,24.0,13.0,11.0,33.0,8.0,61.0,1.0,1.0,42.0,102.0,0.0,,,,,,6.0,27.0,,11.0,0.0,3.0,64.0,,,,
FOOTBALL_UFL_2026_4_25_DC@BHM,2026-04-25,2026,5,UFL,DC,BHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,,385.0,,,2.0,,,,,,13.0,5.0,8.0,0.0,6.0,7.0,2.0,0.0,0.0,31.0,11.0,,,,,,13.0,0.0,,5.0,0.0,1.0,64.0,,,,
FOOTBALL_UFL_2026_5_3_BHM@ORL,2026-05-03,2026,6,UFL,BHM,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,,,,,,,,,,,,,,,,,-5.0,0.0,0.0,-5.0,1.0,14.0,34.0,,5.0,,0.0,70.0,,,,
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,,429.0,,,0.0,,,,,,7.0,3.0,4.0,14.0,9.0,53.0,0.0,0.0,0.0,26.0,0.0,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,,500.0,,,0.0,,,,,,6.0,3.0,3.0,17.0,15.0,114.0,1.0,1.0,167.0,44.0,2.0,,,,,,4.0,14.0,,3.0,0.0,1.0,13.0,,,,
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,,364.0,,,1.0,,,,,,11.0,4.0,7.0,23.0,11.0,41.0,1.0,1.0,91.0,44.0,8.0,,,,,,6.0,6.0,,2.0,0.0,1.0,11.0,,,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,,,,,,1.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,7.5,10.0,0.0,30.0,4.0,4.1,11.0,,8.0,,1.0,33.0,,,,
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,,,,,,2.0,11.5,13.0,0.0,23.0,,,,,,,,,,,,8.5,17.0,0.0,17.0,2.0,3.2,10.0,,11.0,,0.0,35.0,,,,
FOOTBALL_IFL_2026_6_6_TIOWABARNSTORMERSG202606060Q8D@TORLANDOPIRATES,2026-06-06,2026,13,IFL,Iowa Barnstormers,Orlando Pirates,,,1.0,0.0,,4.0,13.5,17.0,0.0,54.0,,,,,,,,,,,,6.5,10.0,0.0,13.0,2.0,3.7,10.0,,17.0,,1.0,63.0,,,,
