game_id,date,season,week,league,away,home,assisted_tackles,fg_made,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_UFL_2026_3_28_BHM@LOU,2026-03-28,2026,1,UFL,BHM,LOU,,2.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2026_4_5_LOU@ORL,2026-04-05,2026,2,UFL,LOU,ORL,,3.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_21_T566774G1127144@T600411,2026-03-21,2026,3,NAL,Omaha Beef,Salina Liberty,,,3.0,12.0,21.0,0.0,36.0,9.0,9.0,0.0,0.0,9.0,1.0,7.0,10.0,3.0,0.0,0.0,20.0,,
FOOTBALL_UFL_2026_4_11_ORL@LOU,2026-04-11,2026,3,UFL,ORL,LOU,,2.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,,6.0,17.0,26.0,0.0,105.0,16.0,35.0,1.0,3.0,95.0,6.0,-4.0,0.0,1.0,0.0,0.0,-4.0,,
FOOTBALL_UFL_2026_4_17_LOU@HOU,2026-04-17,2026,4,UFL,LOU,HOU,,5.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,,,1.0,14.0,14.0,0.0,14.0,11.0,25.0,0.0,0.0,45.0,4.0,6.0,6.0,1.0,0.0,0.0,6.0,,
FOOTBALL_UFL_2026_4_26_LOU@DAL,2026-04-26,2026,5,UFL,LOU,DAL,,2.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2026_5_1_STL@LOU,2026-05-01,2026,6,UFL,STL,LOU,,1.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,,,4.0,11.5,15.0,0.0,46.0,22.3,32.0,,0.0,67.0,3.0,2.0,5.0,5.0,,1.0,10.0,,
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,,,1.0,30.0,30.0,0.0,30.0,17.0,17.0,0.0,1.0,17.0,1.0,5.0,5.0,1.0,0.0,0.0,5.0,,
FOOTBALL_UFL_2026_5_9_LOU@DC,2026-05-09,2026,7,UFL,LOU,DC,,3.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TSANDIEGOSTRIKEFORCEG20260502S5MS@TTULSAOILERS,2026-05-02,2026,8,IFL,San Diego Strike Force,Tulsa Oilers,0.0,,3.0,22.3,50.0,1.0,67.0,4.5,5.0,,0.0,9.0,2.0,9.0,9.0,1.0,,0.0,9.0,1.0,1.0
FOOTBALL_NAL_2026_4_25_T581933G1127161@T566774,2026-04-25,2026,8,NAL,Dallas Bulls,Omaha Beef,,,3.0,16.0,19.0,0.0,49.0,23.0,35.0,0.0,2.0,46.0,2.0,4.0,4.0,1.0,0.0,0.0,4.0,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,,,3.0,13.3,18.0,0.0,40.0,7.0,15.0,,0.0,28.0,4.0,1.7,2.0,3.0,,0.0,5.0,,
FOOTBALL_NAL_2026_5_9_T573852G1127170@T566774,2026-05-09,2026,10,NAL,Louisiana Rouxgaroux,Omaha Beef,,,,,,,,25.0,27.0,0.0,3.0,76.0,3.0,,,,,,,,
