game_id,date,season,week,league,away,home,assist_tackles,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,ret_num,sacks,score_ir,score_pts,score_tot,solo_tackles,tackles
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,4.0,,4.0,,,,,,,,,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,1.0,61.0,,2.0,,2.0,61.0,,,,,,,,
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,4.0,,,,,,,,,,1.0,,,,5.0,9.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,2.0,,,,,,,,,,,,,,6.0,8.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,5.0,,,,,,,,,,,,,,4.0,9.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,1.0,,,,,,,,,,,,,,6.0,7.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,4.0,,,,,,,,,,,,,,2.0,6.0
FOOTBALL_CFL_2021_10_11_TOR@HAM,2021-10-11,2021,1,CFL,TOR,HAM,,,,1.0,12.0,,12.0,,7.0,,,,,,,
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,,,,1.0,4.0,,4.0,,7.0,,,,,,,
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,,,,3.0,,3.0,,,,,,,,,
FOOTBALL_CFL_2021_10_6_OTT@TOR,2021-10-06,2021,1,CFL,OTT,TOR,,1.0,,,4.0,1.0,4.0,71.0,,,,1.0,6.0,1.0,,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,,,1.0,5.0,,5.0,,1.0,,,,,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,,,,5.0,,5.0,,,,,,,,,
FOOTBALL_CFL_2021_8_21_WPG@TOR,2021-08-21,2021,1,CFL,WPG,TOR,,1.0,,,4.0,,4.0,,,,,,,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,6.0,,6.0,,,,,,,,,
FOOTBALL_CFL_2021_9_10_HAM@TOR,2021-09-10,2021,1,CFL,HAM,TOR,,,,,3.0,,3.0,,,1.0,,,,,,
FOOTBALL_CFL_2021_9_17_TOR@SSK,2021-09-17,2021,1,CFL,TOR,SSK,,,,,8.0,,8.0,,,,,,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,,,,,6.0,,6.0,,,,,,,,,
FOOTBALL_CFL_2021_9_6_TOR@HAM,2021-09-06,2021,1,CFL,TOR,HAM,,,,,5.0,,5.0,,,,,,,,,
