game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_10_T425357G979251@T425362,2025-03-10,2025,1,NAL,Colorado Spartans,Wheeling Miners,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,6.0,,
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_3_22_T425362G979256@T450150,2025-03-23,2025,3,NAL,Wheeling Miners,Shreveport Rouxgaroux,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,7.0,,
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,4.0,,
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,8.0,,
FOOTBALL_NAL_2025_5_3_T425362G979277@T425357,2025-05-04,2025,9,NAL,Wheeling Miners,Colorado Spartans,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_5_10_T463723G979279@T425362,2025-05-10,2025,10,NAL,Beaumont Renegades,Wheeling Miners,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,12.0,15.0,0.0,24.0,,0.0,0.0,,4.0,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,0.0,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,1.0,2.0
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,0.0,1.0,,,0.0,,,,9.0,9.0,9.0,,,,,,2.0,,,8.0,8.0,2.0,0.0
FOOTBALL_IFL_2026_4_12_TTULSAOILERSG20260412T2GX@TORLANDOPIRATES,2026-04-12,2026,5,IFL,Tulsa Oilers,Orlando Pirates,3.0,,,,,,,,,,,,,,,,,,,1.0,4.0,,
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,1.0,,,,,,,,,,,,,,,,1.0,,,3.0,4.0,,
FOOTBALL_AF1_2026_5_30_T612138G1168387@T584635,2026-05-30,2026,8,AF1,Oceanside Stealth,Albany Firebirds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,12.0,,
FOOTBALL_AF1_2026_6_5_T584761G1168390@T584635,2026-06-05,2026,9,AF1,Beaumont Renegades,Albany Firebirds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,4.0,,
FOOTBALL_AF1_2026_6_12_T606163G1168394@T584635,2026-06-12,2026,10,AF1,Michigan Arsenal,Albany Firebirds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,4.0,,
FOOTBALL_AF1_2026_6_20_T584635G1168398@T584637,2026-06-20,2026,11,AF1,Albany Firebirds,Nashville Kats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,5.0,,
