game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,pat_made,rush_td,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2025_4_19_BHM@HOU,2025-04-19,2025,4,UFL,BHM,HOU,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
FOOTBALL_UFL_2025_5_25_DC@HOU,2025-05-25,2025,9,UFL,DC,HOU,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_UFL_2025_5_31_HOU@MICH,2025-05-31,2025,10,UFL,HOU,MICH,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,3.0,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,4.0,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.5,0.0
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,3.0,,,,,,,,1.0,12.0,12.0,0.0,12.0,,,,,,,,,,4.0,7.0,,
FOOTBALL_IFL_2026_6_6_TTULSAOILERSG20260606EDGN@TFISHERSFREIGHT,2026-06-06,2026,13,IFL,Tulsa Oilers,Fishers Freight,,,,,,,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,
