game_id,date,season,week,league,away,home,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W2_PHOENIX,,2022,2,AUDL,,,2.0,1.0,1.0,1.0,0.0,77.0,167.0
2022-06-17-TOR-PHI,2022-06-17,2022,4,,TOR,PHI,0.0,0.0,0.0,0.0,3.0,62.0,96.0
2022-07-02-DC-PHI,2022-07-02,2022,6,,DC,PHI,1.0,0.0,0.0,0.0,0.0,35.0,124.0
2022-07-08-PHI-DC,2022-07-08,2022,7,AUDL,phoenix,breeze,1.0,0.0,0.0,1.0,1.0,84.0,91.0
2022-07-16-PHI-TOR,2022-07-16,2022,8,AUDL,phoenix,rush,1.0,0.0,0.0,1.0,0.0,25.0,327.0
2022-07-22-NY-PHI,2022-07-22,2022,9,AUDL,empire,phoenix,0.0,0.0,0.0,0.0,0.0,48.0,83.0
2022-07-30-OTT-PHI,2022-07-30,2022,10,AUDL,outlaws,phoenix,0.0,1.0,0.0,0.0,2.0,52.0,121.0
2026-05-02-TOR-PHI,2026-05-02,2026,2,UFA,rush,phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-09-PHI-CAR,2026-05-09,2026,3,UFA,phoenix,flyers,0.0,0.0,0.0,0.0,0.0,41.0,146.0
2026-05-24-PHI-BOS,2026-05-24,2026,5,UFA,phoenix,glory,0.0,0.0,0.0,0.0,2.0,-13.0,229.0
