game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2023-07-10-1384582,2023-07-10,2023,1,T20I,France,Malta,25.0,2.0,0.0,4.0,18.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2023-07-10-1384583,2023-07-10,2023,1,T20I,Malta,France,12.0,0.0,0.0,6.0,8.0,1.0,,,,,,,,,1.0
cricket-t20i-2023-07-11-1384584,2023-07-11,2023,1,T20I,Malta,Luxembourg,2.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,1.0
cricket-t20i-2023-07-12-1384586,2023-07-12,2023,1,T20I,Malta,Luxembourg,,,,,,,,,,,,,1.0,1.0,1.0
cricket-t20i-2023-07-12-1384588,2023-07-12,2023,1,T20I,France,Malta,3.0,0.0,0.0,7.0,2.0,0.0,24.0,0.0,1.0,27.0,3.0,0.0,1.0,,1.0
cricket-t20i-2023-07-13-1384589,2023-07-13,2023,1,T20I,Luxembourg,Malta,,,,,,,24.0,0.0,0.0,43.0,1.0,3.0,,,1.0
cricket-t20i-2023-07-14-1384593,2023-07-14,2023,1,T20I,Malta,Romania,5.0,0.0,0.0,8.0,5.0,0.0,24.0,0.0,0.0,23.0,3.0,1.0,,,1.0
cricket-t20i-2023-07-15-1384596,2023-07-15,2023,1,T20I,Malta,Switzerland,6.0,0.0,1.0,9.0,4.0,0.0,18.0,0.0,0.0,34.0,0.0,2.0,,,1.0
cricket-t20i-2023-07-16-1384598,2023-07-16,2023,1,T20I,France,Malta,,,,,,,18.0,0.0,1.0,17.0,2.0,2.0,,,1.0
cricket-t20i-2023-07-16-1384600,2023-07-16,2023,1,T20I,Malta,Switzerland,,,,,,,24.0,0.0,0.0,31.0,1.0,0.0,,,1.0
cricket-t20i-2023-08-19-1391335,2023-08-19,2023,1,T20I,Malta,Romania,1.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,1.0,,1.0
cricket-t20i-2023-08-20-1391336,2023-08-20,2023,1,T20I,Malta,Romania,5.0,2.0,1.0,9.0,8.0,0.0,24.0,0.0,0.0,26.0,0.0,0.0,,,1.0
cricket-t20i-2023-08-20-1391337,2023-08-20,2023,1,T20I,Romania,Malta,9.0,1.0,0.0,7.0,10.0,0.0,24.0,0.0,0.0,39.0,4.0,1.0,1.0,,1.0
cricket-t20i-2024-08-21-1443769,2024-08-21,2024,1,T20I,Malta,Finland,2.0,0.0,0.0,8.0,1.0,0.0,18.0,0.0,0.0,26.0,0.0,2.0,,,1.0
cricket-t20i-2024-08-22-1443772,2024-08-22,2024,1,T20I,Malta,Guernsey,3.0,0.0,0.0,7.0,1.0,0.0,17.0,0.0,1.0,36.0,0.0,0.0,,,1.0
cricket-t20i-2024-08-25-1443778,2024-08-25,2024,1,T20I,Malta,Bulgaria,,,,,,,24.0,0.0,0.0,20.0,0.0,2.0,,,1.0
cricket-t20i-2024-08-27-1443785,2024-08-27,2024,1,T20I,Malta,Estonia,17.0,1.0,0.0,8.0,18.0,0.0,24.0,0.0,0.0,16.0,2.0,0.0,1.0,,1.0
cricket-t20i-2024-08-28-1443787,2024-08-28,2024,1,T20I,Cyprus,Malta,3.0,0.0,0.0,7.0,3.0,0.0,24.0,0.0,0.0,26.0,2.0,1.0,,,1.0
cricket-t20i-2025-02-03-1470186,2025-02-03,2025,1,T20I,Hungary,Malta,,,,,,,12.0,0.0,0.0,24.0,0.0,2.0,,,1.0
cricket-t20i-2025-02-03-1470187,2025-02-03,2025,1,T20I,Malta,Austria,34.0,1.0,0.0,3.0,46.0,3.0,6.0,0.0,0.0,8.0,1.0,0.0,1.0,,1.0
cricket-t20i-2025-02-04-1470189,2025-02-04,2025,1,T20I,Malta,Hungary,18.0,1.0,0.0,3.0,11.0,0.0,6.0,0.0,0.0,23.0,0.0,0.0,,,1.0
cricket-t20i-2025-02-05-1470190,2025-02-05,2025,1,T20I,Malta,Austria,21.0,0.0,0.0,5.0,21.0,1.0,,,,,,,,,1.0
cricket-t20i-2025-05-06-1482828,2025-05-06,2025,1,T20I,Malta,Estonia,3.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,1.0,,1.0
cricket-t20i-2025-05-06-1482829,2025-05-06,2025,1,T20I,Malta,Estonia,7.0,0.0,0.0,3.0,8.0,0.0,6.0,0.0,0.0,18.0,0.0,0.0,2.0,1.0,1.0
cricket-t20i-2025-05-07-1482830,2025-05-07,2025,1,T20I,Malta,Estonia,8.0,1.0,1.0,8.0,14.0,0.0,,,,,,,,1.0,1.0
cricket-t20i-2025-05-30-1485345,2025-05-30,2025,1,T20I,Malta,Portugal,15.0,1.0,0.0,6.0,8.0,0.0,,,,,,,,,1.0
cricket-t20i-2025-05-30-1485346,2025-05-30,2025,1,T20I,Malta,Belgium,6.0,0.0,0.0,4.0,5.0,0.0,,,,,,,,,1.0
cricket-t20i-2025-05-31-1485347,2025-05-31,2025,1,T20I,Malta,Portugal,31.0,1.0,0.0,6.0,26.0,1.0,6.0,0.0,0.0,11.0,0.0,0.0,1.0,,1.0
