game_id,date,season,week,league,away,home,assisted_tackles,blocks,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,kicking_deuce,kicking_pat,kicking_pat_att,kicking_points,recv_td,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2025_5_10_DC@SA,2025-05-10,2025,7,UFL,DC,SA,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_NAL_2026_3_13_T600414G1127142@T573852,2026-03-14,2026,2,NAL,Southwest Kansas Storm,Louisiana Rouxgaroux,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,,,,,,,,
FOOTBALL_IFL_2026_4_12_TTULSAOILERSG20260412T2GX@TORLANDOPIRATES,2026-04-12,2026,5,IFL,Tulsa Oilers,Orlando Pirates,0.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0
FOOTBALL_IFL_2026_4_18_TFISHERSFREIGHTG202604185HGP@TTULSAOILERS,2026-04-18,2026,6,IFL,Fishers Freight,Tulsa Oilers,2.0,,,,,,,,,,,,,,6.0,1.0,4.0,6.0,1.5,0.0
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,1.0,,,,,,,,,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,0.0,,,,,,,,,,,,,,6.0,1.0,2.0,2.0,1.0,0.0
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,3.0,,,,,,,,,,,,,,3.0,0.5,1.0,4.0,0.5,0.0
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,0.0,1.0,0.0,0.0,,0.0,,,,,,,0.0,,,,0.0,0.0,,
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,1.0,,,,,,,,,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,0.0,,,,,,1.0,1.0,0.0,,,,,,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_7_25_TTULSAOILERSG20260725MK7L@TQUADCITYSTEAMWHEELERS,2026-07-25,2026,20,IFL,Tulsa Oilers,Quad City Steamwheelers,0.0,,,,,,,,,,,,,,,,2.0,2.0,,
