game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,fielding_runouts,match_played
cricket-t20i-2022-11-13-1339555,2022-11-13,2022,1,T20I,Spain,Norway,8.0,0.0,0.0,1.0,2.0,0.0,,,1.0
cricket-t20i-2022-11-14-1339558,2022-11-14,2022,1,T20I,Spain,Sweden,12.0,0.0,0.0,2.0,2.0,0.0,2.0,,1.0
cricket-t20i-2024-09-21-1451291,2024-09-21,2024,1,T20I,Spain,Greece,,,,,,,,1.0,1.0
cricket-t20i-2024-09-21-1451292,2024-09-21,2024,1,T20I,Greece,Spain,,,,,,,1.0,,1.0
cricket-t20i-2024-09-22-1451293,2024-09-22,2024,1,T20I,Greece,Spain,12.0,0.0,1.0,3.0,10.0,0.0,,,1.0
cricket-t20i-2024-09-22-1451294,2024-09-22,2024,1,T20I,Greece,Spain,,,,,,,1.0,,1.0
cricket-t20i-2025-05-25-1486089,2025-05-25,2025,1,T20I,Sweden,Spain,16.0,0.0,0.0,8.0,8.0,0.0,,,1.0
cricket-t20i-2025-05-25-1486091,2025-05-25,2025,1,T20I,Germany,Spain,,,,,,,1.0,,1.0
cricket-t20i-2025-05-26-1486094,2025-05-26,2025,1,T20I,Spain,Jersey,7.0,0.0,0.0,7.0,2.0,0.0,,,1.0
cricket-t20i-2025-05-28-1486097,2025-05-28,2025,1,T20I,Isle of Man,Spain,,,,,,,1.0,,1.0
cricket-t20i-2025-05-29-1486100,2025-05-29,2025,1,T20I,Italy,Spain,5.0,0.0,1.0,8.0,4.0,0.0,1.0,,1.0
