game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-odi-2019-04-27-1174845,2019-04-27,2019,1,ODI,Namibia,Oman,9.0,0.0,0.0,9.0,1.0,0.0,36.0,1.0,0.0,28.0,2.0,0.0,,,1.0
cricket-odi-2019-08-14-1196670,2019-08-14,2019,1,ODI,Oman,Papua New Guinea,32.0,2.0,1.0,8.0,32.0,0.0,30.0,0.0,1.0,21.0,0.0,0.0,1.0,,1.0
cricket-odi-2019-08-15-1196671,2019-08-15,2019,1,ODI,Scotland,Oman,,,,,,,48.0,0.0,0.0,31.0,1.0,0.0,,,1.0
cricket-odi-2019-08-18-1196673,2019-08-18,2019,1,ODI,Scotland,Oman,1.0,0.0,0.0,10.0,0.0,0.0,54.0,0.0,1.0,38.0,0.0,0.0,1.0,,1.0
cricket-odi-2019-08-21-1196675,2019-08-21,2019,1,ODI,Oman,Papua New Guinea,,,,,,,30.0,0.0,2.0,47.0,0.0,0.0,,,1.0
cricket-t20i-2019-02-13-1172506,2019-02-13,2019,1,T20I,Oman,Ireland,18.0,3.0,1.0,9.0,25.0,0.0,24.0,0.0,0.0,19.0,2.0,0.0,,,1.0
cricket-t20i-2019-02-15-1172507,2019-02-15,2019,1,T20I,Oman,Netherlands,,,,,,,18.0,0.0,0.0,26.0,0.0,1.0,,,1.0
cricket-t20i-2019-02-17-1172510,2019-02-17,2019,1,T20I,Oman,Scotland,6.0,0.0,0.0,10.0,3.0,0.0,15.0,0.0,0.0,12.0,0.0,2.0,,,1.0
cricket-t20i-2019-10-06-1197522,2019-10-06,2019,1,T20I,Oman,Ireland,4.0,0.0,1.0,10.0,14.0,2.0,12.0,0.0,0.0,28.0,0.0,1.0,,,1.0
cricket-t20i-2019-10-09-1197527,2019-10-09,2019,1,T20I,Oman,Netherlands,,,,,,,18.0,0.0,0.0,28.0,0.0,1.0,,,1.0
cricket-t20i-2019-10-10-1197529,2019-10-10,2019,1,T20I,Oman,Nepal,,,,,,,6.0,0.0,0.0,12.0,0.0,0.0,1.0,,1.0
cricket-t20i-2019-10-18-1199502,2019-10-18,2019,1,T20I,United Arab Emirates,Oman,,,,,,,18.0,0.0,0.0,16.0,3.0,0.0,,,1.0
cricket-t20i-2019-10-20-1199511,2019-10-20,2019,1,T20I,Hong Kong,Oman,,,,,,,18.0,0.0,0.0,16.0,2.0,1.0,,,1.0
cricket-t20i-2019-10-21-1199514,2019-10-21,2019,1,T20I,Ireland,Oman,11.0,1.0,1.0,10.0,9.0,0.0,24.0,0.0,0.0,35.0,0.0,2.0,,,1.0
cricket-t20i-2019-10-25-1199532,2019-10-25,2019,1,T20I,Canada,Oman,,,,,,,18.0,0.0,1.0,28.0,0.0,1.0,,,1.0
cricket-t20i-2019-10-29-1199542,2019-10-29,2019,1,T20I,Namibia,Oman,9.0,0.0,0.0,10.0,6.0,0.0,24.0,0.0,0.0,30.0,1.0,0.0,,,1.0
cricket-t20i-2019-10-30-1199544,2019-10-30,2019,1,T20I,Hong Kong,Oman,,,,,,,24.0,0.0,0.0,17.0,2.0,0.0,,,1.0
cricket-t20i-2019-10-31-1199545,2019-10-31,2019,1,T20I,Oman,Scotland,,,,,,,18.0,0.0,1.0,24.0,0.0,1.0,1.0,,1.0
cricket-t20i-2021-10-19-1273717,2021-10-19,2021,1,T20I,Bangladesh,Oman,2.0,0.0,0.0,10.0,0.0,0.0,24.0,0.0,0.0,30.0,3.0,1.0,,,1.0
cricket-t20i-2021-10-21-1273721,2021-10-21,2021,1,T20I,Oman,Scotland,6.0,1.0,0.0,9.0,7.0,0.0,18.0,0.0,1.0,26.0,1.0,1.0,,,1.0
cricket-odi-2022-03-09-1302619,2022-03-09,2022,1,ODI,Oman,United Arab Emirates,7.0,0.0,1.0,8.0,9.0,1.0,57.0,0.0,0.0,28.0,3.0,2.0,,,1.0
cricket-odi-2022-03-11-1302620,2022-03-11,2022,1,ODI,Namibia,Oman,,,,,,,60.0,0.0,3.0,67.0,1.0,1.0,,,1.0
cricket-odi-2022-03-14-1302622,2022-03-14,2022,1,ODI,Oman,Namibia,,,,,,,48.0,0.0,0.0,49.0,1.0,2.0,,,1.0
cricket-odi-2022-04-10-1308245,2022-04-10,2022,1,ODI,Scotland,Oman,7.0,0.0,0.0,9.0,4.0,0.0,54.0,0.0,1.0,48.0,3.0,4.0,,,1.0
cricket-odi-2022-04-12-1308246,2022-04-12,2022,1,ODI,Papua New Guinea,Oman,,,,,,,42.0,0.0,0.0,37.0,2.0,1.0,1.0,,1.0
cricket-odi-2022-04-15-1308248,2022-04-15,2022,1,ODI,Oman,Scotland,,,,,,,18.0,0.0,0.0,20.0,0.0,0.0,,,1.0
cricket-odi-2022-04-16-1308249,2022-04-16,2022,1,ODI,Oman,Papua New Guinea,2.0,1.0,1.0,10.0,6.0,0.0,24.0,0.0,0.0,17.0,0.0,0.0,,,1.0
cricket-odi-2022-06-08-1312804,2022-06-08,2022,1,ODI,United States of America,Oman,12.0,0.0,0.0,8.0,6.0,0.0,48.0,0.0,0.0,51.0,1.0,1.0,,1.0,1.0
cricket-odi-2022-06-09-1312805,2022-06-09,2022,1,ODI,Oman,Nepal,13.0,1.0,0.0,9.0,9.0,0.0,42.0,0.0,0.0,31.0,0.0,1.0,1.0,1.0,1.0
cricket-odi-2022-06-12-1312807,2022-06-12,2022,1,ODI,Oman,United States of America,,,,,,,30.0,0.0,0.0,33.0,0.0,0.0,,,1.0
cricket-odi-2022-06-14-1312808,2022-06-14,2022,1,ODI,Oman,Nepal,12.0,2.0,1.0,9.0,13.0,0.0,42.0,0.0,0.0,33.0,2.0,2.0,,,1.0
cricket-t20i-2022-02-12-1299594,2022-02-12,2022,1,T20I,Oman,Ireland,5.0,0.0,0.0,9.0,1.0,0.0,24.0,0.0,0.0,27.0,0.0,0.0,,,1.0
cricket-t20i-2022-02-14-1299595,2022-02-14,2022,1,T20I,United Arab Emirates,Oman,,,,,,,18.0,0.0,0.0,30.0,0.0,0.0,,,1.0
