game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-bpl-2016-11-20-1063052,2016-11-20,2016,1,BPL,Khulna Titans,Barisal Bulls,2.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,20.0,0.0,1.0,,1.0
cricket-bpl-2016-12-01-1063082,2016-12-01,2016,1,BPL,Barisal Bulls,Rajshahi Kings,43.0,4.0,0.0,3.0,43.0,2.0,,,,,,,,1.0
cricket-bpl-2016-12-03-1063083,2016-12-03,2016,1,BPL,Rangpur Riders,Barisal Bulls,16.0,2.0,0.0,5.0,21.0,1.0,,,,,,,,1.0
cricket-bpl-2017-11-24-1121269,2017-11-24,2017,1,BPL,Khulna Titans,Rangpur Riders,10.0,0.0,0.0,5.0,6.0,0.0,,,,,,,,1.0
cricket-odi-2018-10-21-1153635,2018-10-21,2018,1,ODI,Bangladesh,Zimbabwe,4.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,16.0,0.0,2.0,,1.0
cricket-odi-2018-10-24-1153636,2018-10-24,2018,1,ODI,Zimbabwe,Bangladesh,5.0,0.0,0.0,3.0,0.0,0.0,,,,,,,1.0,1.0
cricket-bpl-2019-01-09-1169386,2019-01-09,2019,1,BPL,Khulna Titans,Rajshahi Kings,,,,,,,,,,,,,1.0,1.0
cricket-bpl-2019-01-11-1169388,2019-01-11,2019,1,BPL,Rajshahi Kings,Comilla Victorians,6.0,0.0,0.0,7.0,3.0,0.0,,,,,,,,1.0
cricket-bpl-2019-01-25-1169407,2019-01-25,2019,1,BPL,Sylhet Sixers,Rajshahi Kings,41.0,6.0,0.0,3.0,50.0,1.0,,,,,,,1.0,1.0
cricket-bpl-2019-01-26-1169410,2019-01-26,2019,1,BPL,Rajshahi Kings,Chittagong Vikings,1.0,0.0,1.0,6.0,1.0,0.0,,,,,,,,1.0
cricket-bpl-2019-01-29-1169414,2019-01-29,2019,1,BPL,Rajshahi Kings,Rangpur Riders,24.0,2.0,0.0,7.0,18.0,0.0,,,,,,,,1.0
cricket-bpl-2019-12-11-1208068,2019-12-11,2019,1,BPL,Cumilla Warriors,Rangpur Rangers,2.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,1.0
cricket-bpl-2019-12-20-1208079,2019-12-20,2019,1,BPL,Rangpur Rangers,Khulna Tigers,33.0,2.0,0.0,5.0,42.0,2.0,,,,,,,,1.0
cricket-bpl-2019-12-21-1208082,2019-12-21,2019,1,BPL,Chattogram Challengers,Rangpur Rangers,21.0,4.0,1.0,6.0,38.0,2.0,,,,,,,,1.0
cricket-bpl-2019-12-27-1208088,2019-12-27,2019,1,BPL,Khulna Tigers,Rangpur Rangers,11.0,0.0,0.0,5.0,4.0,0.0,,,,,,,,1.0
cricket-bpl-2019-12-31-1208094,2019-12-31,2019,1,BPL,Rangpur Rangers,Rajshahi Royals,3.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,1.0
cricket-bpl-2020-01-02-1208095,2020-01-02,2020,1,BPL,Rajshahi Royals,Rangpur Rangers,26.0,3.0,0.0,5.0,34.0,2.0,,,,,,,,1.0
cricket-bpl-2020-01-03-1208098,2020-01-03,2020,1,BPL,Rangpur Rangers,Sylhet Thunder,8.0,1.0,1.0,6.0,16.0,1.0,,,,,,,,1.0
cricket-bpl-2020-01-08-1208104,2020-01-08,2020,1,BPL,Dhaka Platoon,Rangpur Rangers,7.0,0.0,0.0,5.0,3.0,0.0,,,,,,,,1.0
cricket-bpl-2023-02-03-1351084,2023-02-03,2023,1,BPL,Fortune Barishal,Khulna Tigers,29.0,4.0,0.0,2.0,39.0,2.0,,,,,,,1.0,1.0
cricket-bpl-2023-02-07-1351089,2023-02-07,2023,1,BPL,Fortune Barishal,Comilla Victorians,8.0,1.0,0.0,2.0,8.0,0.0,,,,,,,1.0,1.0
cricket-bpl-2024-01-30-1412288,2024-01-30,2024,1,BPL,Rangpur Riders,Comilla Victorians,21.0,1.0,0.0,3.0,30.0,2.0,,,,,,,1.0,1.0
cricket-bpl-2024-02-03-1412293,2024-02-03,2024,1,BPL,Rangpur Riders,Sylhet Strikers,21.0,1.0,0.0,3.0,14.0,0.0,,,,,,,1.0,1.0
cricket-bpl-2024-02-06-1412294,2024-02-06,2024,1,BPL,Rangpur Riders,Durdanto Dhaka,,,,,,,,,,,,,3.0,1.0
