game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,match_played
cricket-t20i-2024-05-09-1432194,2024-05-09,2024,1,T20I,France,Malta,1.0,0.0,0.0,2.0,0.0,0.0,,1.0
cricket-t20i-2024-05-09-1432195,2024-05-09,2024,1,T20I,France,Malta,30.0,3.0,0.0,2.0,53.0,5.0,,1.0
cricket-t20i-2024-05-10-1432196,2024-05-10,2024,1,T20I,Belgium,France,6.0,1.0,0.0,2.0,10.0,1.0,,1.0
cricket-t20i-2024-05-11-1432199,2024-05-11,2024,1,T20I,Belgium,France,5.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0
cricket-t20i-2024-05-12-1432200,2024-05-12,2024,1,T20I,France,Belgium,9.0,0.0,0.0,1.0,9.0,0.0,,1.0
cricket-t20i-2024-06-09-1436473,2024-06-09,2024,1,T20I,France,Isle of Man,11.0,1.0,0.0,1.0,11.0,0.0,,1.0
cricket-t20i-2024-06-10-1436478,2024-06-10,2024,1,T20I,France,Italy,18.0,4.0,0.0,1.0,28.0,1.0,,1.0
cricket-t20i-2024-06-13-1436484,2024-06-13,2024,1,T20I,France,Luxembourg,10.0,3.0,0.0,1.0,15.0,0.0,1.0,1.0
cricket-t20i-2024-06-15-1436489,2024-06-15,2024,1,T20I,France,Turkey,16.0,2.0,0.0,1.0,17.0,0.0,,1.0
cricket-t20i-2024-06-16-1436492,2024-06-16,2024,1,T20I,France,Austria,11.0,2.0,0.0,1.0,13.0,0.0,,1.0
