game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2018-07-12-1147729,2018-07-12,2018,1,T20I,Ireland,Papua New Guinea,2.0,0.0,0.0,8.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2019-09-07-1197063,2019-09-07,2019,1,T20I,Ireland,Papua New Guinea,8.0,0.0,1.0,9.0,6.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,,,1.0
cricket-t20i-2022-09-18-1331386,2022-09-18,2022,1,T20I,Papua New Guinea,Zimbabwe,10.0,1.0,1.0,9.0,8.0,0.0,18.0,0.0,0.0,10.0,0.0,0.0,,,1.0
cricket-t20i-2022-09-19-1331390,2022-09-19,2022,1,T20I,Papua New Guinea,United Arab Emirates,,,,,,,18.0,0.0,0.0,13.0,0.0,0.0,,,1.0
cricket-t20i-2022-09-23-1331399,2022-09-23,2022,1,T20I,United States of America,Papua New Guinea,,,,,,,12.0,0.0,1.0,6.0,0.0,0.0,,,1.0
cricket-t20i-2022-09-25-1331403,2022-09-25,2022,1,T20I,Scotland,Papua New Guinea,,,,,,,18.0,0.0,1.0,27.0,0.0,1.0,,,1.0
cricket-t20i-2023-09-01-1394794,2023-09-01,2023,1,T20I,Papua New Guinea,Vanuatu,3.0,0.0,0.0,8.0,3.0,0.0,21.0,0.0,0.0,20.0,0.0,0.0,,,1.0
cricket-t20i-2023-09-02-1394796,2023-09-02,2023,1,T20I,Papua New Guinea,Cook Islands,,,,,,,24.0,1.0,0.0,9.0,0.0,0.0,,1.0,1.0
cricket-t20i-2023-09-04-1394799,2023-09-04,2023,1,T20I,Samoa,Papua New Guinea,,,,,,,6.0,0.0,0.0,4.0,1.0,0.0,,,1.0
cricket-t20i-2023-09-07-1394807,2023-09-07,2023,1,T20I,Fiji,Papua New Guinea,,,,,,,12.0,0.0,0.0,3.0,0.0,0.0,,,1.0
cricket-t20i-2023-09-08-1394811,2023-09-08,2023,1,T20I,Papua New Guinea,Indonesia,,,,,,,15.0,1.0,0.0,3.0,3.0,1.0,1.0,,1.0
cricket-odi-2024-03-26-1426046,2024-03-26,2024,1,ODI,Papua New Guinea,Zimbabwe,11.0,0.0,0.0,9.0,3.0,0.0,60.0,2.0,0.0,21.0,0.0,3.0,,,1.0
cricket-odi-2024-03-28-1426047,2024-03-28,2024,1,ODI,Zimbabwe,Papua New Guinea,10.0,1.0,0.0,10.0,6.0,0.0,60.0,1.0,2.0,45.0,1.0,1.0,,,1.0
cricket-odi-2024-04-11-1427423,2024-04-11,2024,1,ODI,United States of America,Papua New Guinea,,,,,,,60.0,1.0,1.0,38.0,4.0,0.0,1.0,,1.0
cricket-odi-2024-04-12-1427424,2024-04-12,2024,1,ODI,Scotland,Papua New Guinea,12.0,1.0,0.0,10.0,8.0,0.0,54.0,0.0,0.0,59.0,1.0,1.0,1.0,,1.0
cricket-odi-2024-08-05-1444543,2024-08-05,2024,1,ODI,Papua New Guinea,Netherlands,17.0,1.0,0.0,10.0,6.0,0.0,25.0,0.0,0.0,32.0,2.0,2.0,,,1.0
cricket-odi-2024-08-06-1444544,2024-08-06,2024,1,ODI,Scotland,Papua New Guinea,5.0,0.0,0.0,8.0,4.0,0.0,36.0,0.0,0.0,31.0,1.0,1.0,,,1.0
cricket-odi-2024-08-09-1444546,2024-08-09,2024,1,ODI,Papua New Guinea,Netherlands,37.0,1.0,0.0,9.0,14.0,0.0,60.0,1.0,1.0,34.0,1.0,4.0,1.0,,1.0
cricket-odi-2024-08-11-1444547,2024-08-11,2024,1,ODI,Papua New Guinea,Scotland,2.0,0.0,0.0,10.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,,,1.0
cricket-t20i-2024-03-30-1426048,2024-03-30,2024,1,T20I,Papua New Guinea,Zimbabwe,,,,,,,24.0,0.0,0.0,20.0,0.0,1.0,,,1.0
cricket-t20i-2024-03-31-1426049,2024-03-31,2024,1,T20I,Zimbabwe,Papua New Guinea,1.0,0.0,1.0,6.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,,,1.0
cricket-t20i-2024-04-02-1426050,2024-04-02,2024,1,T20I,Zimbabwe,Papua New Guinea,,,,,,,24.0,0.0,0.0,26.0,0.0,1.0,1.0,,1.0
cricket-t20i-2024-08-14-1444549,2024-08-14,2024,1,T20I,Netherlands,Papua New Guinea,,,,,,,2.0,0.0,0.0,1.0,0.0,0.0,,,1.0
cricket-t20i-2024-08-15-1444550,2024-08-15,2024,1,T20I,Scotland,Papua New Guinea,9.0,0.0,0.0,9.0,3.0,0.0,18.0,0.0,0.0,20.0,0.0,0.0,,,1.0
cricket-odi-2025-10-13-1506450,2025-10-13,2025,1,ODI,Papua New Guinea,United Arab Emirates,13.0,1.0,0.0,8.0,10.0,0.0,30.0,0.0,0.0,18.0,0.0,0.0,,,1.0
cricket-odi-2025-10-15-1506451,2025-10-15,2025,1,ODI,United Arab Emirates,Papua New Guinea,9.0,0.0,0.0,8.0,6.0,0.0,54.0,1.0,0.0,22.0,1.0,0.0,,,1.0
cricket-odi-2025-10-17-1506452,2025-10-17,2025,1,ODI,United Arab Emirates,Papua New Guinea,1.0,0.0,0.0,8.0,0.0,0.0,60.0,1.0,0.0,27.0,1.0,1.0,,,1.0
cricket-odi-2025-10-19-1506453,2025-10-19,2025,1,ODI,Papua New Guinea,United Arab Emirates,5.0,1.0,1.0,9.0,6.0,0.0,48.0,0.0,0.0,23.0,2.0,2.0,,,1.0
cricket-t20i-2025-06-16-1489043,2025-06-16,2025,1,T20I,Papua New Guinea,Vanuatu,,,,,,,20.0,2.0,0.0,5.0,4.0,0.0,,,1.0
cricket-t20i-2025-06-17-1489044,2025-06-17,2025,1,T20I,Samoa,Papua New Guinea,,,,,,,18.0,1.0,0.0,8.0,1.0,0.0,,,1.0
cricket-t20i-2025-06-20-1489046,2025-06-20,2025,1,T20I,Papua New Guinea,Vanuatu,,,,,,,24.0,1.0,0.0,8.0,3.0,0.0,,1.0,1.0
cricket-t20i-2025-06-21-1489047,2025-06-21,2025,1,T20I,Papua New Guinea,Samoa,4.0,2.0,1.0,8.0,10.0,0.0,12.0,0.0,0.0,12.0,1.0,0.0,,,1.0
cricket-t20i-2025-09-09-1499785,2025-09-09,2025,1,T20I,Papua New Guinea,Japan,,,,,,,23.0,1.0,0.0,8.0,3.0,0.0,,,1.0
cricket-t20i-2025-09-10-1499790,2025-09-10,2025,1,T20I,Papua New Guinea,Philippines,,,,,,,24.0,0.0,0.0,17.0,0.0,1.0,2.0,1.0,1.0
cricket-t20i-2025-09-12-1499795,2025-09-12,2025,1,T20I,Samoa,Papua New Guinea,7.0,1.0,0.0,8.0,11.0,0.0,24.0,1.0,0.0,19.0,1.0,1.0,,,1.0
cricket-t20i-2025-09-13-1499798,2025-09-13,2025,1,T20I,Indonesia,Papua New Guinea,,,,,,,24.0,0.0,0.0,37.0,0.0,3.0,1.0,,1.0
cricket-t20i-2025-09-15-1499803,2025-09-15,2025,1,T20I,Vanuatu,Papua New Guinea,,,,,,,24.0,0.0,0.0,18.0,3.0,0.0,,,1.0
cricket-t20i-2025-11-14-1510279,2025-11-14,2025,1,T20I,Scotland,Papua New Guinea,4.0,0.0,0.0,8.0,1.0,0.0,24.0,0.0,1.0,23.0,1.0,1.0,,,1.0
cricket-t20i-2025-11-15-1510281,2025-11-15,2025,1,T20I,Namibia,Papua New Guinea,,,,,,,24.0,0.0,0.0,12.0,2.0,0.0,1.0,,1.0
cricket-t20i-2025-11-17-1510284,2025-11-17,2025,1,T20I,Papua New Guinea,Thailand,,,,,,,24.0,0.0,0.0,16.0,1.0,0.0,,,1.0
cricket-t20i-2025-11-20-1510286,2025-11-20,2025,1,T20I,Papua New Guinea,United Arab Emirates,1.0,0.0,1.0,7.0,1.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,,,1.0
cricket-t20i-2025-11-21-1510290,2025-11-21,2025,1,T20I,Papua New Guinea,Thailand,25.0,2.0,0.0,8.0,25.0,0.0,25.0,0.0,0.0,13.0,0.0,0.0,,,1.0
cricket-t20i-2025-11-23-1510294,2025-11-23,2025,1,T20I,Uganda,Papua New Guinea,2.0,0.0,0.0,6.0,0.0,0.0,18.0,0.0,0.0,22.0,0.0,1.0,,,1.0
cricket-t20i-2025-11-25-1510300,2025-11-25,2025,1,T20I,Papua New Guinea,Netherlands,,,,,,,18.0,0.0,0.0,15.0,0.0,0.0,,,1.0
cricket-t20i-2025-11-26-1510304,2025-11-26,2025,1,T20I,Papua New Guinea,Scotland,5.0,0.0,0.0,8.0,3.0,0.0,24.0,0.0,0.0,24.0,1.0,0.0,,,1.0
cricket-t20i-2025-11-28-1510307,2025-11-28,2025,1,T20I,Papua New Guinea,Namibia,7.0,0.0,0.0,8.0,2.0,0.0,24.0,0.0,0.0,25.0,2.0,2.0,,1.0,1.0
cricket-t20i-2025-11-30-1510312,2025-11-30,2025,1,T20I,Papua New Guinea,Tanzania,4.0,0.0,0.0,7.0,2.0,0.0,24.0,0.0,0.0,12.0,2.0,1.0,,,1.0
cricket-t20i-2026-01-18-1515210,2026-01-18,2026,1,T20I,Ireland,Papua New Guinea,16.0,3.0,1.0,8.0,16.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,,,1.0
cricket-t20i-2026-01-20-1515212,2026-01-20,2026,1,T20I,Bangladesh,Papua New Guinea,,,,,,,24.0,0.0,0.0,18.0,0.0,0.0,,,1.0
cricket-t20i-2026-01-24-1515221,2026-01-24,2026,1,T20I,Namibia,Papua New Guinea,12.0,2.0,1.0,8.0,15.0,0.0,24.0,0.0,0.0,19.0,1.0,1.0,,,1.0
cricket-t20i-2026-01-26-1515225,2026-01-26,2026,1,T20I,Papua New Guinea,United States of America,,,,,,,12.0,0.0,0.0,19.0,0.0,0.0,,,1.0
