game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105140LAS,2021-05-14,2021,1,WNBA,DAL,LAS,1.0,1.0,8.0,,,,0.714,7.0,5.0,3.0,,,,19.266666666666666,1.0,24.0,10.0,9.0,,3.0
WNBA_202105220DAL,2021-05-22,2021,1,WNBA,SEA,DAL,2.0,2.0,8.0,,,,0.438,16.0,7.0,6.0,1.0,2.0,2.0,35.4,3.0,10.0,16.0,11.0,1.0,1.0
WNBA_202105240NYL,2021-05-24,2021,1,WNBA,DAL,NYL,,,4.0,,,,0.417,12.0,5.0,4.0,0.5,2.0,1.0,32.53333333333333,1.0,-1.0,11.0,5.0,2.0,1.0
WNBA_202105270ATL,2021-05-27,2021,1,WNBA,DAL,ATL,1.0,1.0,9.0,,,,0.4,5.0,2.0,4.0,1.0,4.0,4.0,27.95,,-1.0,8.0,9.0,1.0,
WNBA_202105290DAL,2021-05-29,2021,1,WNBA,PHO,DAL,3.0,,1.0,,,,,5.0,,1.0,,,,17.433333333333334,1.0,-6.0,,2.0,1.0,
WNBA_202106010DAL,2021-06-01,2021,1,WNBA,LAS,DAL,,,1.0,,,,0.5,2.0,1.0,4.0,1.0,2.0,2.0,17.6,,14.0,4.0,1.0,,4.0
WNBA_202106040SEA,2021-06-04,2021,1,WNBA,DAL,SEA,2.0,,3.0,,,,0.333,12.0,4.0,5.0,,3.0,,26.583333333333332,4.0,-14.0,8.0,7.0,1.0,
WNBA_202106060SEA,2021-06-06,2021,1,WNBA,DAL,SEA,2.0,1.0,6.0,,1.0,,0.5,10.0,5.0,4.0,1.0,4.0,4.0,27.05,2.0,16.0,14.0,8.0,,2.0
WNBA_202106080PHO,2021-06-08,2021,1,WNBA,DAL,PHO,1.0,,7.0,,,,0.5,8.0,4.0,2.0,1.0,1.0,1.0,27.483333333333334,2.0,10.0,9.0,9.0,2.0,2.0
WNBA_202106110PHO,2021-06-11,2021,1,WNBA,DAL,PHO,,,4.0,,,,,,,1.0,,,,11.633333333333333,1.0,,,5.0,,1.0
WNBA_202106130LVA,2021-06-13,2021,1,WNBA,DAL,LVA,1.0,1.0,4.0,,,,0.5,10.0,5.0,3.0,0.75,4.0,3.0,24.966666666666665,5.0,-4.0,13.0,9.0,2.0,2.0
WNBA_202106170DAL,2021-06-17,2021,1,WNBA,MIN,DAL,,1.0,3.0,,,,0.25,8.0,2.0,,1.0,3.0,3.0,15.983333333333333,1.0,-9.0,7.0,4.0,,
WNBA_202106190DAL,2021-06-19,2021,1,WNBA,MIN,DAL,,,3.0,,,,0.333,3.0,1.0,2.0,,,,10.2,,5.0,2.0,3.0,1.0,2.0
WNBA_202106220CON,2021-06-22,2021,1,WNBA,DAL,CON,,1.0,2.0,,,,0.667,6.0,4.0,1.0,,,,12.933333333333334,2.0,-7.0,8.0,4.0,,2.0
WNBA_202106240IND,2021-06-24,2021,1,WNBA,DAL,IND,1.0,1.0,2.0,,,,0.714,7.0,5.0,2.0,,,,12.8,,18.0,10.0,2.0,2.0,1.0
WNBA_202106260DAL,2021-06-26,2021,1,WNBA,WAS,DAL,2.0,,1.0,,,,0.417,12.0,5.0,1.0,,,,22.083333333333332,3.0,8.0,10.0,4.0,3.0,
WNBA_202106300DAL,2021-06-30,2021,1,WNBA,CHI,DAL,1.0,1.0,7.0,,,,0.588,17.0,10.0,2.0,1.0,3.0,3.0,29.35,1.0,7.0,23.0,8.0,4.0,2.0
WNBA_202107020DAL,2021-07-02,2021,1,WNBA,CHI,DAL,1.0,2.0,,,,,0.857,7.0,6.0,,,,,29.733333333333334,1.0,13.0,12.0,1.0,,2.0
WNBA_202107050NYL,2021-07-05,2021,1,WNBA,DAL,NYL,2.0,1.0,5.0,,,,0.75,12.0,9.0,2.0,0.714,7.0,5.0,27.566666666666666,2.0,2.0,23.0,7.0,2.0,4.0
WNBA_202107070MIN,2021-07-07,2021,1,WNBA,DAL,MIN,,1.0,4.0,,,,0.5,10.0,5.0,1.0,1.0,2.0,2.0,22.55,1.0,14.0,12.0,5.0,1.0,
WNBA_202107110DAL,2021-07-11,2021,1,WNBA,LVA,DAL,3.0,,,,,,,,,4.0,,,,10.716666666666667,1.0,-2.0,,1.0,,1.0
WNBA_202108150DAL,2021-08-15,2021,1,WNBA,CON,DAL,1.0,1.0,5.0,,,,0.333,6.0,2.0,5.0,,,,34.31666666666667,,-17.0,4.0,5.0,1.0,2.0
WNBA_202108170CHI,2021-08-17,2021,1,WNBA,DAL,CHI,1.0,,5.0,,,,0.5,12.0,6.0,1.0,0.75,4.0,3.0,23.283333333333335,1.0,-3.0,15.0,6.0,1.0,
WNBA_202108200DAL,2021-08-20,2021,1,WNBA,IND,DAL,1.0,3.0,5.0,,,,0.636,11.0,7.0,1.0,0.889,9.0,8.0,30.116666666666667,2.0,-1.0,22.0,7.0,1.0,4.0
