game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-cpl-2019-09-20-1185853,2019-09-20,2019,1,CPL,Barbados Tridents,St Lucia Zouks,,,,,,,24.0,1.0,0.0,33.0,2.0,1.0,,,1.0
cricket-cpl-2020-08-30-1227883,2020-08-30,2020,1,CPL,St Lucia Zouks,Barbados Tridents,,,,,,,18.0,0.0,0.0,17.0,1.0,0.0,1.0,,1.0
cricket-cpl-2020-09-05-1227892,2020-09-05,2020,1,CPL,Jamaica Tallawahs,Barbados Tridents,,,,,,,24.0,0.0,0.0,30.0,1.0,0.0,,,1.0
cricket-cpl-2021-08-31-1269709,2021-08-31,2021,1,CPL,Barbados Royals,Jamaica Tallawahs,8.0,0.0,1.0,9.0,18.0,2.0,24.0,1.0,0.0,20.0,3.0,0.0,,,1.0
cricket-cpl-2021-09-09-1269722,2021-09-09,2021,1,CPL,Barbados Royals,Trinbago Knight Riders,19.0,1.0,1.0,9.0,17.0,1.0,23.0,0.0,0.0,29.0,2.0,0.0,,,1.0
cricket-cpl-2021-09-11-1269724,2021-09-11,2021,1,CPL,St Lucia Kings,Barbados Royals,8.0,1.0,1.0,9.0,8.0,0.0,18.0,0.0,0.0,28.0,1.0,0.0,,,1.0
cricket-cpl-2021-09-12-1269727,2021-09-12,2021,1,CPL,St Lucia Kings,Barbados Royals,,,,,,,24.0,0.0,0.0,21.0,0.0,0.0,,1.0,1.0
cricket-cpl-2022-09-01-1323146,2022-09-01,2022,1,CPL,St Kitts and Nevis Patriots,Barbados Royals,,,,,,,18.0,0.0,0.0,19.0,1.0,4.0,,1.0,1.0
cricket-cpl-2022-09-04-1323149,2022-09-04,2022,1,CPL,Barbados Royals,St Lucia Kings,3.0,1.0,1.0,9.0,10.0,1.0,12.0,0.0,0.0,20.0,0.0,2.0,1.0,,1.0
cricket-cpl-2022-09-15-1323162,2022-09-15,2022,1,CPL,Barbados Royals,Jamaica Tallawahs,,,,,,,18.0,0.0,0.0,17.0,0.0,0.0,,,1.0
cricket-cpl-2022-09-21-1323167,2022-09-21,2022,1,CPL,Barbados Royals,St Kitts and Nevis Patriots,,,,,,,6.0,0.0,0.0,9.0,0.0,0.0,2.0,,1.0
cricket-cpl-2022-09-25-1323173,2022-09-25,2022,1,CPL,Barbados Royals,Guyana Amazon Warriors,1.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,1.0,,,1.0
cricket-cpl-2022-09-30-1323177,2022-09-30,2022,1,CPL,Barbados Royals,Jamaica Tallawahs,,,,,,,18.0,0.0,0.0,27.0,0.0,0.0,,,1.0
cricket-cpl-2023-08-17-1369559,2023-08-17,2023,1,CPL,St Lucia Kings,Barbados Royals,8.0,1.0,0.0,10.0,13.0,1.0,12.0,0.0,0.0,26.0,0.0,0.0,1.0,,1.0
