game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-odi-2005-06-16-211244,2005-06-16,2005,1,ODI,Bangladesh,England,,,,,,,60.0,0.0,0.0,32.0,3.0,1.0,,1.0
cricket-t20i-2005-06-13-211028,2005-06-13,2005,1,T20I,England,Australia,,,,,,,24.0,0.0,0.0,24.0,4.0,0.0,,1.0
cricket-odi-2006-09-02-225246,2006-09-02,2006,1,ODI,England,Pakistan,2.0,0.0,0.0,10.0,2.0,0.0,48.0,4.0,2.0,11.0,2.0,1.0,,1.0
cricket-odi-2006-09-05-225247,2006-09-05,2006,1,ODI,England,Pakistan,4.0,1.0,0.0,9.0,7.0,0.0,54.0,0.0,0.0,32.0,2.0,0.0,,1.0
cricket-odi-2006-09-08-225248,2006-09-08,2006,1,ODI,England,Pakistan,,,,,,,60.0,1.0,0.0,49.0,2.0,1.0,,1.0
cricket-odi-2006-09-10-225249,2006-09-10,2006,1,ODI,England,Pakistan,,,,,,,60.0,1.0,0.0,25.0,1.0,1.0,,1.0
cricket-odi-2006-10-28-249755,2006-10-28,2006,1,ODI,England,West Indies,,,,,,,60.0,1.0,0.0,35.0,1.0,1.0,,1.0
cricket-tests-2006-06-02-225266,2006-06-02,2006,1,TESTS,Sri Lanka,England,45.0,5.0,0.0,10.0,27.0,0.0,246.0,9.0,3.0,122.0,3.0,0.0,,1.0
cricket-odi-2007-01-12-249232,2007-01-12,2007,1,ODI,Australia,England,9.0,0.0,0.0,9.0,9.0,0.0,50.0,1.0,1.0,43.0,0.0,2.0,,1.0
cricket-odi-2007-01-16-249236,2007-01-16,2007,1,ODI,England,New Zealand,6.0,0.0,1.0,9.0,2.0,0.0,54.0,0.0,0.0,51.0,0.0,1.0,,1.0
cricket-odi-2007-01-19-249233,2007-01-19,2007,1,ODI,Australia,England,4.0,0.0,0.0,10.0,1.0,0.0,60.0,2.0,4.0,36.0,4.0,0.0,,1.0
cricket-odi-2007-01-23-249237,2007-01-23,2007,1,ODI,England,New Zealand,8.0,1.0,0.0,10.0,5.0,0.0,60.0,1.0,2.0,31.0,1.0,1.0,,1.0
cricket-odi-2007-09-02-258475,2007-09-02,2007,1,ODI,England,India,15.0,2.0,0.0,9.0,17.0,0.0,60.0,1.0,0.0,63.0,1.0,1.0,,1.0
cricket-t20i-2007-01-09-249227,2007-01-09,2007,1,T20I,Australia,England,4.0,0.0,0.0,9.0,1.0,0.0,18.0,0.0,0.0,31.0,0.0,0.0,1.0,1.0
