game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,fielding_runouts,match_played
cricket-tests-2004-03-18-64075,2004-03-18,2004,1,TESTS,South Africa,New Zealand,,,,,,,1.0,,1.0
cricket-tests-2004-03-26-64076,2004-03-26,2004,1,TESTS,New Zealand,South Africa,,,,,,,1.0,,1.0
cricket-odi-2005-02-26-64933,2005-02-26,2005,1,ODI,Australia,New Zealand,16.0,1.0,0.0,6.0,14.0,0.0,,,1.0
cricket-odi-2005-03-01-64935,2005-03-01,2005,1,ODI,New Zealand,Australia,21.0,1.0,0.0,6.0,9.0,0.0,,,1.0
cricket-odi-2005-12-03-226364,2005-12-03,2005,1,ODI,Australia,New Zealand,5.0,0.0,0.0,5.0,1.0,0.0,,,1.0
cricket-tests-2005-04-11-64134,2005-04-11,2005,1,TESTS,Sri Lanka,New Zealand,45.0,4.0,0.0,2.0,28.0,0.0,1.0,,1.0
cricket-tests-2005-08-07-215253,2005-08-07,2005,1,TESTS,New Zealand,Zimbabwe,20.0,1.0,0.0,1.0,5.0,0.0,1.0,,1.0
cricket-tests-2005-08-15-216055,2005-08-15,2005,1,TESTS,Zimbabwe,New Zealand,27.0,2.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0
cricket-odi-2006-12-28-251489,2006-12-28,2006,1,ODI,New Zealand,Sri Lanka,1.0,0.0,0.0,6.0,0.0,0.0,,,1.0
cricket-t20i-2006-12-22-251487,2006-12-22,2006,1,T20I,New Zealand,Sri Lanka,4.0,0.0,0.0,6.0,1.0,0.0,,,1.0
cricket-odi-2007-01-02-251491,2007-01-02,2007,1,ODI,New Zealand,Sri Lanka,16.0,0.0,0.0,6.0,5.0,0.0,,1.0,1.0
cricket-odi-2008-06-15-296904,2008-06-15,2008,1,ODI,England,New Zealand,25.0,0.0,0.0,3.0,4.0,0.0,,,1.0
cricket-odi-2008-06-28-296908,2008-06-28,2008,1,ODI,England,New Zealand,,,,,,,2.0,,1.0
cricket-t20i-2008-06-13-296903,2008-06-13,2008,1,T20I,England,New Zealand,11.0,2.0,0.0,3.0,13.0,0.0,,,1.0
cricket-tests-2008-05-15-296900,2008-05-15,2008,1,TESTS,England,New Zealand,80.0,4.0,0.0,3.0,24.0,0.0,1.0,,1.0
cricket-tests-2008-05-23-296901,2008-05-23,2008,1,TESTS,England,New Zealand,54.0,4.0,0.0,3.0,28.0,0.0,1.0,,1.0
