game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_SOL,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-17-ATX-CHI,2022-06-17,2022,4,,ATX,CHI,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-25-DAL-ATX,2022-06-25,2022,5,,DAL,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-02-ATX-DAL,2022-07-02,2022,6,,ATX,DAL,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-09-ATL-ATX,2022-07-09,2022,7,AUDL,hustle,sol,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-16-DAL-ATX,2022-07-16,2022,8,AUDL,legion,sol,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-29-TB-ATX,2022-07-29,2022,10,AUDL,cannons,sol,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,AUDL,DALLAS LEGION,HOUSTON HAVOC,1.0,,6.0,6.0,,,,7.0,1.0,53.0,20.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,AUDL,ATLANTA HUSTLE,HOUSTON HAVOC,,1.0,4.0,3.0,,1.0,,4.0,1.0,94.0,-13.0
2023-07-07-HTX-ATX,2023-07-07,2023,11,AUDL,HOUSTON HAVOC,AUSTIN SOL,,1.0,8.0,5.0,,,,5.0,,94.0,12.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,AUDL,HOUSTON HAVOC,DALLAS LEGION,,,16.0,14.0,,2.0,2.0,14.0,,140.0,29.0
2023-07-22-DAL-HTX,2023-07-22,2023,13,AUDL,DALLAS LEGION,HOUSTON HAVOC,,,8.0,7.0,,1.0,,7.0,,69.0,34.0
2024-05-03-HTX-ATX,2024-05-03,2024,2,UFA,havoc,sol,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-05-11-ATX-DAL,2024-05-11,2024,3,UFA,sol,legion,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-05-25-CHI-ATX,2024-05-25,2024,6,UFA,union,sol,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-05-31-CAR-ATX,2024-05-31,2024,6,UFA,flyers,sol,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-06-01-ATX-HTX,2024-06-01,2024,6,UFA,sol,havoc,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-06-07-ATX-ATL,2024-06-07,2024,7,UFA,sol,hustle,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-06-08-ATX-CAR,2024-06-08,2024,7,UFA,sol,flyers,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-06-15-DAL-ATX,2024-06-15,2024,8,UFA,legion,sol,0.0,1.0,,,0.0,0.0,,,0.0,68.0,3.0
2024-06-21-ATX-DAL,2024-06-21,2024,9,UFA,sol,legion,0.0,1.0,,,0.0,0.0,,,0.0,4.0,17.0
2024-06-29-ATL-ATX,2024-06-29,2024,10,UFA,hustle,sol,1.0,2.0,,,0.0,1.0,,,0.0,27.0,15.0
2024-07-06-HTX-ATX,2024-07-06,2024,11,UFA,havoc,sol,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-07-20-ATX-DAL,2024-07-20,2024,13,UFA,sol,legion,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
