game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_tot
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,,16.0,5.0,7.0,,26.0,56.0,31.0,3.0,87.0,2.0,32.0,35.0,,,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,,,,,,,1.0,,,,18.0,1.0,18.0,2.0,14.0,19.0,,,,,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,,,,,,47.0,2.0,3.0,,17.0,64.0,31.0,2.0,42.0,2.0,13.0,12.0,,,,,
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,,,,,,,2.0,2.0,1.0,7.0,12.0,25.0,1.0,25.0,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,,,,,,5.0,1.0,1.0,,5.0,5.0,29.0,3.0,78.0,,,,,,,,
FOOTBALL_CFL_2022_6_25_EDM@CGY,2022-06-25,2022,1,CFL,EDM,CGY,,,,,,,8.0,1.0,1.0,,8.0,8.0,30.0,3.0,67.0,1.0,7.0,7.0,,,,,
FOOTBALL_CFL_2022_7_30_WPG@CGY,2022-07-30,2022,1,CFL,WPG,CGY,,,,,,,7.0,1.0,2.0,,3.0,7.0,21.0,3.0,56.0,1.0,5.0,5.0,,,,,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,,,,,1.0,,,,60.0,2.0,97.0,1.0,6.0,6.0,,,,,
FOOTBALL_CFL_2022_8_13_BC@CGY,2022-08-13,2022,1,CFL,BC,CGY,,,,,,,,3.0,3.0,1.0,5.0,54.0,77.0,3.0,141.0,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2022_8_20_CGY@TOR,2022-08-20,2022,1,CFL,CGY,TOR,,,,,,,9.0,3.0,4.0,,5.0,19.0,24.0,2.0,26.0,,,,,,,,
FOOTBALL_CFL_2022_8_5_CGY@OTT,2022-08-05,2022,1,CFL,CGY,OTT,,,,,,,7.0,1.0,1.0,,1.0,7.0,,,,,,,,,,,
