game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,0.0,38.0,2.0,,
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,0.0,0.0,1.0,,
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,0.0,25.0,1.0,,
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,0.0,21.0,2.0,0.0,-2.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,0.0,33.0,3.0,,
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,,,0.0,26.0,3.0,,
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,,0.0,22.0,3.0,,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,0.0,26.0,1.0,,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,0.0,17.0,3.0,,
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,0.0,14.0,2.0,,
87,2026-03-27,2026,1,UFL,BIRMINGHAM STALLIONS,LOUISVILLE KINGS,,,0.0,103.0,9.0,,
93,2026-04-05,2026,2,UFL,BIRMINGHAM STALLIONS,HOUSTON GAMBLERS,,,1.0,63.0,5.0,,
98,2026-04-12,2026,3,UFL,BIRMINGHAM STALLIONS,ST. LOUIS BATTLEHAWKS,,,0.0,22.0,1.0,,
102,2026-04-18,2026,4,UFL,ORLANDO STORM,BIRMINGHAM STALLIONS,,,0.0,35.0,4.0,,
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,1.0,0.0,107.0,9.0,,
110,2026-05-03,2026,6,UFL,BIRMINGHAM STALLIONS,ORLANDO STORM,,,0.0,75.0,4.0,,
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,1.0,,1.0,82.0,6.0,,
118,2026-05-17,2026,8,UFL,COLUMBUS AVIATORS,BIRMINGHAM STALLIONS,,,0.0,33.0,2.0,,
