game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-odi-2007-03-20-247470,2007-03-20,2007,1,ODI,Scotland,South Africa,,,,,,,18.0,0.0,0.0,24.0,0.0,0.0,,,1.0
cricket-odi-2007-08-16-275789,2007-08-16,2007,1,ODI,Scotland,India,,,,,,,36.0,0.0,0.0,48.0,0.0,4.0,,,1.0
cricket-t20i-2007-09-12-287855,2007-09-12,2007,1,T20I,Pakistan,Scotland,7.0,2.0,1.0,11.0,13.0,0.0,24.0,1.0,0.0,25.0,2.0,0.0,,,1.0
cricket-odi-2008-07-29-325579,2008-07-29,2008,1,ODI,Netherlands,Scotland,,,,,,,56.0,0.0,0.0,38.0,1.0,0.0,,1.0,1.0
cricket-odi-2008-07-31-325580,2008-07-31,2008,1,ODI,Ireland,Scotland,1.0,0.0,1.0,11.0,1.0,0.0,30.0,0.0,0.0,19.0,0.0,1.0,,,1.0
cricket-odi-2008-08-12-325572,2008-08-12,2008,1,ODI,Scotland,Kenya,,,,,,,42.0,1.0,0.0,24.0,2.0,0.0,,,1.0
cricket-t20i-2008-08-03-354456,2008-08-03,2008,1,T20I,Bermuda,Scotland,,,,,,,24.0,2.0,0.0,12.0,3.0,0.0,,,1.0
cricket-t20i-2008-08-04-361531,2008-08-04,2008,1,T20I,Netherlands,Scotland,,,,,,,18.0,0.0,1.0,19.0,1.0,0.0,,,1.0
cricket-odi-2009-04-01-390204,2009-04-01,2009,1,ODI,Ireland,Scotland,,,,,,,40.0,0.0,0.0,44.0,0.0,0.0,,,1.0
cricket-odi-2009-04-08-390227,2009-04-08,2009,1,ODI,Canada,Scotland,11.0,1.0,1.0,11.0,5.0,0.0,48.0,0.0,0.0,42.0,0.0,1.0,1.0,,1.0
cricket-t20i-2010-02-11-439505,2010-02-11,2010,1,T20I,Ireland,Scotland,3.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,24.0,0.0,3.0,,,1.0
