game_id,date,season,week,league,away,home,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
2452435,,,1,,,,5.0,2.0,1.0,1.0,0.0,5.0,1.0
2457576,,,2,,,,6.0,2.0,1.0,1.0,0.0,1.0,0.0
2463132,,,3,,,,3.0,0.0,0.0,3.0,0.0,5.0,0.0
2463412,2022-07-08,,4,BIG3,Triplets,Bivouac,6.0,2.0,0.0,10.0,0.0,7.0,0.0
2464827,2022-07-23,,6,BIG3,Triplets,Ghost Ballers,2.0,0.0,0.0,2.0,0.0,6.0,0.0
2559381,2023-06-25,2023,1,BIG3,BIVOUAC,TRIPLETS,9.0,0.0,0.0,12.0,0.0,15.0,6.0
2559386,2023-07-01,2023,2,BIG3,TRILOGY,TRIPLETS,12.0,3.0,2.0,2.0,0.0,3.0,0.0
2559393,2023-07-09,2023,3,BIG3,TRIPLETS,TRI-STATE,10.0,3.0,1.0,1.0,0.0,2.0,0.0
2559399,2023-07-15,2023,4,BIG3,3\'s COMPANY,TRIPLETS,6.0,3.0,1.0,3.0,0.0,3.0,0.0
2559406,2023-07-23,2023,5,BIG3,TRIPLETS,ALIENS,3.0,1.0,0.0,5.0,0.0,2.0,0.0
2559417,2023-07-30,2023,6,BIG3,TRIPLETS,KILLER 3s,4.0,0.0,0.0,4.0,1.0,4.0,1.0
2660091,2024-06-15,2024,1,BIG3,ENEMIES,TRIPLETS,3.0,0.0,0.0,7.0,0.0,7.0,0.0
