game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-tests-2008-11-06-345672,2008-11-06,2008,1,TESTS,India,Australia,38.0,0.0,0.0,9.0,9.0,0.0,449.0,5.0,0.0,358.0,12.0,0.0,,,1.0
cricket-tests-2008-12-17-351681,2008-12-17,2008,1,TESTS,Australia,South Africa,108.0,8.0,0.0,10.0,62.0,0.0,294.0,4.0,0.0,204.0,1.0,1.0,3.0,,1.0
cricket-bbl-2011-12-18-524918,2011-12-18,2011,1,BBL,Perth Scorchers,Hobart Hurricanes,2.0,0.0,0.0,7.0,1.0,0.0,18.0,0.0,0.0,15.0,1.0,0.0,,,1.0
cricket-bbl-2011-12-21-524920,2011-12-21,2011,1,BBL,Hobart Hurricanes,Sydney Sixers,,,,,,,24.0,0.0,0.0,20.0,2.0,0.0,,,1.0
cricket-bbl-2011-12-28-524924,2011-12-28,2011,1,BBL,Adelaide Strikers,Hobart Hurricanes,,,,,,,24.0,0.0,0.0,40.0,1.0,0.0,1.0,,1.0
cricket-odi-2011-02-06-446968,2011-02-06,2011,1,ODI,Australia,England,4.0,0.0,1.0,9.0,6.0,0.0,54.0,0.0,0.0,53.0,2.0,1.0,1.0,,1.0
cricket-odi-2011-02-21-433561,2011-02-21,2011,1,ODI,Australia,Zimbabwe,,,,,,,48.0,0.0,0.0,28.0,2.0,0.0,,,1.0
cricket-odi-2011-02-25-433565,2011-02-25,2011,1,ODI,Australia,New Zealand,,,,,,,54.0,0.0,0.0,47.0,0.0,1.0,1.0,,1.0
cricket-odi-2011-03-05-433577,2011-03-05,2011,1,ODI,Sri Lanka,Australia,,,,,,,47.0,0.0,0.0,34.0,0.0,1.0,,,1.0
cricket-odi-2011-03-13-433588,2011-03-13,2011,1,ODI,Australia,Kenya,,,,,,,48.0,0.0,0.0,36.0,0.0,0.0,,1.0,1.0
cricket-odi-2011-03-16-433592,2011-03-16,2011,1,ODI,Australia,Canada,,,,,,,60.0,0.0,0.0,44.0,2.0,2.0,,,1.0
cricket-odi-2011-03-19-433596,2011-03-19,2011,1,ODI,Australia,Pakistan,19.0,0.0,0.0,9.0,7.0,0.0,60.0,0.0,0.0,44.0,1.0,0.0,,,1.0
cricket-odi-2011-03-24-433601,2011-03-24,2011,1,ODI,India,Australia,,,,,,,54.0,0.0,0.0,45.0,0.0,0.0,,,1.0
cricket-bbl-2012-01-01-524927,2012-01-01,2012,1,BBL,Hobart Hurricanes,Sydney Thunder,,,,,,,24.0,0.0,0.0,29.0,2.0,1.0,1.0,,1.0
cricket-bbl-2012-01-18-524940,2012-01-18,2012,1,BBL,Hobart Hurricanes,Melbourne Renegades,,,,,,,24.0,0.0,0.0,39.0,3.0,0.0,,,1.0
cricket-bbl-2012-01-22-524944,2012-01-22,2012,1,BBL,Hobart Hurricanes,Sydney Sixers,3.0,0.0,0.0,8.0,2.0,0.0,24.0,0.0,0.0,37.0,1.0,0.0,,,1.0
cricket-bbl-2012-12-19-571242,2012-12-19,2012,1,BBL,Melbourne Renegades,Hobart Hurricanes,7.0,0.0,0.0,7.0,5.0,0.0,12.0,0.0,0.0,20.0,0.0,3.0,1.0,,1.0
cricket-bbl-2012-12-26-571248,2012-12-26,2012,1,BBL,Sydney Sixers,Hobart Hurricanes,,,,,,,24.0,0.0,0.0,26.0,0.0,1.0,,,1.0
