game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_PHOENIX,,,2,AUDL,,,3.0,1.0,,,0.0,0.0,,,,,1.0,23.0,238.0
2022-06-17-TOR-PHI,2022-06-17,2022,4,,TOR,PHI,3.0,0.0,,,0.0,2.0,,,,,2.0,17.0,307.0
2022-07-02-DC-PHI,2022-07-02,2022,6,,DC,PHI,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-08-PHI-DC,2022-07-08,2022,7,AUDL,phoenix,breeze,4.0,0.0,,,1.0,1.0,,,,,1.0,187.0,273.0
2022-07-16-PHI-TOR,2022-07-16,2022,8,AUDL,phoenix,rush,6.0,0.0,,,2.0,4.0,,,,,4.0,197.0,655.0
2022-07-22-NY-PHI,2022-07-22,2022,9,AUDL,empire,phoenix,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-30-OTT-PHI,2022-07-30,2022,10,AUDL,outlaws,phoenix,5.0,0.0,,,0.0,4.0,,,,,1.0,209.0,504.0
2023-04-29-PHI-NY,2023-04-29,2023,1,AUDL,PHILADELPHIA PHOENIX,NEW YORK EMPIRE,1.0,1.0,23.0,28.0,,,1.0,,,33.0,3.0,50.0,170.0
2023-05-07-PHI-DC,2023-05-07,2023,2,AUDL,PHILADELPHIA PHOENIX,DC BREEZE,2.0,,43.0,46.0,,,2.0,1.0,,51.0,5.0,77.0,
SYNTHETIC_AUDL_2023_W2_PHOENIX,,2023,2,AUDL,,,,,,,,,,,,,,,343.0
2023-05-13-PHI-BOS,2023-05-13,2023,3,AUDL,PHILADELPHIA PHOENIX,BOSTON GLORY,,,34.0,37.0,,,1.0,,,43.0,6.0,1.0,26.0
2023-05-20-NY-PHI,2023-05-20,2023,4,AUDL,NEW YORK EMPIRE,PHILADELPHIA PHOENIX,2.0,2.0,19.0,18.0,1.0,,2.0,1.0,,20.0,2.0,116.0,153.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,AUDL,PHILADELPHIA PHOENIX,PITTSBURGH THUNDERBIRDS,1.0,,32.0,30.0,,1.0,2.0,1.0,,31.0,,77.0,171.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,AUDL,CAROLINA FLYERS,PHILADELPHIA PHOENIX,1.0,1.0,26.0,26.0,,2.0,1.0,,,26.0,,108.0,96.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,AUDL,PHILADELPHIA PHOENIX,TORONTO RUSH,4.0,1.0,21.0,21.0,,,3.0,4.0,,21.0,,163.0,338.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,AUDL,MONTREAL ROYAL,PHILADELPHIA PHOENIX,,,15.0,13.0,,2.0,2.0,1.0,,13.0,,119.0,155.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,AUDL,PHILADELPHIA PHOENIX,MONTREAL ROYAL,2.0,1.0,22.0,23.0,,,2.0,1.0,,24.0,1.0,131.0,163.0
2023-07-07-BOS-PHI,2023-07-07,2023,11,AUDL,BOSTON GLORY,PHILADELPHIA PHOENIX,1.0,,25.0,24.0,,,4.0,1.0,,26.0,2.0,61.0,182.0
2023-07-15-DC-PHI,2023-07-15,2023,12,AUDL,DC BREEZE,PHILADELPHIA PHOENIX,3.0,,34.0,31.0,,,2.0,1.0,1.0,33.0,1.0,91.0,163.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,AUDL,TORONTO RUSH,PHILADELPHIA PHOENIX,2.0,,32.0,28.0,,,1.0,1.0,,31.0,3.0,178.0,188.0
2024-05-05-DC-PHI,2024-05-05,2024,2,UFA,breeze,phoenix,0.0,0.0,,,0.0,0.0,,,,,0.0,10.0,0.0
2024-05-11-BOS-PHI,2024-05-11,2024,3,UFA,glory,phoenix,2.0,0.0,,,0.0,0.0,,,,,3.0,135.0,285.0
2024-05-18-PHI-DC,2024-05-18,2024,4,UFA,phoenix,breeze,3.0,0.0,,,0.0,1.0,,,,,1.0,-88.0,447.0
2024-05-24-PHI-NY,2024-05-24,2024,5,UFA,phoenix,empire,3.0,0.0,,,0.0,0.0,,,,,0.0,-65.0,338.0
2024-06-01-TOR-PHI,2024-06-01,2024,6,UFA,rush,phoenix,0.0,0.0,,,0.0,0.0,,,,,3.0,57.0,131.0
2024-06-08-PHI-BOS,2024-06-08,2024,7,UFA,phoenix,glory,4.0,1.0,,,0.0,0.0,,,,,2.0,89.0,310.0
2024-06-15-NY-PHI,2024-06-15,2024,8,UFA,empire,phoenix,4.0,0.0,,,0.0,1.0,,,,,1.0,148.0,350.0
2024-06-21-MTL-PHI,2024-06-21,2024,9,UFA,royal,phoenix,1.0,0.0,,,0.0,1.0,,,,,2.0,75.0,224.0
2024-06-29-PHI-TOR,2024-06-29,2024,10,UFA,phoenix,rush,2.0,0.0,,,0.0,0.0,,,,,2.0,36.0,244.0
2024-06-30-PHI-MTL,2024-06-30,2024,10,UFA,phoenix,royal,2.0,0.0,,,0.0,1.0,,,,,3.0,132.0,102.0
2024-07-06-PHI-CAR,2024-07-06,2024,11,UFA,phoenix,flyers,2.0,0.0,,,0.0,1.0,,,,,3.0,111.0,294.0
2024-07-20-PIT-PHI,2024-07-20,2024,13,UFA,thunderbirds,phoenix,1.0,0.0,,,0.0,1.0,,,,,4.0,108.0,176.0
