game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,41.0,3.0,6.0,,33.0,85.0,,,,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,9.0,1.0,2.0,,9.0,9.0,,,,
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,35.0,2.0,3.0,1.0,17.0,53.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,19.0,1.0,2.0,,,19.0,,,,
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,42.0,4.0,6.0,,31.0,88.0,,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,,38.0,3.0,5.0,,16.0,89.0,,,,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,39.0,4.0,8.0,,5.0,91.0,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,12.0,1.0,1.0,,5.0,12.0,,,,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,28.0,2.0,4.0,,8.0,42.0,,,,
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,1.0,1.0,,6.0,7.0,2.0,50.0,90.0,,2.0,12.0,2.0
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,12.0,3.0,3.0,,8.0,21.0,,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,1.0,1.0,21.0,11.0,18.0,1.0,26.0,102.0,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,1.0,1.0,13.0,4.0,5.0,1.0,8.0,35.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,9.0,1.0,1.0,,,9.0,,,,
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,1.0,1.0,4.0,2.0,8.0,,4.0,4.0,,,,
