game_id,date,season,week,league,away,home,interceptions_made,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,sacks,score_pts,tackles
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,54.0,8.0,5.0,40.0,351.0,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,58.0,7.0,4.0,23.0,321.0,,1.0,
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,60.0,7.0,6.0,90.0,297.0,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,48.0,4.0,4.0,36.0,166.0,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,75.0,6.0,2.0,6.0,318.0,,1.0,
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,,42.0,4.0,4.0,17.0,118.0,,,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,60.0,4.0,4.0,48.0,185.0,,,
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,53.0,8.0,8.0,69.0,325.0,,,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,48.0,8.0,6.0,60.0,242.0,,,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,53.0,7.0,5.0,59.0,312.0,,,
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,50.0,3.0,3.0,27.0,133.0,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,57.0,8.0,5.0,93.0,314.0,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,53.0,5.0,2.0,4.0,222.0,,,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,,57.0,9.0,5.0,63.0,437.0,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,80.0,4.0,3.0,58.0,272.0,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,68.0,6.0,4.0,46.0,303.0,,1.0,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,,58.0,5.0,5.0,39.0,235.0,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,80.0,5.0,5.0,69.0,304.0,,2.0,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,74.0,2.0,2.0,33.0,144.0,,,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,65.0,3.0,2.0,36.0,183.0,,,
FOOTBALL_CFL_2022_9_10_SSK@WPG,2022-09-10,2022,1,CFL,SSK,WPG,,78.0,3.0,3.0,78.0,217.0,,,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,67.0,1.0,1.0,15.0,67.0,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,59.0,5.0,3.0,11.0,217.0,,,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,,84.0,2.0,1.0,16.0,147.0,,2.0,
9889331,2023-09-03,2023,13,CFL,WPG,SSK,0.0,,,,,,0.0,,0.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,0.0,,,,,,0.0,,0.0
