game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202305190LAS,2023-05-19,2023,1,WNBA,PHO,LAS,,,2.0,,,,1.0,1.0,1.0,,,,,8.616666666666667,,-2.0,2.0,2.0,,
WNBA_202305210PHO,2023-05-21,2023,1,WNBA,CHI,PHO,,,,,,,,,,,,,,3.5666666666666664,,5.0,,,,
WNBA_202305250PHO,2023-05-25,2023,1,WNBA,MIN,PHO,,1.0,,,,,,,,3.0,,,,6.5,,-7.0,,,,1.0
WNBA_202306020PHO,2023-06-02,2023,1,WNBA,LAS,PHO,,,,,,,,,,,,,,1.8,1.0,-3.0,,1.0,,
WNBA_202306070DAL,2023-06-07,2023,1,WNBA,PHO,DAL,,,1.0,,,,1.0,1.0,1.0,1.0,,,,3.8,,,2.0,1.0,,
WNBA_202306090DAL,2023-06-09,2023,1,WNBA,PHO,DAL,,,,,,,,,,,0.5,2.0,1.0,4.033333333333333,,8.0,1.0,,1.0,
WNBA_202306110IND,2023-06-11,2023,1,WNBA,PHO,IND,,,1.0,,,,0.333,3.0,1.0,2.0,,,,8.333333333333334,1.0,-1.0,2.0,2.0,,2.0
WNBA_202306130PHO,2023-06-13,2023,1,WNBA,SEA,PHO,,,2.0,,,,,,,1.0,,,,9.016666666666667,,9.0,,2.0,1.0,2.0
WNBA_202306160WAS,2023-06-16,2023,1,WNBA,PHO,WAS,1.0,,2.0,,,,0.333,3.0,1.0,5.0,,,,11.333333333333334,,,2.0,2.0,,3.0
WNBA_202306180NYL,2023-06-18,2023,1,WNBA,PHO,NYL,1.0,,4.0,,1.0,,0.25,4.0,1.0,,1.0,2.0,2.0,16.216666666666665,1.0,-4.0,4.0,5.0,,2.0
WNBA_202306210PHO,2023-06-21,2023,1,WNBA,LVA,PHO,,,2.0,,2.0,,,4.0,,,,,,10.316666666666666,,-8.0,,2.0,,1.0
WNBA_202306240SEA,2023-06-24,2023,1,WNBA,PHO,SEA,,,,,,,,,,,,,,4.066666666666666,,-3.0,,,,
WNBA_202306270PHO,2023-06-27,2023,1,WNBA,DAL,PHO,,1.0,,,,,,1.0,,,,,,3.9,,,,,,1.0
WNBA_202306290PHO,2023-06-29,2023,1,WNBA,IND,PHO,1.0,1.0,1.0,,,,0.5,4.0,2.0,1.0,,,,10.116666666666667,,-2.0,4.0,1.0,,
WNBA_202307010PHO,2023-07-01,2023,1,WNBA,MIN,PHO,,,,,1.0,,,2.0,,1.0,,,,4.033333333333333,,-6.0,,,,
WNBA_202307050NYL,2023-07-05,2023,1,WNBA,PHO,NYL,,,1.0,,,,,,,1.0,,,,3.9,,3.0,,1.0,,
WNBA_202307070MIN,2023-07-07,2023,1,WNBA,PHO,MIN,,,,,1.0,,,1.0,,,,,,2.6333333333333333,,-7.0,,,,
WNBA_202307090PHO,2023-07-09,2023,1,WNBA,LAS,PHO,,,,,1.0,,0.5,2.0,1.0,,,,,6.766666666666667,1.0,4.0,2.0,1.0,,1.0
WNBA_202307110LVA,2023-07-11,2023,1,WNBA,PHO,LVA,,,3.0,,,,,1.0,,,,,,5.866666666666667,1.0,1.0,,4.0,,
WNBA_202307180PHO,2023-07-18,2023,1,WNBA,CON,PHO,,,,,,,,,,1.0,,,,1.4666666666666668,,,,,,
WNBA_202307200PHO,2023-07-20,2023,1,WNBA,CHI,PHO,,,,,1.0,,0.5,2.0,1.0,1.0,,,,12.7,,2.0,2.0,,,
WNBA_202307230WAS,2023-07-23,2023,1,WNBA,PHO,WAS,,,,,,,,1.0,,,,,,5.633333333333333,,-11.0,,,,1.0
WNBA_202307250ATL,2023-07-25,2023,1,WNBA,PHO,ATL,,1.0,2.0,,,,,2.0,,2.0,,,,13.383333333333333,,5.0,,2.0,1.0,1.0
WNBA_202307300CHI,2023-07-30,2023,1,WNBA,PHO,CHI,,,,,,,,,,,,,,4.733333333333333,,1.0,,,,1.0
WNBA_202308010IND,2023-08-01,2023,1,WNBA,PHO,IND,,,,,,,,,,2.0,,,,4.683333333333334,,-2.0,,,,1.0
WNBA_202308030PHO,2023-08-03,2023,1,WNBA,ATL,PHO,,1.0,,,1.0,,0.667,3.0,2.0,2.0,1.0,2.0,2.0,14.833333333333334,1.0,15.0,6.0,1.0,,
WNBA_202308050PHO,2023-08-05,2023,1,WNBA,SEA,PHO,1.0,,,,1.0,,,2.0,,,,,,8.233333333333333,1.0,-12.0,,1.0,,
WNBA_202308080PHO,2023-08-08,2023,1,WNBA,WAS,PHO,1.0,,1.0,0.5,2.0,1.0,0.5,2.0,1.0,3.0,0.5,2.0,1.0,15.133333333333333,,17.0,4.0,1.0,,2.0
