game_id,date,season,week,league,away,home,assisted_tackles,fumbles,fumbles_lost,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,,,,,,,,,,,,,,,12.0,12.0,0.0,0.0,12.0,1.0,,,,,,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,,,,,,18.0,45.0,0.0,1.0,92.0,5.0,,,,,,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,,,,,,17.0,20.0,0.0,1.0,50.0,3.0,,,,,,,
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,,,,0.0,1.0,6.0,6.0,0.0,6.0,1.0,1.0,6.0,0.0,6.0,,,,,,,2.8,15.0,8.0,1.0,22.0,,
FOOTBALL_IFL_2026_5_31_TSANDIEGOSTRIKEFORCEG20260531B8VC@TNEWMEXICOCHUPACABRAS,2026-05-31,2026,12,IFL,San Diego Strike Force,New Mexico Chupacabras,,,,,2.0,16.0,24.0,0.0,32.0,,,,,,,,,,,,3.0,3.0,2.0,1.0,6.0,,
FOOTBALL_IFL_2026_6_14_TSANDIEGOSTRIKEFORCEG20260614SGPF@TNAZWRANGLERS,2026-06-14,2026,14,IFL,San Diego Strike Force,NAZ Wranglers,,,,,1.0,7.0,7.0,0.0,7.0,,,,,,5.0,5.0,,0.0,5.0,1.0,4.5,11.0,4.0,1.0,18.0,,
FOOTBALL_IFL_2026_6_19_TVEGASKNIGHTHAWKSG20260619D0ZS@TSANDIEGOSTRIKEFORCE,2026-06-19,2026,15,IFL,Vegas Knight Hawks,San Diego Strike Force,,,,0.0,1.0,28.0,28.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,,,,,,,4.0,6.0,2.0,0.0,8.0,,
FOOTBALL_IFL_2026_6_28_TSANDIEGOSTRIKEFORCEG20260628FR6E@TJACKSONVILLESHARKS,2026-06-28,2026,16,IFL,San Diego Strike Force,Jacksonville Sharks,0.0,,,0.0,3.0,24.7,50.0,1.0,74.0,1.0,1.0,2.0,1.0,2.0,,,,,,,0.5,1.0,2.0,1.0,1.0,1.0,1.0
FOOTBALL_IFL_2026_7_6_TARIZONARATTLERSG20260706J8KX@TSANDIEGOSTRIKEFORCE,2026-07-06,2026,17,IFL,Arizona Rattlers,San Diego Strike Force,,,,1.0,2.0,7.5,10.0,0.0,15.0,3.0,1.0,3.0,1.0,3.0,,,,,,,1.3,4.0,4.0,1.0,5.0,,
FOOTBALL_IFL_2026_7_12_TSANDIEGOSTRIKEFORCEG20260712LE28@TVEGASKNIGHTHAWKS,2026-07-12,2026,18,IFL,San Diego Strike Force,Vegas Knight Hawks,,,,,4.0,18.3,29.0,0.0,73.0,,,,,,,,,,,,5.0,6.0,2.0,2.0,10.0,,
FOOTBALL_IFL_2026_7_18_TNEWMEXICOCHUPACABRASG20260718EEFK@TSANDIEGOSTRIKEFORCE,2026-07-18,2026,19,IFL,New Mexico Chupacabras,San Diego Strike Force,,1.0,1.0,1.0,,,,,,7.0,5.0,35.0,2.0,79.0,,,,,,,5.0,13.0,9.0,0.0,45.0,,
FOOTBALL_IFL_2026_7_24_TTUCSONSUGARSKULLSG20260724I0UY@TSANDIEGOSTRIKEFORCE,2026-07-24,2026,20,IFL,Tucson Sugar Skulls,San Diego Strike Force,,,,2.0,,,,,,17.0,7.0,34.0,2.0,89.0,,,,,,,7.1,34.0,18.0,1.0,127.0,,
