game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,match_played
cricket-odi-2024-07-16-1428956,2024-07-16,2024,1,ODI,Oman,Scotland,13.0,1.0,0.0,7.0,6.0,0.0,,1.0
cricket-odi-2024-07-18-1428957,2024-07-18,2024,1,ODI,Oman,Namibia,66.0,6.0,0.0,5.0,51.0,0.0,1.0,1.0
cricket-odi-2024-07-22-1428959,2024-07-22,2024,1,ODI,Oman,Scotland,2.0,0.0,0.0,6.0,0.0,0.0,,1.0
cricket-odi-2024-07-24-1428960,2024-07-24,2024,1,ODI,Namibia,Oman,55.0,4.0,0.0,5.0,43.0,1.0,1.0,1.0
cricket-odi-2024-09-18-1450697,2024-09-18,2024,1,ODI,Nepal,Oman,21.0,3.0,0.0,6.0,17.0,0.0,,1.0
cricket-t20i-2024-03-06-1423372,2024-03-06,2024,1,T20I,Papua New Guinea,Oman,2.0,0.0,0.0,5.0,1.0,0.0,,1.0
cricket-t20i-2024-03-07-1423373,2024-03-07,2024,1,T20I,Oman,Papua New Guinea,43.0,8.0,0.0,5.0,55.0,1.0,,1.0
cricket-t20i-2024-03-08-1423374,2024-03-08,2024,1,T20I,Papua New Guinea,Oman,37.0,1.0,1.0,5.0,32.0,0.0,,1.0
cricket-t20i-2024-04-01-1426450,2024-04-01,2024,1,T20I,Oman,Namibia,2.0,0.0,0.0,5.0,1.0,0.0,,1.0
cricket-t20i-2024-04-02-1426451,2024-04-02,2024,1,T20I,Oman,Namibia,8.0,0.0,0.0,5.0,5.0,0.0,,1.0
cricket-t20i-2024-04-05-1426453,2024-04-05,2024,1,T20I,Namibia,Oman,13.0,0.0,0.0,4.0,4.0,0.0,,1.0
cricket-t20i-2024-04-14-1426463,2024-04-14,2024,1,T20I,Oman,Cambodia,9.0,2.0,1.0,6.0,19.0,1.0,,1.0
cricket-t20i-2024-04-15-1426467,2024-04-15,2024,1,T20I,United Arab Emirates,Oman,23.0,2.0,1.0,3.0,50.0,5.0,,1.0
cricket-t20i-2024-04-17-1426474,2024-04-17,2024,1,T20I,Oman,Kuwait,11.0,0.0,0.0,5.0,15.0,1.0,,1.0
cricket-t20i-2024-04-19-1426476,2024-04-19,2024,1,T20I,Hong Kong,Oman,15.0,2.0,1.0,7.0,16.0,0.0,,1.0
cricket-t20i-2024-04-21-1426478,2024-04-21,2024,1,T20I,United Arab Emirates,Oman,25.0,4.0,0.0,5.0,30.0,1.0,,1.0
cricket-t20i-2024-06-02-1415703,2024-06-02,2024,1,T20I,Oman,Namibia,39.0,1.0,0.0,5.0,34.0,1.0,,1.0
cricket-t20i-2024-06-05-1415710,2024-06-05,2024,1,T20I,Australia,Oman,12.0,1.0,0.0,5.0,8.0,0.0,1.0,1.0
cricket-t20i-2024-06-09-1415720,2024-06-09,2024,1,T20I,Oman,Scotland,7.0,0.0,0.0,5.0,5.0,0.0,,1.0
cricket-t20i-2024-06-13-1415728,2024-06-13,2024,1,T20I,Oman,England,3.0,0.0,0.0,5.0,1.0,0.0,,1.0
cricket-t20i-2024-09-29-1450824,2024-09-29,2024,1,T20I,Nepal,Oman,11.0,0.0,0.0,6.0,11.0,1.0,,1.0
cricket-t20i-2024-10-02-1450827,2024-10-02,2024,1,T20I,Nepal,Oman,1.0,0.0,0.0,5.0,1.0,0.0,,1.0
cricket-t20i-2024-10-03-1450828,2024-10-03,2024,1,T20I,Oman,Canada,5.0,1.0,0.0,5.0,6.0,0.0,,1.0
