game_id,date,season,week,league,away,home,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
2025-04-26-SLC-ATL,2025-04-26,2025,1,UFA,shred,hustle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-03-LV-SLC,2025-05-03,2025,2,UFA,bighorns,shred,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23-SEA-SLC,2025-05-23,2025,5,UFA,cascades,shred,0.0,0.0,0.0,0.0,0.0,13.0,38.0
2025-05-30-SLC-SEA,2025-05-30,2025,6,UFA,shred,cascades,0.0,1.0,0.0,0.0,0.0,1.0,3.0
2025-05-31-SLC-ORE,2025-05-31,2025,6,UFA,shred,steel,1.0,2.0,0.0,1.0,0.0,1.0,56.0
2025-06-06-SLC-OAK,2025-06-06,2025,7,UFA,shred,spiders,0.0,2.0,0.0,0.0,0.0,3.0,17.0
2025-06-13-ORE-SLC,2025-06-13,2025,8,UFA,steel,shred,1.0,1.0,0.0,1.0,0.0,65.0,8.0
2025-06-27-OAK-SLC,2025-06-27,2025,10,UFA,spiders,shred,1.0,0.0,0.0,1.0,0.0,13.0,106.0
2025-07-04-SLC-COL,2025-07-04,2025,11,UFA,shred,summit,0.0,0.0,0.0,1.0,0.0,54.0,31.0
2025-07-05-SLC-LV,2025-07-05,2025,11,UFA,shred,bighorns,1.0,1.0,0.0,3.0,0.0,126.0,133.0
2025-07-11-COL-SLC,2025-07-11,2025,12,UFA,summit,shred,2.0,2.0,0.0,1.0,0.0,91.0,108.0
2025-07-18-MIN-SLC,2025-07-18,2025,13,UFA,windchill,shred,1.0,1.0,0.0,1.0,1.0,43.0,69.0
2026-05-01-ORE-SLC,2026-05-01,2026,2,UFA,steel,shred,0.0,2.0,0.0,2.0,0.0,33.0,33.0
