game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,fielding_runouts,match_played
cricket-t20i-2023-09-02-1394918,2023-09-02,2023,1,T20I,Malawi,Lesotho,21.0,1.0,0.0,2.0,12.0,0.0,2.0,,1.0
cricket-t20i-2023-09-03-1394922,2023-09-03,2023,1,T20I,Botswana,Lesotho,1.0,0.0,0.0,2.0,0.0,0.0,1.0,,1.0
cricket-t20i-2023-09-05-1394928,2023-09-05,2023,1,T20I,Kenya,Lesotho,2.0,0.0,0.0,2.0,0.0,0.0,,,1.0
cricket-t20i-2024-04-22-1429622,2024-04-22,2024,1,T20I,Botswana,Lesotho,21.0,0.0,0.0,1.0,11.0,0.0,,,1.0
cricket-t20i-2024-04-22-1429624,2024-04-22,2024,1,T20I,Lesotho,Rwanda,2.0,0.0,0.0,1.0,0.0,0.0,,,1.0
cricket-t20i-2024-04-23-1429627,2024-04-23,2024,1,T20I,Mozambique,Lesotho,3.0,0.0,0.0,1.0,2.0,0.0,,,1.0
cricket-t20i-2024-04-25-1429631,2024-04-25,2024,1,T20I,Botswana,Lesotho,30.0,2.0,0.0,4.0,14.0,0.0,,,1.0
cricket-t20i-2024-04-26-1429634,2024-04-26,2024,1,T20I,Mozambique,Lesotho,54.0,0.0,0.0,4.0,29.0,0.0,,,1.0
cricket-t20i-2025-07-20-1494124,2025-07-20,2025,1,T20I,Lesotho,Rwanda,10.0,0.0,0.0,1.0,4.0,0.0,,,1.0
cricket-t20i-2025-07-21-1494131,2025-07-21,2025,1,T20I,Cameroon,Lesotho,5.0,0.0,0.0,1.0,1.0,0.0,,,1.0
cricket-t20i-2025-07-23-1494132,2025-07-23,2025,1,T20I,Malawi,Lesotho,16.0,0.0,0.0,1.0,4.0,0.0,,,1.0
cricket-t20i-2025-07-24-1494138,2025-07-24,2025,1,T20I,Lesotho,Mozambique,35.0,0.0,0.0,1.0,17.0,0.0,,1.0,1.0
cricket-t20i-2025-07-26-1494141,2025-07-26,2025,1,T20I,Lesotho,Eswatini,4.0,0.0,0.0,1.0,0.0,0.0,,,1.0
cricket-t20i-2026-04-06-1528318,2026-04-06,2026,1,T20I,Lesotho,Malawi,5.0,0.0,0.0,1.0,0.0,0.0,,,1.0
cricket-t20i-2026-04-06-1528320,2026-04-06,2026,1,T20I,Botswana,Lesotho,7.0,1.0,0.0,1.0,7.0,0.0,,1.0,1.0
cricket-t20i-2026-04-07-1528323,2026-04-07,2026,1,T20I,Zambia,Lesotho,27.0,2.0,1.0,1.0,29.0,0.0,,,1.0
cricket-t20i-2026-04-08-1528327,2026-04-08,2026,1,T20I,Mozambique,Lesotho,10.0,1.0,0.0,1.0,8.0,0.0,1.0,,1.0
cricket-t20i-2026-04-09-1528330,2026-04-09,2026,1,T20I,Brazil,Lesotho,8.0,0.0,0.0,1.0,1.0,0.0,,2.0,1.0
cricket-t20i-2026-04-10-1528333,2026-04-10,2026,1,T20I,Lesotho,Malawi,20.0,0.0,0.0,1.0,3.0,0.0,,,1.0
cricket-t20i-2026-04-11-1528337,2026-04-11,2026,1,T20I,Lesotho,Zambia,9.0,0.0,0.0,1.0,3.0,0.0,,,1.0
