game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,pass_td,pat_made,rush_td,sacks,safeties,solo_tackles,tackles,xp_attempts,xp_made
FOOTBALL_UFL_2024_6_8_MICH@BHAM,2024-06-08,2024,1,UFL,MICH,BHAM,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_UFL_2024_6_16_BHM@SA,2024-06-16,2024,2,UFL,BHM,SA,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,
FOOTBALL_UFL_2024_4_13_MEM@BHAM,2024-04-13,2024,3,UFL,MEM,BHAM,,,,,,,,,,,,,,,,,2.0,,,,,,,,
FOOTBALL_UFL_2024_4_27_BHAM@HOU,2024-04-27,2024,5,UFL,BHAM,HOU,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_UFL_2024_5_4_BHAM@MEM,2024-05-04,2024,6,UFL,BHAM,MEM,,,,,,,,,,,,,,,,,4.0,,,,,,,,
FOOTBALL_UFL_2024_5_11_STL@BHAM,2024-05-11,2024,7,UFL,STL,BHAM,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,
FOOTBALL_UFL_2024_5_19_HOU@BHAM,2024-05-19,2024,8,UFL,HOU,BHAM,,,,,,,,,,,,,,,,,3.0,1.0,2.0,,,,,,
FOOTBALL_UFL_2024_5_25_BHAM@SA,2024-05-25,2024,9,UFL,BHAM,SA,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_UFL_2024_6_1_MICH@BHAM,2024-06-01,2024,10,UFL,MICH,BHAM,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,1.5,0.0,,4.0,,
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.5,0.0,,2.0,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,,,,3.0,40.0,1.0,,,5.0,42.0,0.0,1.0,210.0,5.0,,,,,,,,3.0,2.0
FOOTBALL_IFL_2026_3_14_TQUADCITYSTEAMWHEELERSG20260314RYY1@TFISHERSFREIGHT,2026-03-14,2026,1,IFL,Quad City Steamwheelers,Fishers Freight,,,,,,,,,,,1.0,50.8,4.0,0.0,203.0,4.0,,,,,,,,2.0,1.0
FOOTBALL_IFL_2026_3_21_TIOWABARNSTORMERSG20260321EITG@TQUADCITYSTEAMWHEELERS,2026-03-21,2026,2,IFL,Iowa Barnstormers,Quad City Steamwheelers,0.0,,,,,1.0,38.0,1.0,,,8.0,50.0,0.0,2.0,350.0,7.0,,,,,,1.0,1.0,6.0,5.0
