game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-lpl-2022-12-13-1324529,2022-12-13,2022,1,LPL,Kandy Falcons,Dambulla Aura,9.0,3.0,0.0,2.0,13.0,0.0,,,,,,,,1.0
cricket-lpl-2022-12-14-1324532,2022-12-14,2022,1,LPL,Dambulla Aura,Colombo Stars,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0
cricket-lpl-2022-12-19-1324538,2022-12-19,2022,1,LPL,Galle Gladiators,Dambulla Aura,4.0,1.0,0.0,3.0,4.0,0.0,,,,,,,,1.0
cricket-lpl-2023-07-31-1382879,2023-07-31,2023,1,LPL,Galle Titans,Dambulla Aura,5.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,20.0,0.0,1.0,,1.0
cricket-lpl-2023-08-01-1382882,2023-08-01,2023,1,LPL,Galle Titans,B-Love Kandy,14.0,1.0,0.0,2.0,11.0,0.0,,,,,,,,1.0
cricket-lpl-2023-08-04-1382884,2023-08-04,2023,1,LPL,Galle Titans,Jaffna Kings,12.0,3.0,0.0,2.0,19.0,0.0,,,,,,,,1.0
cricket-lpl-2023-08-07-1382887,2023-08-07,2023,1,LPL,Galle Titans,Colombo Strikers,19.0,4.0,0.0,1.0,36.0,2.0,,,,,,,,1.0
cricket-lpl-2023-08-08-1382889,2023-08-08,2023,1,LPL,B-Love Kandy,Galle Titans,17.0,3.0,0.0,1.0,27.0,1.0,,,,,,,,1.0
cricket-lpl-2023-08-15-1382897,2023-08-15,2023,1,LPL,Colombo Strikers,Galle Titans,25.0,4.0,1.0,2.0,42.0,3.0,,,,,,,,1.0
cricket-lpl-2023-08-17-1382898,2023-08-17,2023,1,LPL,Galle Titans,Dambulla Aura,61.0,7.0,0.0,3.0,80.0,0.0,,,,,,,,1.0
cricket-lpl-2023-08-19-1382900,2023-08-19,2023,1,LPL,B-Love Kandy,Galle Titans,13.0,1.0,0.0,2.0,14.0,0.0,,,,,,,1.0,1.0
cricket-bpl-2024-01-19-1412274,2024-01-19,2024,1,BPL,Comilla Victorians,Durdanto Dhaka,8.0,0.0,0.0,3.0,5.0,0.0,,,,,,,1.0,1.0
cricket-bpl-2024-01-22-1412278,2024-01-22,2024,1,BPL,Durdanto Dhaka,Chattogram Challengers,31.0,3.0,0.0,7.0,46.0,2.0,,,,,,,,1.0
cricket-bpl-2024-01-27-1412285,2024-01-27,2024,1,BPL,Rangpur Riders,Durdanto Dhaka,3.0,0.0,0.0,4.0,0.0,0.0,,,,,,,1.0,1.0
cricket-bpl-2024-02-07-1412297,2024-02-07,2024,1,BPL,Durdanto Dhaka,Sylhet Strikers,17.0,0.0,0.0,6.0,12.0,0.0,,,,,,,,1.0
