game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-odi-2008-05-08-341302,2008-05-08,2008,1,ODI,Sri Lanka,India,15.0,1.0,0.0,7.0,8.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,,,1.0
cricket-odi-2008-05-11-341306,2008-05-11,2008,1,ODI,India,Sri Lanka,1.0,0.0,0.0,5.0,0.0,0.0,42.0,0.0,0.0,34.0,0.0,0.0,1.0,,1.0
cricket-t20i-2012-09-26-533299,2012-09-26,2012,1,T20I,Sri Lanka,South Africa,3.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2012-09-28-533304,2012-09-28,2012,1,T20I,Sri Lanka,West Indies,,,,,,,6.0,0.0,0.0,4.0,0.0,0.0,,1.0,1.0
cricket-t20i-2012-09-30-533308,2012-09-30,2012,1,T20I,Sri Lanka,New Zealand,9.0,0.0,0.0,10.0,6.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,,1.0,1.0
cricket-t20i-2012-10-03-584772,2012-10-03,2012,1,T20I,Sri Lanka,India,1.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,17.0,0.0,1.0,,,1.0
cricket-t20i-2012-10-28-584923,2012-10-28,2012,1,T20I,Bangladesh,Sri Lanka,14.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,1.0,,,1.0
cricket-odi-2013-02-01-594894,2013-02-01,2013,1,ODI,England,Sri Lanka,41.0,5.0,0.0,6.0,56.0,3.0,54.0,1.0,0.0,49.0,2.0,3.0,,,1.0
cricket-odi-2013-02-05-594901,2013-02-05,2013,1,ODI,India,Sri Lanka,31.0,6.0,1.0,5.0,56.0,3.0,42.0,0.0,0.0,25.0,1.0,0.0,,1.0,1.0
cricket-odi-2013-02-10-594907,2013-02-10,2013,1,ODI,Australia,Sri Lanka,4.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,,,1.0
cricket-odi-2013-02-22-603239,2013-02-22,2013,1,ODI,Sri Lanka,West Indies,6.0,0.0,0.0,7.0,2.0,0.0,24.0,0.0,0.0,21.0,0.0,2.0,,,1.0
cricket-odi-2013-02-24-603240,2013-02-24,2013,1,ODI,Sri Lanka,West Indies,16.0,1.0,0.0,7.0,7.0,0.0,48.0,1.0,0.0,27.0,1.0,3.0,1.0,,1.0
cricket-odi-2013-02-26-603241,2013-02-26,2013,1,ODI,Sri Lanka,West Indies,11.0,1.0,0.0,7.0,10.0,0.0,36.0,0.0,0.0,25.0,2.0,2.0,,,1.0
cricket-t20i-2013-03-03-603243,2013-03-03,2013,1,T20I,Sri Lanka,West Indies,14.0,0.0,0.0,6.0,9.0,0.0,18.0,0.0,0.0,13.0,2.0,0.0,,,1.0
cricket-t20i-2013-03-05-603244,2013-03-05,2013,1,T20I,Sri Lanka,West Indies,7.0,1.0,0.0,6.0,8.0,0.0,24.0,0.0,0.0,25.0,2.0,0.0,,1.0,1.0
cricket-t20i-2013-03-08-603246,2013-03-08,2013,1,T20I,Sri Lanka,West Indies,26.0,1.0,0.0,7.0,44.0,4.0,24.0,0.0,0.0,36.0,0.0,1.0,,,1.0
cricket-t20i-2013-07-31-640955,2013-07-31,2013,1,T20I,Pakistan,Sri Lanka,,,,,,,12.0,1.0,0.0,6.0,0.0,0.0,,,1.0
