game_id,date,season,week,league,away,home,extra_point,field_goal_yards,kick_gp,kick_pts,missed
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,,,18.0,138.0,
SYNTHETIC_CFL_2022_W1_OTT,,2022,1,CFL,,,,99.0,,,0.0
SYNTHETIC_CFL_2022_W4_OTT,,2022,4,CFL,,,,101.0,,,0.0
SYNTHETIC_CFL_2022_W5_OTT,,2022,5,CFL,,,,63.0,,,0.0
SYNTHETIC_CFL_2022_W6_OTT,2022-07-16,2022,6,CFL,OTT,HAM,,20.0,,,2.0
SYNTHETIC_CFL_2022_W7_OTT,2022-07-21,2022,7,CFL,MTL,OTT,,65.0,,,1.0
SYNTHETIC_CFL_2022_W8_OTT,2022-07-31,2022,8,CFL,OTT,TOR,,98.0,,,0.0
SYNTHETIC_CFL_2022_W9_OTT,2022-08-05,2022,9,CFL,CGY,OTT,,25.0,,,0.0
SYNTHETIC_CFL_2022_W11_OTT,2022-08-19,2022,11,CFL,EDM,OTT,,13.0,,,2.0
SYNTHETIC_CFL_2022_W13_OTT,2022-09-02,2022,13,CFL,OTT,MTL,,119.0,,,0.0
SYNTHETIC_CFL_2022_W14_OTT,2022-09-10,2022,14,CFL,TOR,OTT,,161.0,,,1.0
SYNTHETIC_CFL_2022_W16_OTT,2022-09-24,2022,16,CFL,TOR,OTT,,102.0,,,0.0
SYNTHETIC_CFL_2022_W17_OTT,2022-09-30,2022,17,CFL,OTT,BC,,100.0,,,1.0
SYNTHETIC_CFL_2022_W19_OTT,2022-10-14,2022,19,CFL,MTL,OTT,,95.0,,,0.0
SYNTHETIC_CFL_2022_W20_OTT,2022-10-21,2022,20,CFL,OTT,HAM,,87.0,,,0.0
SYNTHETIC_CFL_2023_W1_OTT,2023-06-10,2023,1,CFL,OTT,MTL,,138.0,,,
SYNTHETIC_CFL_2023_W2_OTT,2023-06-15,2023,2,CFL,CGY,OTT,,34.0,,,1.0
SYNTHETIC_CFL_2023_W4_OTT,2023-06-30,2023,4,CFL,EDM,OTT,2.0,141.0,,,
SYNTHETIC_CFL_2023_W5_OTT,2023-07-08,2023,5,CFL,OTT,HAM,1.0,56.0,,,
SYNTHETIC_CFL_2023_W6_OTT,2023-07-15,2023,6,CFL,WPG,OTT,,111.0,,,
SYNTHETIC_CFL_2023_W7_OTT,2023-07-23,2023,7,CFL,OTT,CGY,3.0,33.0,,,
SYNTHETIC_CFL_2023_W8_OTT,2023-07-28,2023,8,CFL,HAM,OTT,,159.0,,,
SYNTHETIC_CFL_2023_W9_OTT,2023-08-06,2023,9,CFL,OTT,SSK,2.0,154.0,,,1.0
SYNTHETIC_CFL_2023_W10_OTT,2023-08-13,2023,10,CFL,OTT,TOR,4.0,50.0,,,
SYNTHETIC_CFL_2023_W11_OTT,2023-08-19,2023,11,CFL,MTL,OTT,4.0,39.0,,,
SYNTHETIC_CFL_2023_W12_OTT,2023-08-27,2023,12,CFL,OTT,EDM,,99.0,,,1.0
SYNTHETIC_CFL_2023_W14_OTT,2023-09-08,2023,14,CFL,HAM,OTT,3.0,19.0,,,2.0
SYNTHETIC_CFL_2023_W15_OTT,2023-09-16,2023,15,CFL,OTT,BC,4.0,127.0,,,1.0
SYNTHETIC_CFL_2024_W2_OTT,2024-05-25,2024,2,CFL,OTT,HAM,1.0,77.0,,,
SYNTHETIC_CFL_2024_W3_OTT,2024-06-20,2024,3,CFL,OTT,MTL,1.0,60.0,,,
SYNTHETIC_CFL_2024_W4_OTT,2024-06-30,2024,4,CFL,HAM,OTT,,158.0,,,
SYNTHETIC_CFL_2024_W5_OTT,2024-07-05,2024,5,CFL,OTT,WPG,1.0,104.0,,,
SYNTHETIC_CFL_2024_W6_OTT,2024-07-14,2024,6,CFL,OTT,EDM,2.0,139.0,,,
SYNTHETIC_CFL_2024_W7_OTT,2024-07-19,2024,7,CFL,EDM,OTT,1.0,132.0,,,
