game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105150SEA,2021-05-15,2021,1,WNBA,LVA,SEA,,1.0,3.0,,,,0.583,12.0,7.0,2.0,0.667,3.0,2.0,19.316666666666666,2.0,-12.0,16.0,5.0,,
WNBA_202105180SEA,2021-05-18,2021,1,WNBA,LVA,SEA,1.0,3.0,5.0,,1.0,,0.8,10.0,8.0,1.0,0.667,3.0,2.0,22.0,3.0,20.0,18.0,8.0,1.0,
WNBA_202105210LVA,2021-05-21,2021,1,WNBA,LAS,LVA,,2.0,9.0,,1.0,,0.5,8.0,4.0,3.0,0.6,5.0,3.0,20.65,1.0,15.0,11.0,10.0,,3.0
WNBA_202105230LVA,2021-05-23,2021,1,WNBA,CON,LVA,1.0,4.0,7.0,,,,1.0,3.0,3.0,4.0,0.667,6.0,4.0,21.533333333333335,,13.0,10.0,7.0,,1.0
WNBA_202105260PHO,2021-05-26,2021,1,WNBA,LVA,PHO,,2.0,6.0,,,,0.364,11.0,4.0,1.0,0.667,3.0,2.0,32.083333333333336,2.0,,10.0,8.0,,1.0
WNBA_202105280LVA,2021-05-28,2021,1,WNBA,IND,LVA,1.0,1.0,5.0,,,,0.571,7.0,4.0,4.0,0.667,6.0,4.0,15.516666666666667,2.0,29.0,12.0,7.0,2.0,2.0
WNBA_202105300LVA,2021-05-30,2021,1,WNBA,IND,LVA,4.0,5.0,12.0,,1.0,,0.714,7.0,5.0,3.0,0.6,5.0,3.0,22.366666666666667,1.0,3.0,13.0,13.0,1.0,2.0
WNBA_202106010CON,2021-06-01,2021,1,WNBA,LVA,CON,2.0,3.0,6.0,,,,0.647,17.0,11.0,4.0,1.0,6.0,6.0,35.05,1.0,-7.0,28.0,7.0,1.0,3.0
WNBA_202106030NYL,2021-06-03,2021,1,WNBA,LVA,NYL,1.0,1.0,5.0,,,,0.545,11.0,6.0,1.0,,,,23.75,1.0,9.0,12.0,6.0,2.0,1.0
WNBA_202106050WAS,2021-06-05,2021,1,WNBA,LVA,WAS,2.0,,7.0,,,,0.647,17.0,11.0,4.0,1.0,2.0,2.0,27.016666666666666,4.0,17.0,24.0,11.0,1.0,3.0
WNBA_202106130LVA,2021-06-13,2021,1,WNBA,DAL,LVA,1.0,2.0,7.0,1.0,1.0,1.0,0.5,10.0,5.0,5.0,0.5,6.0,3.0,27.433333333333334,1.0,-4.0,14.0,8.0,,2.0
WNBA_202106150LVA,2021-06-15,2021,1,WNBA,NYL,LVA,2.0,1.0,8.0,,,,0.545,11.0,6.0,1.0,1.0,2.0,2.0,26.833333333333332,3.0,10.0,14.0,11.0,,3.0
WNBA_202106170LVA,2021-06-17,2021,1,WNBA,NYL,LVA,1.0,1.0,9.0,,,,0.8,5.0,4.0,4.0,1.0,5.0,5.0,17.8,,3.0,13.0,9.0,,1.0
WNBA_202106250MIN,2021-06-25,2021,1,WNBA,LVA,MIN,3.0,1.0,14.0,1.0,2.0,2.0,0.385,13.0,5.0,5.0,1.0,6.0,6.0,33.86666666666667,6.0,5.0,18.0,20.0,1.0,3.0
WNBA_202106270LVA,2021-06-27,2021,1,WNBA,SEA,LVA,3.0,,6.0,,,,0.5,8.0,4.0,3.0,0.5,2.0,1.0,31.0,1.0,16.0,9.0,7.0,2.0,3.0
WNBA_202106300LAS,2021-06-30,2021,1,WNBA,LVA,LAS,1.0,2.0,7.0,,1.0,,0.364,11.0,4.0,4.0,0.833,6.0,5.0,18.133333333333333,4.0,15.0,13.0,11.0,,5.0
WNBA_202107020LAS,2021-07-02,2021,1,WNBA,LVA,LAS,1.0,2.0,4.0,0.5,2.0,1.0,0.429,7.0,3.0,5.0,0.75,4.0,3.0,18.716666666666665,,-1.0,10.0,4.0,1.0,1.0
WNBA_202107040LVA,2021-07-04,2021,1,WNBA,ATL,LVA,1.0,1.0,7.0,,,,0.462,13.0,6.0,2.0,0.714,7.0,5.0,16.7,3.0,19.0,17.0,10.0,,2.0
WNBA_202107070LVA,2021-07-07,2021,1,WNBA,PHO,LVA,1.0,1.0,6.0,,,,0.438,16.0,7.0,5.0,0.25,8.0,2.0,36.06666666666667,2.0,-7.0,16.0,8.0,,
WNBA_202108150LVA,2021-08-15,2021,1,WNBA,WAS,LVA,,1.0,6.0,,1.0,,0.636,11.0,7.0,3.0,0.75,4.0,3.0,20.633333333333333,1.0,10.0,17.0,7.0,1.0,3.0
WNBA_202108170LVA,2021-08-17,2021,1,WNBA,WAS,LVA,,,4.0,,1.0,,0.636,11.0,7.0,2.0,0.333,3.0,1.0,25.0,,10.0,15.0,4.0,1.0,1.0
WNBA_202108240CON,2021-08-24,2021,1,WNBA,LVA,CON,,1.0,6.0,1.0,1.0,1.0,0.667,9.0,6.0,4.0,,,,30.066666666666666,,-13.0,13.0,6.0,2.0,3.0
WNBA_202108260ATL,2021-08-26,2021,1,WNBA,LVA,ATL,4.0,2.0,5.0,,1.0,,0.5,14.0,7.0,1.0,0.75,4.0,3.0,21.333333333333332,1.0,-5.0,17.0,6.0,4.0,
WNBA_202108280IND,2021-08-28,2021,1,WNBA,LVA,IND,2.0,3.0,9.0,,,,0.364,11.0,4.0,3.0,1.0,4.0,4.0,22.366666666666667,,19.0,12.0,9.0,1.0,1.0
WNBA_202109190PHO,2021-09-19,2021,1,WNBA,LVA,PHO,1.0,1.0,4.0,,1.0,,0.4,5.0,2.0,,,,,9.516666666666667,,-3.0,4.0,4.0,1.0,
WNBA_202109280LVA,2021-09-28,2021,1,WNBA,PHO,LVA,,,2.0,1.0,1.0,1.0,0.429,7.0,3.0,4.0,,,,9.483333333333333,1.0,2.0,7.0,3.0,,1.0
