game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,fielding_runouts,match_played
cricket-t20i-2022-09-10-1333920,2022-09-10,2022,1,T20I,Cook Islands,Fiji,5.0,0.0,0.0,2.0,1.0,0.0,,1.0,1.0
cricket-t20i-2022-09-11-1333923,2022-09-11,2022,1,T20I,Samoa,Fiji,6.0,0.0,1.0,7.0,9.0,1.0,,1.0,1.0
cricket-t20i-2022-09-13-1333925,2022-09-13,2022,1,T20I,Vanuatu,Fiji,10.0,1.0,0.0,7.0,21.0,2.0,,1.0,1.0
cricket-t20i-2022-09-14-1333927,2022-09-14,2022,1,T20I,Fiji,Cook Islands,9.0,1.0,0.0,5.0,18.0,2.0,,,1.0
cricket-t20i-2022-09-15-1333928,2022-09-15,2022,1,T20I,Fiji,Samoa,9.0,0.0,0.0,5.0,7.0,0.0,,,1.0
cricket-t20i-2024-08-17-1444953,2024-08-17,2024,1,T20I,Fiji,Samoa,1.0,0.0,0.0,7.0,0.0,0.0,,,1.0
cricket-t20i-2024-08-19-1444955,2024-08-19,2024,1,T20I,Vanuatu,Fiji,14.0,1.0,0.0,1.0,8.0,0.0,,,1.0
cricket-t20i-2024-08-20-1444957,2024-08-20,2024,1,T20I,Fiji,Cook Islands,19.0,4.0,0.0,1.0,28.0,1.0,2.0,2.0,1.0
cricket-t20i-2024-08-21-1444958,2024-08-21,2024,1,T20I,Samoa,Fiji,27.0,1.0,0.0,1.0,19.0,0.0,,1.0,1.0
cricket-t20i-2024-08-23-1444960,2024-08-23,2024,1,T20I,Vanuatu,Fiji,25.0,2.0,0.0,1.0,22.0,0.0,1.0,,1.0
cricket-t20i-2024-08-24-1444962,2024-08-24,2024,1,T20I,Fiji,Cook Islands,9.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0
cricket-t20i-2026-05-08-1532638,2026-05-08,2026,1,T20I,Vanuatu,Fiji,1.0,0.0,0.0,2.0,0.0,0.0,1.0,,1.0
cricket-t20i-2026-05-10-1532644,2026-05-10,2026,1,T20I,Fiji,Japan,14.0,1.0,0.0,4.0,6.0,0.0,,,1.0
