game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,3.0,3.0,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,8.0,8.0,,,,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,,,,,2.0
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,,,,5.0
9889296,2023-07-01,2023,4,CFL,WPG,MTL,,,,0.0,0.0,0.0,,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,0.0,,,,0.0,1.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,0.0,,,,0.0,0.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,0.0,,,,1.0,2.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,0.0,,,,0.0,1.0
9889361,2023-10-27,2023,21,CFL,WPG,CGY,,,0.0,,,,0.0,1.0
