game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W2_OUTLAWS,,2022,2,AUDL,,,0.0,0.0,,,0.0,1.0,,,,0.0,56.0,17.0
2022-06-17-OTT-BOS,2022-06-17,2022,4,,OTT,BOS,0.0,2.0,,,1.0,1.0,,,,0.0,9.0,30.0
2022-06-18-OTT-NY,2022-06-18,2022,4,,OTT,NY,0.0,0.0,,,2.0,0.0,,,,1.0,41.0,257.0
2022-07-02-TOR-OTT,2022-07-02,2022,6,,TOR,OTT,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-07-OTT-MTL,2022-07-07,2022,7,AUDL,outlaws,royal,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-16-DC-OTT,2022-07-16,2022,8,AUDL,breeze,outlaws,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-29-OTT-DC,2022-07-29,2022,10,AUDL,outlaws,breeze,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-30-OTT-PHI,2022-07-30,2022,10,AUDL,outlaws,phoenix,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,AUDL,BOSTON GLORY,MONTREAL ROYAL,,1.0,2.0,2.0,1.0,,,1.0,2.0,,1.0,51.0
2023-05-27-TOR-MTL,2023-05-27,2023,5,AUDL,TORONTO RUSH,MONTREAL ROYAL,,,3.0,4.0,,,1.0,2.0,4.0,,33.0,112.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,AUDL,BOSTON GLORY,MONTREAL ROYAL,,,5.0,5.0,,,,,5.0,,38.0,41.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,AUDL,MONTREAL ROYAL,PHILADELPHIA PHOENIX,1.0,1.0,18.0,15.0,,,,,19.0,4.0,259.0,82.0
2025-05-03-TOR-DC,2025-05-03,2025,2,UFA,rush,breeze,3.0,0.0,,,0.0,3.0,,,,4.0,190.0,250.0
2025-05-04-TOR-PHI,2025-05-04,2025,2,UFA,rush,phoenix,3.0,1.0,,,0.0,2.0,,,,2.0,229.0,211.0
2025-05-10-PHI-TOR,2025-05-10,2025,3,UFA,phoenix,rush,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-05-30-DC-TOR,2025-05-30,2025,6,UFA,breeze,rush,1.0,0.0,,,0.0,6.0,,,,2.0,116.0,183.0
2025-06-01-NY-TOR,2025-06-01,2025,6,UFA,empire,rush,2.0,1.0,,,0.0,3.0,,,,2.0,222.0,209.0
2025-06-07-MTL-TOR,2025-06-07,2025,7,UFA,royal,rush,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-06-15-BOS-TOR,2025-06-15,2025,8,UFA,glory,rush,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-06-20-TOR-NY,2025-06-20,2025,9,UFA,rush,empire,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-06-21-TOR-BOS,2025-06-21,2025,9,UFA,rush,glory,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-06-28-PIT-TOR,2025-06-28,2025,10,UFA,thunderbirds,rush,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-07-04-TOR-MTL,2025-07-04,2025,11,UFA,rush,royal,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-07-19-TOR-MTL,2025-07-19,2025,13,UFA,rush,royal,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2026-05-01-TOR-NY,2026-05-01,2026,2,UFA,rush,empire,3.0,0.0,,,1.0,3.0,,,,1.0,231.0,234.0
2026-05-02-TOR-PHI,2026-05-02,2026,2,UFA,rush,phoenix,1.0,0.0,,,1.0,3.0,,,,1.0,271.0,151.0
2026-05-09-MTL-TOR,2026-05-09,2026,3,UFA,royal,rush,1.0,0.0,,,0.0,4.0,,,,3.0,230.0,64.0
