game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-ilt20-2023-01-15-1346918,2023-01-15,2023,1,ILT20,Abu Dhabi Knight Riders,Gulf Giants,1.0,0.0,1.0,11.0,0.0,0.0,12.0,0.0,0.0,13.0,0.0,1.0,,,1.0
cricket-ilt20-2023-01-18-1346922,2023-01-18,2023,1,ILT20,Abu Dhabi Knight Riders,Desert Vipers,3.0,0.0,0.0,9.0,2.0,0.0,,,,,,,,,1.0
cricket-ilt20-2023-01-20-1346924,2023-01-20,2023,1,ILT20,Desert Vipers,Abu Dhabi Knight Riders,2.0,0.0,0.0,10.0,1.0,0.0,18.0,0.0,0.0,54.0,0.0,0.0,,,1.0
cricket-ilt20-2023-01-30-1346937,2023-01-30,2023,1,ILT20,Abu Dhabi Knight Riders,Dubai Capitals,8.0,0.0,1.0,10.0,4.0,0.0,18.0,0.0,0.0,21.0,0.0,3.0,,,1.0
cricket-ilt20-2023-02-03-1346941,2023-02-03,2023,1,ILT20,MI Emirates,Abu Dhabi Knight Riders,4.0,0.0,0.0,10.0,2.0,0.0,18.0,0.0,0.0,29.0,0.0,1.0,,,1.0
cricket-ilt20-2023-02-04-1346943,2023-02-04,2023,1,ILT20,Sharjah Warriors,Abu Dhabi Knight Riders,,,,,,,18.0,0.0,0.0,24.0,2.0,1.0,,2.0,1.0
cricket-odi-2023-03-30-1365098,2023-03-30,2023,1,ODI,United Arab Emirates,United States of America,,,,,,,30.0,0.0,0.0,37.0,1.0,1.0,,,1.0
cricket-ilt20-2024-01-23-1406894,2024-01-23,2024,1,ILT20,Abu Dhabi Knight Riders,MI Emirates,,,,,,,7.0,0.0,0.0,17.0,1.0,2.0,,,1.0
cricket-ilt20-2024-01-25-1406896,2024-01-25,2024,1,ILT20,Abu Dhabi Knight Riders,Dubai Capitals,,,,,,,6.0,0.0,0.0,18.0,0.0,0.0,,,1.0
cricket-ilt20-2025-12-21-1501341,2025-12-21,2025,1,ILT20,Desert Vipers,MI Emirates,,,,,,,15.0,0.0,0.0,18.0,2.0,1.0,,,1.0
cricket-t20i-2025-05-17-1484051,2025-05-17,2025,1,T20I,Bangladesh,United Arab Emirates,4.0,0.0,1.0,10.0,0.0,0.0,24.0,0.0,3.0,46.0,1.0,2.0,,,1.0
cricket-t20i-2025-05-19-1484052,2025-05-19,2025,1,T20I,Bangladesh,United Arab Emirates,1.0,0.0,1.0,10.0,1.0,0.0,12.0,0.0,0.0,30.0,0.0,1.0,1.0,,1.0
cricket-t20i-2025-05-21-1486582,2025-05-21,2025,1,T20I,Bangladesh,United Arab Emirates,,,,,,,24.0,0.0,0.0,41.0,2.0,1.0,,,1.0
cricket-t20i-2025-07-23-1494110,2025-07-23,2025,1,T20I,Kenya,United Arab Emirates,,,,,,,24.0,0.0,0.0,27.0,1.0,1.0,,,1.0
cricket-t20i-2025-07-26-1494113,2025-07-26,2025,1,T20I,United Arab Emirates,Nigeria,,,,,,,12.0,0.0,0.0,5.0,0.0,0.0,1.0,,1.0
