game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
STORM-LIGHTNING-0330,2025-03-30,2025,3,AF1,OREGON,SW KANSAS,1.0,57.0,5.0,,
NASHVILLE-OREGON-0404,2025-04-04,2025,4,AF1,OREGON,NASHVILLE,0.0,23.0,5.0,,
SYNTHETIC_AF1_2025_W4_OREGON,2025-04-04,2025,4,AF1,OREGON,NASHVILLE,,23.0,5.0,,
SYNTHETIC_AF1_2025_W6_OREGON,2025-04-19,2025,6,AF1,OREGON,SALINA,1.0,12.0,1.0,,18.0
OREGON-WASHINGTON-0425,2025-04-25,2025,7,AF1,WASHINGTON,OREGON,,,,0.0,-1.0
WASHINGTON-OREGON-0504,2025-05-04,2025,8,AF1,OREGON,WASHINGTON,2.0,80.0,4.0,0.0,-1.0
OREGON-CORPUSCHRISTI-0512,2025-05-12,2025,9,AF1,CORPUS CHRISTI,OREGON,1.0,93.0,6.0,,
WASHINGTON-OREGON-0518,2025-05-18,2025,10,AF1,OREGON,WASHINGTON,0.0,52.0,3.0,1.0,8.0
OREGON-NASHVILLE-0524,2025-05-24,2025,11,AF1,NASHVILLE,OREGON,0.0,14.0,4.0,1.0,5.0
OREGON-BILLINGS-0601,2025-06-01,2025,12,AF1,BILLINGS,OREGON,0.0,18.0,3.0,,
BILLINGS-OREGON-0614,2025-06-14,2025,14,AF1,OREGON,BILLINGS,,,,0.0,6.0
SYNTHETIC_AF1_2025_W14_OREGON,2025-06-14,2025,14,AF1,OREGON,BILLINGS,,10.0,1.0,,
