game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-MTL-TOR,2023-05-13,2023,3,AUDL,MONTREAL ROYAL,TORONTO RUSH,2.0,1.0,24.0,21.0,,3.0,1.0,1.0,21.0,,323.0,56.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,AUDL,BOSTON GLORY,MONTREAL ROYAL,1.0,,9.0,8.0,,,,,9.0,1.0,166.0,35.0
2023-05-27-TOR-MTL,2023-05-27,2023,5,AUDL,TORONTO RUSH,MONTREAL ROYAL,3.0,2.0,13.0,10.0,1.0,,2.0,1.0,15.0,5.0,136.0,113.0
2023-06-03-NY-MTL,2023-06-03,2023,6,AUDL,NEW YORK EMPIRE,MONTREAL ROYAL,1.0,,12.0,13.0,1.0,,3.0,1.0,13.0,,141.0,137.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,AUDL,BOSTON GLORY,MONTREAL ROYAL,1.0,1.0,14.0,12.0,,1.0,1.0,,13.0,1.0,165.0,56.0
2023-06-23-DC-MTL,2023-06-23,2023,9,AUDL,DC BREEZE,MONTREAL ROYAL,1.0,1.0,12.0,7.0,,2.0,2.0,,9.0,1.0,90.0,38.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,AUDL,PHILADELPHIA PHOENIX,MONTREAL ROYAL,1.0,,13.0,12.0,,,1.0,,13.0,1.0,142.0,72.0
2024-04-26-MTL-BOS,2024-04-26,2024,1,UFA,royal,glory,0.0,0.0,,,0.0,0.0,,,,0.0,45.0,-18.0
2024-04-27-MTL-NY,2024-04-27,2024,1,UFA,royal,empire,0.0,0.0,,,0.0,1.0,,,,0.0,77.0,-4.0
2024-05-11-MTL-TOR,2024-05-11,2024,3,UFA,royal,rush,0.0,1.0,,,0.0,1.0,,,,3.0,56.0,32.0
2024-05-18-NY-MTL,2024-05-18,2024,4,UFA,empire,royal,0.0,1.0,,,0.0,0.0,,,,0.0,19.0,8.0
2024-06-08-TOR-MTL,2024-06-08,2024,7,UFA,rush,royal,1.0,0.0,,,0.0,0.0,,,,0.0,25.0,11.0
2024-06-16-DC-MTL,2024-06-16,2024,8,UFA,breeze,royal,1.0,0.0,,,0.0,0.0,,,,0.0,20.0,68.0
2024-06-21-MTL-PHI,2024-06-21,2024,9,UFA,royal,phoenix,0.0,1.0,,,0.0,0.0,,,,2.0,78.0,2.0
2024-06-22-MTL-DC,2024-06-22,2024,9,UFA,royal,breeze,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-30-PHI-MTL,2024-06-30,2024,10,UFA,phoenix,royal,2.0,1.0,,,0.0,0.0,,,,0.0,54.0,21.0
2024-07-06-BOS-MTL,2024-07-06,2024,11,UFA,glory,royal,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-07-19-MTL-TOR,2024-07-19,2024,13,UFA,royal,rush,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-07-21-BOS-MTL,2024-07-21,2024,13,UFA,glory,royal,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2026-05-02-MTL-BOS,2026-05-02,2026,2,UFA,royal,glory,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2026-05-03-MTL-DC,2026-05-03,2026,2,UFA,royal,breeze,0.0,1.0,,,0.0,0.0,,,,1.0,146.0,20.0
2026-05-09-MTL-TOR,2026-05-09,2026,3,UFA,royal,rush,0.0,2.0,,,0.0,2.0,,,,0.0,65.0,18.0
2026-05-10-MTL-PIT,2026-05-10,2026,3,UFA,royal,thunderbirds,3.0,2.0,,,0.0,3.0,,,,0.0,112.0,73.0
2026-05-16-BOS-MTL,2026-05-16,2026,4,UFA,glory,royal,0.0,0.0,,,0.0,0.0,,,,0.0,-1.0,23.0
2026-05-23-TOR-MTL,2026-05-23,2026,5,UFA,rush,royal,1.0,0.0,,,0.0,0.0,,,,1.0,77.0,63.0
