game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-ipl-2022-03-31-1304053,2022-03-31,2022,1,IPL,Chennai Super Kings,Lucknow Super Giants,,,,,,,21.0,0.0,0.0,39.0,0.0,3.0,,1.0
cricket-ipl-2022-04-03-1304057,2022-04-03,2022,1,IPL,Punjab Kings,Chennai Super Kings,2.0,0.0,1.0,11.0,2.0,0.0,24.0,0.0,0.0,52.0,1.0,3.0,,1.0
cricket-ipl-2022-04-09-1304063,2022-04-09,2022,1,IPL,Chennai Super Kings,Sunrisers Hyderabad,,,,,,,24.0,0.0,0.0,30.0,1.0,0.0,,1.0
cricket-ipl-2022-04-12-1304068,2022-04-12,2022,1,IPL,Chennai Super Kings,Royal Challengers Bangalore,,,,,,,18.0,0.0,0.0,40.0,1.0,2.0,,1.0
cricket-ipl-2022-04-17-1304075,2022-04-17,2022,1,IPL,Chennai Super Kings,Gujarat Titans,,,,,,,18.0,0.0,0.0,18.0,1.0,1.0,,1.0
cricket-ipl-2022-04-21-1304079,2022-04-21,2022,1,IPL,Mumbai Indians,Chennai Super Kings,,,,,,,18.0,0.0,0.0,19.0,3.0,1.0,1.0,1.0
cricket-ipl-2022-04-25-1304084,2022-04-25,2022,1,IPL,Punjab Kings,Chennai Super Kings,,,,,,,24.0,0.0,0.0,36.0,0.0,3.0,1.0,1.0
cricket-ipl-2022-05-01-1304092,2022-05-01,2022,1,IPL,Chennai Super Kings,Sunrisers Hyderabad,,,,,,,24.0,0.0,0.0,46.0,4.0,1.0,,1.0
cricket-ipl-2022-05-04-1304095,2022-05-04,2022,1,IPL,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,18.0,0.0,0.0,30.0,0.0,1.0,1.0,1.0
cricket-ipl-2022-05-08-1304101,2022-05-08,2022,1,IPL,Chennai Super Kings,Delhi Capitals,,,,,,,18.0,0.0,0.0,22.0,2.0,0.0,,1.0
cricket-ipl-2022-05-12-1304105,2022-05-12,2022,1,IPL,Chennai Super Kings,Mumbai Indians,4.0,1.0,0.0,11.0,4.0,0.0,24.0,0.0,0.0,23.0,3.0,3.0,,1.0
cricket-ipl-2022-05-15-1304108,2022-05-15,2022,1,IPL,Chennai Super Kings,Gujarat Titans,,,,,,,18.0,0.0,0.0,28.0,0.0,0.0,,1.0
cricket-ipl-2022-05-20-1304114,2022-05-20,2022,1,IPL,Chennai Super Kings,Rajasthan Royals,,,,,,,24.0,0.0,0.0,41.0,0.0,0.0,,1.0
cricket-ipl-2024-04-05-1422136,2024-04-05,2024,1,IPL,Chennai Super Kings,Sunrisers Hyderabad,,,,,,,6.0,0.0,1.0,27.0,0.0,0.0,,1.0
cricket-ipl-2025-04-05-1473454,2025-04-05,2025,1,IPL,Delhi Capitals,Chennai Super Kings,,,,,,,24.0,0.0,0.0,50.0,0.0,0.0,,1.0
cricket-ipl-2025-04-08-1473459,2025-04-08,2025,1,IPL,Punjab Kings,Chennai Super Kings,,,,,,,12.0,0.0,0.0,21.0,1.0,0.0,,1.0
cricket-ipl-2026-04-18-1529270,2026-04-18,2026,1,IPL,Sunrisers Hyderabad,Chennai Super Kings,,,,,,,12.0,0.0,0.0,21.0,2.0,0.0,,1.0
cricket-ipl-2026-04-23-1529276,2026-04-23,2026,1,IPL,Chennai Super Kings,Mumbai Indians,,,,,,,24.0,0.0,0.0,31.0,1.0,3.0,1.0,1.0
cricket-ipl-2026-05-02-1529287,2026-05-02,2026,1,IPL,Mumbai Indians,Chennai Super Kings,,,,,,,18.0,0.0,0.0,25.0,0.0,0.0,,1.0
cricket-ipl-2026-05-05-1529291,2026-05-05,2026,1,IPL,Delhi Capitals,Chennai Super Kings,,,,,,,24.0,0.0,0.0,31.0,1.0,1.0,1.0,1.0
cricket-ipl-2026-05-10-1529296,2026-05-10,2026,1,IPL,Lucknow Super Giants,Chennai Super Kings,,,,,,,24.0,0.0,0.0,45.0,0.0,2.0,,1.0
