game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-odi-2013-05-17-601077,2013-05-17,2013,1,ODI,Scotland,Pakistan,19.0,1.0,0.0,4.0,11.0,0.0,60.0,0.0,0.0,50.0,1.0,1.0,,1.0
cricket-odi-2013-09-06-660837,2013-09-06,2013,1,ODI,Ireland,Scotland,25.0,4.0,0.0,3.0,27.0,1.0,24.0,0.0,0.0,15.0,1.0,0.0,1.0,1.0
cricket-t20i-2013-11-19-660149,2013-11-19,2013,1,T20I,Kenya,Scotland,6.0,3.0,0.0,3.0,13.0,0.0,,,,,,,,1.0
cricket-t20i-2013-11-22-660173,2013-11-22,2013,1,T20I,Netherlands,Scotland,46.0,6.0,1.0,3.0,67.0,1.0,24.0,0.0,0.0,23.0,0.0,0.0,,1.0
cricket-t20i-2013-11-28-660223,2013-11-28,2013,1,T20I,Netherlands,Scotland,53.0,7.0,0.0,2.0,61.0,0.0,24.0,0.0,0.0,27.0,0.0,0.0,,1.0
cricket-odi-2014-01-23-696731,2014-01-23,2014,1,ODI,Scotland,Canada,70.0,6.0,0.0,3.0,68.0,0.0,6.0,0.0,0.0,10.0,0.0,1.0,,1.0
cricket-odi-2014-01-30-696759,2014-01-30,2014,1,ODI,Kenya,Scotland,10.0,0.0,0.0,3.0,13.0,1.0,36.0,0.0,0.0,30.0,1.0,1.0,,1.0
cricket-odi-2014-05-09-684679,2014-05-09,2014,1,ODI,Scotland,England,38.0,4.0,0.0,3.0,33.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,,1.0
cricket-odi-2015-01-12-810829,2015-01-12,2015,1,ODI,Ireland,Scotland,120.0,4.0,0.0,4.0,86.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,,1.0
cricket-odi-2015-02-17-656409,2015-02-17,2015,1,ODI,New Zealand,Scotland,79.0,7.0,0.0,4.0,56.0,1.0,,,,,,,,1.0
cricket-odi-2015-02-23-656425,2015-02-23,2015,1,ODI,England,Scotland,7.0,1.0,0.0,4.0,5.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,,1.0
cricket-odi-2015-03-05-656451,2015-03-05,2015,1,ODI,Bangladesh,Scotland,50.0,2.0,0.0,4.0,35.0,1.0,42.0,0.0,0.0,45.0,0.0,0.0,,1.0
cricket-odi-2015-03-11-656467,2015-03-11,2015,1,ODI,Scotland,Sri Lanka,31.0,1.0,0.0,2.0,19.0,0.0,24.0,0.0,0.0,46.0,1.0,1.0,,1.0
cricket-odi-2015-03-14-656477,2015-03-14,2015,1,ODI,Australia,Scotland,35.0,6.0,0.0,3.0,40.0,0.0,,,,,,,,1.0
cricket-t20i-2016-01-30-953103,2016-01-30,2016,1,T20I,Hong Kong,Scotland,7.0,1.0,0.0,4.0,10.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2016-01-31-953105,2016-01-31,2016,1,T20I,Hong Kong,Scotland,9.0,1.0,0.0,4.0,6.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2016-02-04-966373,2016-02-04,2016,1,T20I,United Arab Emirates,Scotland,10.0,2.0,0.0,4.0,12.0,0.0,,,,,,,,1.0
cricket-t20i-2016-03-10-951313,2016-03-10,2016,1,T20I,Scotland,Zimbabwe,6.0,2.0,0.0,4.0,9.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2016-03-12-951323,2016-03-12,2016,1,T20I,Hong Kong,Scotland,4.0,2.0,1.0,4.0,15.0,1.0,24.0,0.0,0.0,26.0,2.0,0.0,,1.0
