game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,,,48.0,9.0,15.0,,14.0,113.0,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,41.0,8.0,12.0,,24.0,132.0,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,,8.0,10.0,1.0,82.0,182.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,22.0,7.0,14.0,,27.0,67.0,,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,20.0,5.0,5.0,,11.0,50.0,,,
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,1.0,1.0,16.0,8.0,13.0,,10.0,79.0,,,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,26.0,4.0,5.0,,28.0,61.0,,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,,,43.0,11.0,14.0,,48.0,175.0,,,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,11.0,2.0,4.0,,6.0,18.0,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,58.0,6.0,9.0,1.0,55.0,121.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,,22.0,8.0,10.0,,20.0,97.0,,,
