game_id,date,season,week,league,away,home,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
2024-05-04-SEA-COL,2024-05-04,2024,2,UFA,cascades,summit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18-SLC-COL,2024-05-18,2024,4,UFA,shred,summit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31-ATL-COL,2024-05-31,2024,6,UFA,hustle,summit,0.0,0.0,0.0,0.0,0.0,39.0,10.0
2024-06-07-COL-OAK,2024-06-07,2024,7,UFA,summit,spiders,4.0,0.0,0.0,3.0,0.0,224.0,112.0
2024-06-08-COL-SLC,2024-06-08,2024,7,UFA,summit,shred,2.0,0.0,0.0,0.0,1.0,87.0,227.0
2024-06-14-COL-MAD,2024-06-14,2024,8,UFA,summit,radicals,2.0,1.0,0.0,0.0,1.0,96.0,142.0
2024-06-15-COL-MIN,2024-06-15,2024,8,UFA,summit,windchill,1.0,0.0,1.0,1.0,3.0,296.0,102.0
2024-06-21-SD-COL,2024-06-21,2024,9,UFA,growlers,summit,4.0,0.0,0.0,2.0,1.0,301.0,393.0
2024-06-29-COL-SEA,2024-06-29,2024,10,UFA,summit,cascades,1.0,0.0,0.0,1.0,4.0,179.0,124.0
2024-06-30-COL-POR,2024-06-30,2024,10,UFA,summit,nitro,3.0,0.0,0.0,1.0,0.0,138.0,97.0
2024-07-06-IND-COL,2024-07-06,2024,11,UFA,alleycats,summit,0.0,0.0,1.0,1.0,2.0,180.0,163.0
2024-07-12-LA-COL,2024-07-12,2024,12,UFA,aviators,summit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-26-ORE-COL,2025-04-26,2025,1,UFA,steel,summit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-16-COL-HTX,2025-05-16,2025,4,UFA,summit,havoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-17-COL-ATX,2025-05-17,2025,4,UFA,summit,sol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-24-ORE-COL,2025-05-24,2025,5,UFA,steel,summit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-30-OAK-COL,2025-05-30,2025,6,UFA,spiders,summit,0.0,0.0,0.0,0.0,0.0,24.0,33.0
2025-06-20-LV-COL,2025-06-20,2025,9,UFA,bighorns,summit,1.0,0.0,0.0,2.0,0.0,48.0,55.0
2025-06-27-COL-SEA,2025-06-27,2025,10,UFA,summit,cascades,5.0,1.0,0.0,1.0,1.0,169.0,306.0
2025-06-28-COL-ORE,2025-06-28,2025,10,UFA,summit,steel,2.0,0.0,1.0,3.0,5.0,382.0,209.0
2025-07-04-SLC-COL,2025-07-04,2025,11,UFA,shred,summit,2.0,0.0,0.0,3.0,1.0,353.0,45.0
2025-07-11-COL-SLC,2025-07-11,2025,12,UFA,summit,shred,3.0,0.0,0.0,2.0,1.0,249.0,141.0
2025-07-12-COL-LV,2025-07-12,2025,12,UFA,summit,bighorns,3.0,0.0,1.0,1.0,0.0,190.0,184.0
2025-07-18-SEA-COL,2025-07-18,2025,13,UFA,cascades,summit,4.0,1.0,0.0,3.0,1.0,233.0,79.0
2026-05-02-COL-SEA,2026-05-02,2026,2,UFA,apex,cascades,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03-COL-ORE,2026-05-03,2026,2,UFA,apex,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-09-SLC-COL,2026-05-09,2026,3,UFA,shred,apex,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15-COL-DC,2026-05-15,2026,4,UFA,apex,breeze,0.0,0.0,0.0,0.0,0.0,0.0,0.0
