game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2019-06-16-1185184,2019-06-16,2019,1,T20I,Denmark,Jersey,5.0,0.0,0.0,1.0,2.0,0.0,24.0,0.0,0.0,25.0,1.0,0.0,,,1.0
cricket-t20i-2019-06-17-1185182,2019-06-17,2019,1,T20I,Denmark,Norway,18.0,1.0,0.0,1.0,21.0,1.0,12.0,0.0,0.0,5.0,2.0,0.0,1.0,,1.0
cricket-t20i-2019-06-18-1185187,2019-06-18,2019,1,T20I,Guernsey,Denmark,24.0,7.0,0.0,1.0,39.0,0.0,,,,,,,,,1.0
cricket-t20i-2019-06-19-1185193,2019-06-19,2019,1,T20I,Denmark,Germany,3.0,0.0,1.0,10.0,2.0,0.0,18.0,0.0,0.0,16.0,1.0,0.0,,,1.0
cricket-t20i-2019-06-20-1189743,2019-06-20,2019,1,T20I,Guernsey,Denmark,28.0,1.0,0.0,1.0,26.0,1.0,24.0,0.0,0.0,13.0,2.0,0.0,,,1.0
cricket-t20i-2019-06-20-1189744,2019-06-20,2019,1,T20I,Denmark,Italy,11.0,2.0,0.0,1.0,11.0,0.0,24.0,0.0,0.0,24.0,2.0,0.0,3.0,,1.0
cricket-t20i-2022-06-29-1320974,2022-06-29,2022,1,T20I,Denmark,Gibraltar,42.0,5.0,0.0,1.0,91.0,9.0,18.0,0.0,0.0,16.0,2.0,0.0,,1.0,1.0
cricket-t20i-2022-07-01-1320980,2022-07-01,2022,1,T20I,Belgium,Denmark,4.0,2.0,0.0,1.0,8.0,0.0,24.0,0.0,0.0,25.0,2.0,1.0,,,1.0
cricket-t20i-2022-07-02-1320984,2022-07-02,2022,1,T20I,Denmark,Spain,32.0,3.0,0.0,1.0,45.0,4.0,24.0,0.0,0.0,33.0,0.0,1.0,,,1.0
cricket-t20i-2022-07-04-1320988,2022-07-04,2022,1,T20I,Portugal,Denmark,1.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,11.0,2.0,0.0,2.0,,1.0
cricket-t20i-2023-05-18-1370782,2023-05-18,2023,1,T20I,Norway,Denmark,36.0,5.0,1.0,1.0,63.0,4.0,18.0,1.0,0.0,4.0,1.0,0.0,1.0,,1.0
cricket-t20i-2023-05-18-1370783,2023-05-18,2023,1,T20I,Denmark,Finland,25.0,7.0,0.0,1.0,49.0,1.0,12.0,0.0,0.0,16.0,1.0,1.0,,,1.0
cricket-t20i-2023-05-19-1370785,2023-05-19,2023,1,T20I,Denmark,Sweden,2.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,17.0,0.0,0.0,,,1.0
cricket-t20i-2023-07-21-1383071,2023-07-21,2023,1,T20I,Denmark,Ireland,10.0,3.0,0.0,1.0,20.0,1.0,21.0,0.0,0.0,25.0,0.0,0.0,,,1.0
cricket-t20i-2023-07-23-1383076,2023-07-23,2023,1,T20I,Denmark,Germany,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,13.0,0.0,1.0,,,1.0
cricket-t20i-2023-07-24-1383078,2023-07-24,2023,1,T20I,Austria,Denmark,3.0,0.0,0.0,1.0,2.0,0.0,24.0,0.0,0.0,19.0,4.0,0.0,1.0,,1.0
cricket-t20i-2023-07-25-1383080,2023-07-25,2023,1,T20I,Italy,Denmark,6.0,1.0,0.0,1.0,5.0,0.0,12.0,0.0,0.0,12.0,1.0,1.0,1.0,,1.0
cricket-t20i-2023-07-27-1383083,2023-07-27,2023,1,T20I,Scotland,Denmark,3.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,23.0,3.0,1.0,,,1.0
cricket-t20i-2023-07-28-1383087,2023-07-28,2023,1,T20I,Jersey,Denmark,8.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,23.0,3.0,1.0,1.0,,1.0
cricket-t20i-2024-06-16-1438073,2024-06-16,2024,1,T20I,Denmark,Jersey,6.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,20.0,0.0,0.0,,,1.0
cricket-t20i-2024-06-16-1438074,2024-06-16,2024,1,T20I,Jersey,Denmark,16.0,0.0,1.0,7.0,26.0,2.0,18.0,0.0,0.0,38.0,0.0,0.0,,,1.0
cricket-t20i-2024-08-21-1443768,2024-08-21,2024,1,T20I,Denmark,Czech Republic,1.0,1.0,1.0,7.0,4.0,0.0,18.0,0.0,0.0,12.0,0.0,0.0,1.0,,1.0
cricket-t20i-2024-08-22-1443771,2024-08-22,2024,1,T20I,Denmark,Greece,1.0,0.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,19.0,1.0,1.0,,,1.0
cricket-t20i-2024-08-27-1443782,2024-08-27,2024,1,T20I,Denmark,Cyprus,4.0,1.0,1.0,6.0,6.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,1.0,,1.0
cricket-t20i-2024-08-28-1443789,2024-08-28,2024,1,T20I,Denmark,Guernsey,35.0,2.0,0.0,6.0,62.0,6.0,24.0,0.0,0.0,29.0,1.0,0.0,,,1.0
