game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2013-jYQJ19EqGR,,2013,1,MLS,,,1.0,-0.0499,20.9802,6.2037,1.0,-0.8194,2.0,17.0,2639.0,0.8766,1693.0,44.1043,2.6051,0.0,36.0,5.0,1.0499,1.8194,-0.8984,2.8693,0.8505,1.1278
soccer-mls-2014-jYQJ19EqGR,,2014,1,MLS,,,0.0,-1.1989,20.3112,6.445,1.0,-1.8452,1.0,23.0,3414.0,0.9055,2328.0,97.1855,4.1746,0.0,35.0,5.0,1.1989,2.8452,-0.9396,4.0441,0.8638,1.1654
soccer-mls-2015-jYQJ19EqGR,,2015,1,MLS,,,0.0,-0.592,20.7892,5.6304,0.0,-0.3944,0.0,7.0,1981.0,0.9209,1454.0,60.846,4.1847,0.0,8.0,1.0,0.592,0.3944,0.2242,0.9863,0.8791,0.254
soccer-mls-2016-jYQJ19EqGR,,2016,1,MLS,,,3.0,1.4381,21.0168,5.9489,3.0,0.9134,6.0,27.0,3595.0,0.9004,2571.0,84.6743,3.2934,1.4592,49.0,12.0,1.5619,2.0866,0.4623,3.6485,0.8675,1.2317
soccer-mls-2017-jYQJ19EqGR,,2017,1,MLS,,,0.0,-0.6995,21.388,5.9891,1.0,-0.4618,1.0,11.0,2250.0,0.9049,1714.0,61.7236,3.6011,1.6759,24.0,6.0,0.6995,1.4618,-0.0528,2.1612,0.8689,1.5681
soccer-mls-2018-jYQJ19EqGR,,2018,1,MLS,,,0.0,-0.8074,21.3708,6.103,0.0,-1.5384,0.0,15.0,2219.0,0.9154,1572.0,68.6392,4.3664,0.0,17.0,2.0,0.8074,1.5384,-0.9689,2.3458,0.8717,0.7416
soccer-mls-2019-kRQand1MKZ,,2019,1,MLS,,,1.0,-0.3512,19.9543,6.1175,2.0,1.4074,3.0,15.0,2684.0,0.9213,1563.0,63.7469,4.0785,1.6896,12.0,3.0,1.3512,0.5926,0.1008,1.9438,0.8805,0.4388
soccer-mls-2020-kRQand1MKZ,,2020,1,MLS,,,0.0,-0.4514,19.2249,5.6937,0.0,-0.2138,0.0,11.0,1300.0,0.902,694.0,22.1703,3.1946,0.0,8.0,2.0,0.4514,0.2138,0.005,0.6652,0.8701,0.171
soccer-mls-2021-kRQand1MKZ,,2021,1,MLS,,,0.0,-0.803,19.4041,4.9569,1.0,0.2769,1.0,7.0,1682.0,0.9117,1053.0,38.8537,3.6898,1.1525,16.0,1.0,0.803,0.7231,-0.0616,1.5261,0.8748,0.6466
soccer-mls-2022-KAqBN0Vqbg,,2022,1,MLS,,,0.0,-0.0535,19.455,4.8881,0.0,-0.0234,0.0,1.0,365.0,0.8809,235.0,0.4681,0.1992,0.0,1.0,0.0,0.0535,0.0234,-0.0234,0.0769,0.8789,0.0139
soccer-mls-2023-KAqBN0Vqbg,,2023,1,MLS,,,0.0,0.0,16.5644,3.5291,0.0,-0.0998,0.0,0.0,139.0,0.9,80.0,1.541,1.9263,0.0,2.0,0.0,0.0,0.0998,-0.0998,0.0998,0.8807,0.0372
soccer-mlsnp-2023-wvq9jx1QWn,,2023,1,MLSNP,,,0.0,0.0,17.4812,6.1981,0.0,0.0,0.0,0.0,32.0,1.0,29.0,2.8366,9.7815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9022,0.0
