game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-t20i-2019-08-18-1197397,2019-08-18,2019,1,T20I,Canada,Cayman Islands,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,3.0,2.0,0.0,,1.0
cricket-t20i-2019-08-19-1197399,2019-08-19,2019,1,T20I,Cayman Islands,United States of America,19.0,0.0,0.0,5.0,5.0,0.0,24.0,0.0,0.0,25.0,0.0,2.0,,1.0
cricket-t20i-2019-08-21-1197400,2019-08-21,2019,1,T20I,Bermuda,Cayman Islands,7.0,0.0,1.0,7.0,7.0,0.0,8.0,0.0,0.0,9.0,0.0,1.0,,1.0
cricket-t20i-2019-08-22-1197402,2019-08-22,2019,1,T20I,Canada,Cayman Islands,13.0,0.0,0.0,7.0,7.0,0.0,,,,,,,,1.0
cricket-t20i-2019-08-24-1197404,2019-08-24,2019,1,T20I,Cayman Islands,United States of America,17.0,0.0,0.0,2.0,9.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,,1.0
cricket-t20i-2019-08-25-1197407,2019-08-25,2019,1,T20I,Bermuda,Cayman Islands,32.0,4.0,0.0,2.0,28.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2023-02-25-1359795,2023-02-25,2023,1,T20I,Bermuda,Cayman Islands,5.0,0.0,0.0,5.0,5.0,0.0,12.0,0.0,0.0,26.0,1.0,0.0,,1.0
cricket-t20i-2023-02-28-1359788,2023-02-28,2023,1,T20I,Cayman Islands,Bahamas,18.0,1.0,0.0,3.0,17.0,0.0,18.0,0.0,0.0,13.0,1.0,0.0,1.0,1.0
cricket-t20i-2023-03-02-1359799,2023-03-02,2023,1,T20I,Cayman Islands,Panama,22.0,2.0,0.0,3.0,20.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,2.0,1.0
cricket-t20i-2023-03-04-1359802,2023-03-04,2023,1,T20I,Argentina,Cayman Islands,37.0,3.0,0.0,3.0,31.0,1.0,,,,,,,,1.0
cricket-t20i-2023-09-30-1399151,2023-09-30,2023,1,T20I,Panama,Cayman Islands,6.0,0.0,0.0,3.0,2.0,0.0,,,,,,,,1.0
cricket-t20i-2023-10-01-1399153,2023-10-01,2023,1,T20I,Canada,Cayman Islands,10.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,,1.0
cricket-t20i-2023-10-03-1399155,2023-10-03,2023,1,T20I,Bermuda,Cayman Islands,16.0,0.0,1.0,4.0,7.0,0.0,12.0,0.0,0.0,20.0,1.0,2.0,,1.0
