game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,fielding_runouts,match_played
cricket-t20i-2019-08-28-1198217,2019-08-28,2019,1,T20I,Singapore,Malaysia,24.0,0.0,0.0,6.0,10.0,0.0,1.0,,1.0
cricket-t20i-2019-08-30-1198219,2019-08-30,2019,1,T20I,Singapore,Malaysia,10.0,2.0,0.0,6.0,14.0,0.0,,,1.0
cricket-t20i-2022-06-17-1320190,2022-06-17,2022,1,T20I,Malaysia,Singapore,17.0,0.0,0.0,6.0,4.0,0.0,,,1.0
cricket-t20i-2022-06-18-1320194,2022-06-18,2022,1,T20I,Singapore,United Arab Emirates,5.0,0.0,0.0,6.0,0.0,0.0,,,1.0
cricket-t20i-2022-06-20-1320202,2022-06-20,2022,1,T20I,Oman,Singapore,,,,,,,1.0,,1.0
cricket-t20i-2022-06-21-1320203,2022-06-21,2022,1,T20I,Singapore,Qatar,3.0,0.0,0.0,2.0,1.0,0.0,1.0,,1.0
cricket-t20i-2022-07-08-1322018,2022-07-08,2022,1,T20I,Singapore,Malaysia,4.0,0.0,0.0,6.0,2.0,0.0,,,1.0
cricket-t20i-2022-07-09-1322019,2022-07-09,2022,1,T20I,Malaysia,Singapore,1.0,0.0,0.0,8.0,0.0,0.0,,,1.0
cricket-t20i-2023-08-24-1391650,2023-08-24,2023,1,T20I,Singapore,Myanmar,22.0,0.0,0.0,5.0,10.0,0.0,,,1.0
cricket-t20i-2023-08-26-1391651,2023-08-26,2023,1,T20I,Singapore,Myanmar,29.0,0.0,0.0,7.0,15.0,0.0,,,1.0
cricket-t20i-2023-08-27-1391652,2023-08-27,2023,1,T20I,Singapore,Myanmar,34.0,0.0,0.0,6.0,8.0,0.0,,,1.0
cricket-t20i-2024-02-10-1419910,2024-02-10,2024,1,T20I,Singapore,Kuwait,10.0,1.0,0.0,6.0,5.0,0.0,,,1.0
cricket-t20i-2024-02-11-1419918,2024-02-11,2024,1,T20I,Singapore,Myanmar,,,,,,,,1.0,1.0
cricket-t20i-2024-02-13-1419926,2024-02-13,2024,1,T20I,Thailand,Singapore,8.0,0.0,0.0,9.0,2.0,0.0,,,1.0
cricket-t20i-2024-07-02-1440444,2024-07-02,2024,1,T20I,Singapore,Indonesia,6.0,0.0,0.0,10.0,4.0,0.0,,,1.0
cricket-t20i-2024-07-05-1440447,2024-07-05,2024,1,T20I,Indonesia,Singapore,17.0,1.0,0.0,9.0,13.0,0.0,1.0,,1.0
cricket-t20i-2024-07-06-1440448,2024-07-06,2024,1,T20I,Bhutan,Singapore,3.0,0.0,0.0,7.0,3.0,0.0,,,1.0
cricket-t20i-2024-07-08-1440451,2024-07-08,2024,1,T20I,Bhutan,Singapore,21.0,0.0,0.0,6.0,12.0,0.0,,,1.0
cricket-t20i-2024-10-01-1451303,2024-10-01,2024,1,T20I,Singapore,Japan,7.0,0.0,0.0,6.0,5.0,0.0,,,1.0
cricket-t20i-2024-10-02-1451304,2024-10-02,2024,1,T20I,Singapore,Japan,5.0,0.0,0.0,1.0,0.0,0.0,,,1.0
cricket-t20i-2024-10-04-1451305,2024-10-04,2024,1,T20I,Japan,Singapore,9.0,0.0,0.0,1.0,6.0,0.0,,,1.0
cricket-t20i-2024-10-06-1451307,2024-10-06,2024,1,T20I,Japan,Singapore,10.0,1.0,0.0,3.0,7.0,0.0,,,1.0
cricket-t20i-2024-10-21-1456121,2024-10-21,2024,1,T20I,Singapore,Myanmar,8.0,0.0,0.0,7.0,2.0,0.0,,1.0,1.0
cricket-t20i-2024-10-24-1456124,2024-10-24,2024,1,T20I,Singapore,Myanmar,6.0,1.0,0.0,7.0,8.0,0.0,,,1.0
cricket-t20i-2024-10-26-1456126,2024-10-26,2024,1,T20I,Singapore,Kuwait,24.0,2.0,0.0,4.0,16.0,0.0,,,1.0
cricket-t20i-2024-10-27-1456127,2024-10-27,2024,1,T20I,Myanmar,Singapore,1.0,0.0,0.0,5.0,0.0,0.0,,2.0,1.0
cricket-t20i-2024-10-29-1456129,2024-10-29,2024,1,T20I,Singapore,Kuwait,16.0,0.0,0.0,5.0,6.0,0.0,,1.0,1.0
cricket-t20i-2025-07-02-1490225,2025-07-02,2025,1,T20I,Singapore,Indonesia,3.0,0.0,0.0,3.0,0.0,0.0,,,1.0
cricket-t20i-2025-07-03-1490226,2025-07-03,2025,1,T20I,Singapore,Indonesia,10.0,0.0,0.0,2.0,1.0,0.0,,,1.0
cricket-t20i-2025-08-14-1498204,2025-08-14,2025,1,T20I,Singapore,Cambodia,23.0,1.0,1.0,6.0,20.0,0.0,,,1.0
