game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,fielding_runouts,match_played
cricket-odi-2010-09-06-464723,2010-09-06,2010,1,ODI,Canada,Ireland,95.0,6.0,0.0,3.0,71.0,0.0,,,1.0
cricket-odi-2011-02-20-433560,2011-02-20,2011,1,ODI,Sri Lanka,Canada,10.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0
cricket-odi-2011-02-28-433570,2011-02-28,2011,1,ODI,Canada,Zimbabwe,64.0,2.0,0.0,3.0,24.0,0.0,,,1.0
cricket-odi-2011-03-03-433574,2011-03-03,2011,1,ODI,Canada,Pakistan,16.0,0.0,0.0,1.0,8.0,0.0,,,1.0
cricket-odi-2011-03-07-433580,2011-03-07,2011,1,ODI,Canada,Kenya,27.0,3.0,0.0,1.0,18.0,0.0,,,1.0
cricket-odi-2011-03-13-433587,2011-03-13,2011,1,ODI,Canada,New Zealand,7.0,0.0,0.0,1.0,2.0,0.0,1.0,,1.0
cricket-odi-2011-09-19-523804,2011-09-19,2011,1,ODI,Ireland,Canada,2.0,0.0,0.0,3.0,0.0,0.0,1.0,,1.0
cricket-odi-2011-09-20-523805,2011-09-20,2011,1,ODI,Ireland,Canada,18.0,0.0,0.0,3.0,4.0,0.0,2.0,,1.0
cricket-t20i-2012-03-13-546410,2012-03-13,2012,1,T20I,Canada,Netherlands,13.0,1.0,0.0,2.0,9.0,0.0,,,1.0
cricket-t20i-2012-03-22-546462,2012-03-22,2012,1,T20I,Canada,Ireland,33.0,2.0,0.0,1.0,26.0,0.0,,,1.0
cricket-t20i-2012-03-23-546473,2012-03-23,2012,1,T20I,Canada,Scotland,24.0,2.0,0.0,1.0,20.0,1.0,,,1.0
cricket-odi-2013-03-11-592266,2013-03-11,2013,1,ODI,Canada,Kenya,112.0,3.0,0.0,2.0,72.0,3.0,,,1.0
cricket-odi-2013-08-27-660825,2013-08-27,2013,1,ODI,Canada,Netherlands,3.0,0.0,0.0,2.0,0.0,0.0,,,1.0
cricket-odi-2013-08-29-660827,2013-08-29,2013,1,ODI,Canada,Netherlands,12.0,0.0,0.0,4.0,1.0,0.0,,,1.0
cricket-t20i-2013-03-15-592268,2013-03-15,2013,1,T20I,Canada,Kenya,17.0,3.0,0.0,3.0,18.0,0.0,,,1.0
cricket-t20i-2013-03-16-592269,2013-03-16,2013,1,T20I,Canada,Kenya,36.0,5.0,0.0,3.0,38.0,0.0,,,1.0
cricket-t20i-2013-11-16-660113,2013-11-16,2013,1,T20I,Canada,Ireland,52.0,7.0,0.0,4.0,65.0,1.0,,,1.0
cricket-t20i-2013-11-26-660209,2013-11-26,2013,1,T20I,Canada,Kenya,7.0,2.0,0.0,1.0,15.0,1.0,,,1.0
cricket-odi-2014-01-23-696731,2014-01-23,2014,1,ODI,Scotland,Canada,3.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0
cricket-odi-2014-01-28-696747,2014-01-28,2014,1,ODI,Canada,Netherlands,74.0,5.0,0.0,1.0,54.0,1.0,,,1.0
