game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-odi-2019-12-09-1208344,2019-12-09,2019,1,ODI,England,Pakistan,3.0,0.0,0.0,9.0,0.0,0.0,60.0,0.0,0.0,61.0,3.0,2.0,,,1.0
cricket-odi-2019-12-12-1208345,2019-12-12,2019,1,ODI,England,Pakistan,11.0,0.0,1.0,9.0,6.0,0.0,24.0,0.0,0.0,46.0,0.0,1.0,,,1.0
cricket-t20i-2019-05-18-1177019,2019-05-18,2019,1,T20I,South Africa,Pakistan,,,,,,,24.0,0.0,0.0,23.0,0.0,0.0,,,1.0
cricket-t20i-2019-05-19-1177020,2019-05-19,2019,1,T20I,South Africa,Pakistan,,,,,,,24.0,0.0,0.0,20.0,1.0,0.0,,,1.0
cricket-t20i-2019-05-22-1177021,2019-05-22,2019,1,T20I,South Africa,Pakistan,,,,,,,19.0,0.0,0.0,36.0,0.0,0.0,2.0,,1.0
cricket-t20i-2019-05-23-1177022,2019-05-23,2019,1,T20I,South Africa,Pakistan,,,,,,,12.0,0.0,0.0,16.0,0.0,0.0,,,1.0
cricket-odi-2021-07-12-1267327,2021-07-12,2021,1,ODI,Pakistan,West Indies,21.0,2.0,1.0,10.0,19.0,0.0,27.0,0.0,0.0,22.0,0.0,0.0,,,1.0
cricket-t20i-2024-04-30-1426086,2024-04-30,2024,1,T20I,West Indies,Pakistan,2.0,1.0,1.0,10.0,4.0,0.0,24.0,0.0,0.0,28.0,0.0,1.0,,,1.0
cricket-t20i-2024-05-02-1426087,2024-05-02,2024,1,T20I,West Indies,Pakistan,,,,,,,24.0,0.0,0.0,21.0,1.0,0.0,,,1.0
cricket-t20i-2024-05-03-1426088,2024-05-03,2024,1,T20I,Pakistan,West Indies,11.0,2.0,1.0,9.0,16.0,0.0,24.0,1.0,0.0,22.0,0.0,1.0,,,1.0
cricket-t20i-2024-05-11-1398268,2024-05-11,2024,1,T20I,England,Pakistan,5.0,0.0,0.0,8.0,2.0,0.0,18.0,0.0,0.0,29.0,0.0,0.0,,,1.0
cricket-odi-2025-04-09-1477009,2025-04-09,2025,1,ODI,Pakistan,Ireland,10.0,1.0,0.0,8.0,7.0,0.0,60.0,0.0,0.0,43.0,0.0,0.0,,,1.0
cricket-odi-2025-04-11-1477012,2025-04-11,2025,1,ODI,Scotland,Pakistan,,,,,,,24.0,0.0,0.0,27.0,0.0,1.0,1.0,,1.0
cricket-odi-2025-04-14-1477016,2025-04-14,2025,1,ODI,Pakistan,West Indies,4.0,0.0,0.0,8.0,2.0,0.0,50.0,2.0,0.0,26.0,2.0,0.0,,,1.0
cricket-odi-2025-04-17-1477020,2025-04-17,2025,1,ODI,Pakistan,Thailand,,,,,,,46.0,2.0,0.0,18.0,3.0,0.0,,,1.0
cricket-odi-2025-04-19-1477022,2025-04-19,2025,1,ODI,Bangladesh,Pakistan,,,,,,,60.0,0.0,0.0,25.0,1.0,1.0,,,1.0
cricket-odi-2025-09-16-1500387,2025-09-16,2025,1,ODI,Pakistan,South Africa,,,,,,,60.0,1.0,0.0,29.0,1.0,0.0,,,1.0
cricket-odi-2025-09-19-1500388,2025-09-19,2025,1,ODI,South Africa,Pakistan,11.0,0.0,0.0,7.0,12.0,0.0,54.0,0.0,0.0,47.0,0.0,2.0,,,1.0
cricket-odi-2025-09-22-1500389,2025-09-22,2025,1,ODI,South Africa,Pakistan,,,,,,,24.0,0.0,0.0,15.0,0.0,0.0,,,1.0
cricket-odi-2025-10-02-1490415,2025-10-02,2025,1,ODI,Pakistan,Bangladesh,39.0,2.0,0.0,4.0,23.0,0.0,30.0,0.0,0.0,25.0,1.0,1.0,,,1.0
cricket-odi-2025-10-05-1490418,2025-10-05,2025,1,ODI,India,Pakistan,1.0,0.0,0.0,8.0,0.0,0.0,60.0,0.0,0.0,39.0,1.0,0.0,,,1.0
cricket-odi-2025-10-08-1490421,2025-10-08,2025,1,ODI,Australia,Pakistan,64.0,0.0,0.0,8.0,15.0,0.0,60.0,1.0,0.0,29.0,2.0,0.0,,,1.0
cricket-odi-2025-10-15-1490428,2025-10-15,2025,1,ODI,England,Pakistan,,,,,,,36.0,1.0,0.0,22.0,1.0,0.0,,,1.0
cricket-odi-2025-10-21-1490434,2025-10-21,2025,1,ODI,South Africa,Pakistan,7.0,0.0,0.0,8.0,3.0,0.0,48.0,0.0,0.0,59.0,0.0,0.0,,1.0,1.0
cricket-t20i-2025-08-06-1476992,2025-08-06,2025,1,T20I,Ireland,Pakistan,20.0,4.0,0.0,8.0,27.0,0.0,24.0,0.0,0.0,28.0,1.0,0.0,1.0,,1.0
cricket-t20i-2025-08-08-1476993,2025-08-08,2025,1,T20I,Pakistan,Ireland,3.0,1.0,1.0,8.0,8.0,0.0,24.0,0.0,0.0,36.0,3.0,1.0,,,1.0
cricket-t20i-2025-08-10-1476994,2025-08-10,2025,1,T20I,Ireland,Pakistan,,,,,,,18.0,0.0,0.0,18.0,1.0,0.0,,,1.0
cricket-odi-2026-05-06-1534072,2026-05-06,2026,1,ODI,Pakistan,Zimbabwe,,,,,,,48.0,2.0,0.0,20.0,2.0,0.0,,,1.0
cricket-odi-2026-05-09-1534073,2026-05-09,2026,1,ODI,Zimbabwe,Pakistan,,,,,,,42.0,0.0,0.0,32.0,0.0,0.0,,,1.0
cricket-t20i-2026-05-12-1534074,2026-05-12,2026,1,T20I,Pakistan,Zimbabwe,,,,,,,18.0,0.0,0.0,18.0,1.0,0.0,,,1.0
