game_id,date,season,week,league,away,home,dst_touchdown,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,,,,,,,,,,,,29.0,2.0,46.0
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,,,,,,,,12.0,1.0,2.0,12.0,12.0,23.0,1.0,23.0
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,,,,,,,,,1.0,,,10.0,3.0,27.0
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,,,,,,,,,,21.0,2.0,39.0
SYNTHETIC_USFL_2022_W1_TB,,2022,1,USFL,,,,,,,,0.0,13.0,1.0,,,,,,,,
SYNTHETIC_USFL_2022_W2_TB,,2022,2,USFL,,,,,,,,0.0,8.0,1.0,,,,,,,,
SYNTHETIC_USFL_2022_W3_TB,,2022,3,USFL,,,,,1.0,,,0.0,57.0,4.0,,,,,,,,
SYNTHETIC_USFL_2022_W4_TB,,2022,4,USFL,,,,,,,,1.0,9.0,1.0,,,,,,,,
SYNTHETIC_USFL_2022_W5_TB,,2022,5,USFL,,,,,,,,0.0,13.0,1.0,,,,,,,,
SYNTHETIC_USFL_2022_W6_TB,,2022,6,USFL,,,,0.0,,0.0,0.0,0.0,83.0,3.0,,,,,,,,
SYNTHETIC_USFL_2022_W7_TB,,2022,7,USFL,,,,,,,,0.0,14.0,1.0,,,,,,,,
SYNTHETIC_USFL_2022_W8_TB,,2022,8,USFL,,,,,,,,0.0,37.0,3.0,,,,,,,,
SYNTHETIC_USFL_2022_W9_TB,,2022,9,USFL,,,,,1.0,,,1.0,112.0,6.0,,,,,,,,
SYNTHETIC_USFL_2022_W10_TB,,2022,10,USFL,,,1.0,,,,,0.0,23.0,1.0,,,,,,,,
SYNTHETIC_USFL_2023_W1_SHOWBOATS,2023-04-15,2023,1,USFL,SHOWBOATS,STARS,,,,,,1.0,75.0,2.0,,,,,,,,
SYNTHETIC_USFL_2023_W3_SHOWBOATS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,,,1.0,,,0.0,24.0,5.0,,,,,,,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,,,,0.0,16.0,1.0,,,,,,,,
