game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,fielding_runouts,match_played
cricket-odi-2003-02-11-65238,2003-02-11,2003,1,ODI,Australia,Pakistan,23.0,1.0,0.0,8.0,33.0,3.0,1.0,1.0,1.0
cricket-odi-2003-02-16-65247,2003-02-16,2003,1,ODI,Pakistan,Namibia,30.0,4.0,0.0,6.0,36.0,0.0,1.0,,1.0
cricket-odi-2003-02-22-65255,2003-02-22,2003,1,ODI,England,Pakistan,4.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,1.0
cricket-odi-2003-02-25-65260,2003-02-25,2003,1,ODI,Pakistan,Netherlands,25.0,2.0,0.0,7.0,24.0,0.0,3.0,,1.0
cricket-odi-2003-03-01-65268,2003-03-01,2003,1,ODI,Pakistan,India,25.0,2.0,1.0,8.0,29.0,0.0,,,1.0
cricket-odi-2003-04-03-65803,2003-04-03,2003,1,ODI,Pakistan,Zimbabwe,36.0,3.0,0.0,7.0,34.0,1.0,2.0,1.0,1.0
cricket-odi-2003-04-04-65804,2003-04-04,2003,1,ODI,Sri Lanka,Pakistan,,,,,,,,1.0,1.0
cricket-odi-2003-04-08-65808,2003-04-08,2003,1,ODI,Pakistan,Kenya,31.0,2.0,0.0,7.0,38.0,2.0,4.0,,1.0
cricket-odi-2003-04-10-65809,2003-04-10,2003,1,ODI,Zimbabwe,Pakistan,,,,,,,3.0,,1.0
cricket-odi-2003-05-10-66357,2003-05-10,2003,1,ODI,Pakistan,Sri Lanka,14.0,1.0,0.0,9.0,14.0,0.0,,,1.0
cricket-odi-2003-05-11-66358,2003-05-11,2003,1,ODI,Pakistan,New Zealand,51.0,2.0,0.0,8.0,26.0,0.0,,,1.0
cricket-odi-2003-05-23-66363,2003-05-23,2003,1,ODI,Pakistan,New Zealand,31.0,2.0,0.0,8.0,20.0,0.0,,1.0,1.0
cricket-odi-2003-06-17-65029,2003-06-17,2003,1,ODI,England,Pakistan,2.0,0.0,0.0,8.0,1.0,0.0,3.0,,1.0
cricket-odi-2003-06-20-65030,2003-06-20,2003,1,ODI,Pakistan,England,11.0,0.0,0.0,7.0,3.0,0.0,2.0,,1.0
cricket-odi-2003-06-22-65031,2003-06-22,2003,1,ODI,Pakistan,England,,,,,,,2.0,1.0,1.0
cricket-odi-2003-10-03-64838,2003-10-03,2003,1,ODI,Pakistan,South Africa,1.0,0.0,1.0,8.0,1.0,0.0,,,1.0
cricket-odi-2003-10-05-64839,2003-10-05,2003,1,ODI,Pakistan,South Africa,26.0,0.0,0.0,7.0,19.0,0.0,,,1.0
cricket-odi-2003-10-07-64840,2003-10-07,2003,1,ODI,Pakistan,South Africa,10.0,1.0,0.0,8.0,14.0,0.0,2.0,,1.0
cricket-odi-2003-10-10-64841,2003-10-10,2003,1,ODI,Pakistan,South Africa,37.0,1.0,0.0,8.0,18.0,0.0,1.0,,1.0
cricket-odi-2003-10-12-64842,2003-10-12,2003,1,ODI,Pakistan,South Africa,44.0,1.0,0.0,8.0,25.0,0.0,,1.0,1.0
cricket-tests-2003-09-03-64045,2003-09-03,2003,1,TESTS,Bangladesh,Pakistan,53.0,2.0,0.0,7.0,10.0,0.0,7.0,,1.0
