game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,,,,5.0,18.0,2.0,177.0
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,0.0,51.0,4.0,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,0.0,83.0,6.0,,,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,0.0,21.0,4.0,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,0.0,14.0,3.0,,,,
SYNTHETIC_CFL_2022_W6_MTL,2022-07-14,2022,6,CFL,EDM,MTL,0.0,56.0,4.0,,,,
SYNTHETIC_CFL_2022_W7_MTL,2022-07-21,2022,7,CFL,MTL,OTT,0.0,99.0,5.0,,,,
SYNTHETIC_CFL_2022_W8_MTL,2022-07-28,2022,8,CFL,MTL,HAM,0.0,43.0,4.0,,,,
SYNTHETIC_CFL_2022_W9_MTL,2022-08-04,2022,9,CFL,WPG,MTL,1.0,33.0,2.0,,,,
SYNTHETIC_CFL_2022_W10_MTL,2022-08-11,2022,10,CFL,MTL,WPG,0.0,41.0,4.0,,,,
SYNTHETIC_CFL_2022_W11_MTL,2022-08-20,2022,11,CFL,HAM,MTL,1.0,81.0,3.0,,,,
SYNTHETIC_CFL_2022_W13_MTL,2022-09-02,2022,13,CFL,OTT,MTL,0.0,50.0,4.0,,,,
SYNTHETIC_CFL_2022_W14_MTL,2022-09-09,2022,14,CFL,BC,MTL,0.0,58.0,4.0,,,,
SYNTHETIC_CFL_2022_W16_MTL,2022-09-23,2022,16,CFL,HAM,MTL,0.0,38.0,3.0,,,,
SYNTHETIC_CFL_2022_W17_MTL,2022-10-01,2022,17,CFL,MTL,EDM,0.0,41.0,2.0,,,,
SYNTHETIC_CFL_2024_W3_MTL,2024-06-20,2024,3,CFL,OTT,MTL,2.0,61.0,4.0,,,,
SYNTHETIC_CFL_2024_W4_MTL,2024-06-28,2024,4,CFL,MTL,TOR,0.0,48.0,3.0,,,,
SYNTHETIC_CFL_2024_W5_MTL,2024-07-06,2024,5,CFL,CGY,MTL,0.0,28.0,2.0,,,,
SYNTHETIC_CFL_2024_W6_MTL,2024-07-11,2024,6,CFL,TOR,MTL,0.0,9.0,1.0,,,,
SYNTHETIC_CFL_2024_W8_MTL,2024-07-25,2024,8,CFL,SSK,MTL,2.0,50.0,4.0,,,,
SYNTHETIC_CFL_2024_W9_MTL,2024-08-02,2024,9,CFL,MTL,HAM,0.0,44.0,2.0,,,,
SYNTHETIC_CFL_2024_W11_MTL,2024-08-16,2024,11,CFL,MTL,SSK,0.0,13.0,1.0,,,,
SYNTHETIC_CFL_2024_W14_MTL,2024-09-06,2024,14,CFL,BC,MTL,0.0,39.0,3.0,,,,
SYNTHETIC_CFL_2024_W15_MTL,2024-09-14,2024,15,CFL,MTL,CGY,0.0,15.0,1.0,,,,
SYNTHETIC_CFL_2024_W16_MTL,2024-09-21,2024,16,CFL,MTL,OTT,0.0,8.0,1.0,,,,
SYNTHETIC_CFL_2024_W17_MTL,2024-09-28,2024,17,CFL,MTL,TOR,0.0,40.0,2.0,,,,
