game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2008-11-05-350347,2008-11-05,2008,1,T20I,South Africa,Bangladesh,3.0,0.0,1.0,7.0,3.0,0.0,6.0,0.0,0.0,20.0,1.0,2.0,,,1.0
cricket-t20i-2010-05-02-412682,2010-05-02,2010,1,T20I,India,South Africa,,,,,,,24.0,0.0,0.0,48.0,2.0,1.0,,,1.0
cricket-t20i-2012-12-21-567353,2012-12-21,2012,1,T20I,South Africa,New Zealand,,,,,,,20.0,2.0,0.0,18.0,3.0,0.0,1.0,,1.0
cricket-t20i-2012-12-23-567354,2012-12-23,2012,1,T20I,South Africa,New Zealand,,,,,,,24.0,0.0,0.0,35.0,0.0,0.0,,,1.0
cricket-t20i-2012-12-26-567355,2012-12-26,2012,1,T20I,South Africa,New Zealand,,,,,,,24.0,0.0,0.0,25.0,1.0,1.0,,,1.0
cricket-tests-2012-11-09-573007,2012-11-09,2012,1,TESTS,Australia,South Africa,18.0,0.0,1.0,9.0,17.0,2.0,126.0,1.0,12.0,97.0,0.0,1.0,,,1.0
cricket-tests-2012-11-22-573008,2012-11-22,2012,1,TESTS,Australia,South Africa,22.0,0.0,0.0,8.0,3.0,0.0,235.0,7.0,11.0,146.0,4.0,1.0,1.0,,1.0
cricket-odi-2013-01-19-567358,2013-01-19,2013,1,ODI,South Africa,New Zealand,20.0,1.0,0.0,9.0,26.0,3.0,54.0,0.0,1.0,37.0,2.0,9.0,,,1.0
cricket-odi-2013-01-22-567359,2013-01-22,2013,1,ODI,South Africa,New Zealand,1.0,0.0,0.0,8.0,0.0,0.0,60.0,2.0,0.0,45.0,2.0,1.0,,,1.0
cricket-odi-2013-01-25-567360,2013-01-25,2013,1,ODI,South Africa,New Zealand,5.0,1.0,0.0,8.0,6.0,0.0,60.0,1.0,0.0,44.0,0.0,4.0,,,1.0
cricket-odi-2013-03-10-567368,2013-03-10,2013,1,ODI,South Africa,Pakistan,,,,,,,32.0,3.0,0.0,22.0,4.0,1.0,,1.0,1.0
cricket-odi-2013-03-17-567370,2013-03-17,2013,1,ODI,South Africa,Pakistan,,,,,,,55.0,2.0,0.0,77.0,1.0,4.0,2.0,,1.0
cricket-odi-2013-03-21-567371,2013-03-21,2013,1,ODI,South Africa,Pakistan,22.0,3.0,0.0,9.0,18.0,0.0,60.0,0.0,0.0,51.0,1.0,5.0,,,1.0
cricket-odi-2013-06-06-578614,2013-06-06,2013,1,ODI,India,South Africa,5.0,0.0,0.0,8.0,4.0,0.0,60.0,0.0,1.0,81.0,0.0,1.0,,,1.0
cricket-odi-2013-06-19-566946,2013-06-19,2013,1,ODI,England,South Africa,61.0,4.0,0.0,10.0,43.0,1.0,24.0,0.0,0.0,10.0,1.0,0.0,,,1.0
cricket-odi-2013-07-28-635656,2013-07-28,2013,1,ODI,Sri Lanka,South Africa,10.0,0.0,0.0,9.0,8.0,1.0,48.0,0.0,0.0,33.0,0.0,1.0,1.0,,1.0
cricket-t20i-2013-03-03-567367,2013-03-03,2013,1,T20I,South Africa,Pakistan,7.0,1.0,0.0,9.0,22.0,3.0,24.0,0.0,0.0,27.0,2.0,1.0,,,1.0
cricket-tests-2013-01-11-567357,2013-01-11,2013,1,TESTS,South Africa,New Zealand,13.0,1.0,1.0,10.0,7.0,0.0,156.0,11.0,0.0,97.0,4.0,0.0,,,1.0
cricket-tests-2013-02-22-567365,2013-02-22,2013,1,TESTS,South Africa,Pakistan,8.0,0.0,0.0,10.0,0.0,0.0,150.0,3.0,1.0,82.0,2.0,2.0,1.0,,1.0
