game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,14.0,1.0,,30.0
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,DC,VGS,,,,,,58.0
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,STL,DC,2.0,,,,,51.0
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,VGS,DC,,,,,,18.0
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,4.0,1.0,,26.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,,,25.0
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,1.0,11.0,1.0,,9.0
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,8.0,1.0,,1.0
SYNTHETIC_CFL_2024_W2_OTT,,2024,2,CFL,,,,0.0,1.0,2.0,0.0,95.0
SYNTHETIC_CFL_2024_W3_OTT,,2024,3,CFL,,,,0.0,7.0,2.0,0.0,26.0
SYNTHETIC_CFL_2024_W4_OTT,,2024,4,CFL,,,,0.0,53.0,6.0,0.0,51.0
SYNTHETIC_CFL_2024_W5_OTT,,2024,5,CFL,,,,0.0,33.0,1.0,1.0,103.0
SYNTHETIC_CFL_2024_W6_OTT,,2024,6,CFL,,,,0.0,31.0,4.0,0.0,40.0
SYNTHETIC_CFL_2024_W7_OTT,,2024,7,CFL,,,,0.0,13.0,1.0,1.0,53.0
SYNTHETIC_CFL_2024_W8_OTT,,2024,8,CFL,,,,0.0,23.0,2.0,0.0,22.0
SYNTHETIC_CFL_2024_W10_OTT,,2024,10,CFL,,,,0.0,28.0,5.0,0.0,37.0
SYNTHETIC_CFL_2024_W11_OTT,,2024,11,CFL,,,,0.0,44.0,6.0,1.0,120.0
SYNTHETIC_CFL_2024_W12_OTT,,2024,12,CFL,,,,0.0,34.0,4.0,0.0,52.0
SYNTHETIC_CFL_2024_W13_OTT,,2024,13,CFL,,,,0.0,17.0,2.0,0.0,24.0
SYNTHETIC_CFL_2024_W16_OTT,,2024,16,CFL,,,,,,,0.0,207.0
SYNTHETIC_CFL_2024_W17_OTT,,2024,17,CFL,,,,0.0,14.0,3.0,0.0,32.0
