game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-wpl-2023-03-05-1358930,2023-03-05,2023,1,WPL,Delhi Capitals,Royal Challengers Bangalore,3.0,0.0,0.0,8.0,2.0,0.0,12.0,0.0,0.0,29.0,0.0,0.0,,,1.0
cricket-wpl-2023-03-13-1358939,2023-03-13,2023,1,WPL,Royal Challengers Bangalore,Delhi Capitals,,,,,,,24.0,0.0,0.0,27.0,2.0,0.0,,,1.0
cricket-wpl-2023-03-15-1358941,2023-03-15,2023,1,WPL,UP Warriorz,Royal Challengers Bangalore,,,,,,,24.0,0.0,0.0,27.0,2.0,0.0,1.0,,1.0
cricket-wpl-2023-03-18-1358944,2023-03-18,2023,1,WPL,Gujarat Giants,Royal Challengers Bangalore,,,,,,,24.0,0.0,0.0,35.0,0.0,0.0,,,1.0
cricket-wpl-2023-03-21-1358947,2023-03-21,2023,1,WPL,Royal Challengers Bangalore,Mumbai Indians,3.0,0.0,1.0,10.0,4.0,0.0,18.0,0.0,0.0,24.0,1.0,1.0,,,1.0
cricket-odi-2024-06-16-1434287,2024-06-16,2024,1,ODI,India,South Africa,5.0,1.0,1.0,10.0,8.0,0.0,52.0,2.0,0.0,21.0,4.0,0.0,,,1.0
cricket-odi-2024-06-19-1434288,2024-06-19,2024,1,ODI,India,South Africa,,,,,,,54.0,0.0,0.0,53.0,0.0,1.0,,,1.0
cricket-t20i-2024-05-06-1429396,2024-05-06,2024,1,T20I,India,Bangladesh,,,,,,,18.0,0.0,0.0,18.0,2.0,1.0,,,1.0
cricket-t20i-2024-05-09-1429397,2024-05-09,2024,1,T20I,India,Bangladesh,,,,,,,24.0,0.0,0.0,25.0,2.0,1.0,,,1.0
cricket-t20i-2024-07-05-1434291,2024-07-05,2024,1,T20I,South Africa,India,,,,,,,24.0,0.0,0.0,39.0,0.0,0.0,1.0,,1.0
cricket-t20i-2024-10-04-1432425,2024-10-04,2024,1,T20I,New Zealand,India,10.0,0.0,1.0,10.0,6.0,0.0,24.0,0.0,0.0,22.0,1.0,0.0,,,1.0
cricket-t20i-2024-10-06-1432428,2024-10-06,2024,1,T20I,Pakistan,India,,,,,,,24.0,0.0,0.0,24.0,1.0,0.0,,,1.0
cricket-t20i-2024-10-09-1432433,2024-10-09,2024,1,T20I,India,Sri Lanka,,,,,,,24.0,0.0,0.0,19.0,3.0,0.0,,,1.0
cricket-wpl-2024-02-24-1417717,2024-02-24,2024,1,WPL,Royal Challengers Bangalore,UP Warriorz,,,,,,,24.0,0.0,0.0,22.0,5.0,0.0,,,1.0
cricket-wpl-2024-02-27-1417720,2024-02-27,2024,1,WPL,Gujarat Giants,Royal Challengers Bangalore,,,,,,,18.0,0.0,0.0,13.0,0.0,1.0,,,1.0
cricket-wpl-2024-02-29-1417722,2024-02-29,2024,1,WPL,Delhi Capitals,Royal Challengers Bangalore,1.0,0.0,0.0,10.0,0.0,0.0,12.0,0.0,0.0,30.0,0.0,0.0,,,1.0
cricket-wpl-2024-03-02-1417724,2024-03-02,2024,1,WPL,Royal Challengers Bangalore,Mumbai Indians,,,,,,,6.0,0.0,0.0,12.0,0.0,0.0,,,1.0
cricket-wpl-2024-03-04-1417726,2024-03-04,2024,1,WPL,Royal Challengers Bangalore,UP Warriorz,,,,,,,24.0,0.0,0.0,29.0,2.0,0.0,,,1.0
cricket-wpl-2024-03-06-1417728,2024-03-06,2024,1,WPL,Gujarat Giants,Royal Challengers Bangalore,,,,,,,6.0,0.0,0.0,11.0,0.0,0.0,,,1.0
cricket-wpl-2024-03-10-1417732,2024-03-10,2024,1,WPL,Delhi Capitals,Royal Challengers Bangalore,,,,,,,24.0,0.0,0.0,29.0,1.0,1.0,,,1.0
cricket-wpl-2024-03-12-1417734,2024-03-12,2024,1,WPL,Mumbai Indians,Royal Challengers Bangalore,,,,,,,12.0,0.0,0.0,12.0,1.0,0.0,,,1.0
cricket-wpl-2024-03-15-1417736,2024-03-15,2024,1,WPL,Royal Challengers Bangalore,Mumbai Indians,,,,,,,12.0,0.0,0.0,13.0,1.0,0.0,,,1.0
cricket-wpl-2024-03-17-1417737,2024-03-17,2024,1,WPL,Delhi Capitals,Royal Challengers Bangalore,,,,,,,18.0,0.0,0.0,14.0,2.0,1.0,,,1.0
cricket-wpl-2026-01-10-1513683,2026-01-10,2026,1,WPL,Gujarat Giants,UP Warriorz,10.0,3.0,1.0,9.0,27.0,2.0,18.0,0.0,0.0,36.0,0.0,0.0,,,1.0
cricket-wpl-2026-01-12-1513686,2026-01-12,2026,1,WPL,UP Warriorz,Royal Challengers Bengaluru,,,,,,,6.0,0.0,0.0,17.0,0.0,0.0,,,1.0
cricket-wpl-2026-01-14-1513688,2026-01-14,2026,1,WPL,UP Warriorz,Delhi Capitals,1.0,0.0,1.0,8.0,1.0,0.0,24.0,0.0,0.0,20.0,1.0,1.0,,,1.0
cricket-wpl-2026-01-15-1513689,2026-01-15,2026,1,WPL,Mumbai Indians,UP Warriorz,,,,,,,18.0,0.0,0.0,33.0,1.0,0.0,,,1.0
cricket-wpl-2026-01-17-1513691,2026-01-17,2026,1,WPL,UP Warriorz,Mumbai Indians,1.0,0.0,1.0,9.0,1.0,0.0,12.0,0.0,0.0,17.0,0.0,1.0,,,1.0
cricket-wpl-2026-01-22-1513695,2026-01-22,2026,1,WPL,Gujarat Giants,UP Warriorz,11.0,1.0,0.0,8.0,7.0,0.0,12.0,0.0,0.0,11.0,0.0,2.0,,1.0,1.0
cricket-wpl-2026-01-29-1513699,2026-01-29,2026,1,WPL,UP Warriorz,Royal Challengers Bengaluru,1.0,0.0,1.0,9.0,0.0,0.0,12.0,0.0,0.0,24.0,1.0,0.0,,,1.0
cricket-wpl-2026-02-01-1513701,2026-02-01,2026,1,WPL,UP Warriorz,Delhi Capitals,13.0,0.0,0.0,9.0,13.0,1.0,6.0,0.0,0.0,9.0,0.0,0.0,,,1.0
