game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-t20i-2022-07-08-1323550,2022-07-08,2022,1,T20I,Bulgaria,Serbia,57.0,5.0,1.0,2.0,65.0,3.0,,,,,,,,1.0
cricket-t20i-2022-07-09-1323551,2022-07-09,2022,1,T20I,Bulgaria,Serbia,44.0,5.0,1.0,3.0,61.0,3.0,,,,,,,1.0,1.0
cricket-t20i-2022-07-09-1323552,2022-07-09,2022,1,T20I,Bulgaria,Serbia,11.0,2.0,0.0,3.0,23.0,2.0,,,,,,,,1.0
cricket-t20i-2022-07-13-1321263,2022-07-13,2022,1,T20I,Isle of Man,Serbia,35.0,2.0,0.0,2.0,29.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2022-07-15-1321266,2022-07-15,2022,1,T20I,Turkey,Serbia,32.0,1.0,0.0,3.0,21.0,0.0,,,,,,,3.0,1.0
cricket-t20i-2022-07-16-1321269,2022-07-16,2022,1,T20I,Romania,Serbia,38.0,0.0,0.0,3.0,27.0,0.0,,,,,,,2.0,1.0
cricket-t20i-2022-07-18-1321274,2022-07-18,2022,1,T20I,Cyprus,Serbia,2.0,0.0,0.0,3.0,1.0,0.0,,,,,,,2.0,1.0
cricket-t20i-2022-07-19-1321277,2022-07-19,2022,1,T20I,Serbia,Croatia,50.0,0.0,0.0,3.0,29.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2023-10-05-1400053,2023-10-05,2023,1,T20I,Serbia,Gibraltar,51.0,4.0,1.0,2.0,63.0,3.0,6.0,0.0,0.0,4.0,0.0,1.0,,1.0
cricket-t20i-2023-10-05-1400054,2023-10-05,2023,1,T20I,Serbia,Gibraltar,14.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0
cricket-t20i-2024-07-07-1439813,2024-07-07,2024,1,T20I,Jersey,Serbia,16.0,2.0,0.0,2.0,14.0,1.0,,,,,,,1.0,1.0
cricket-t20i-2024-07-10-1439823,2024-07-10,2024,1,T20I,Croatia,Serbia,13.0,2.0,0.0,1.0,9.0,0.0,,,,,,,,1.0
cricket-t20i-2024-07-11-1439826,2024-07-11,2024,1,T20I,Switzerland,Serbia,17.0,3.0,0.0,1.0,16.0,0.0,,,,,,,,1.0
cricket-t20i-2024-07-12-1439829,2024-07-12,2024,1,T20I,Belgium,Serbia,43.0,4.0,1.0,2.0,49.0,1.0,,,,,,,1.0,1.0
